# c0 + a0 * (Tx_s_fill + surf_charge_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.501578294771945; Max AE: 3.0981860454945
# Coefficients
# Task   a0                      c0
# all ,  4.519144342001350e-01, -1.382779275062747e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         136|117|add; (Tx_s_fill + surf_charge_sum); $\left(Tx_{s, fill} + surf_{charge, sum}\right)$; (Tx_s_fill + surf_charge_sum); Tx_s_fill,surf_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  6.471147974019836e-01,  4.939732581212007e-01,  1.093068113647460e+00
sample_1    , -1.211346759298101e+00, -1.098451587420196e+00, -2.430662763326862e+00
sample_2    , -7.586258986840756e-01, -3.918385519905313e-01, -8.670635906641596e-01
sample_3    ,  1.160849504833733e+00,  9.067696786274394e-01,  2.006507449208554e+00
sample_4    , -7.548356813046568e-01, -5.954887410883864e-02, -1.317702414489967e-01
sample_5    , -6.770948454104094e-01, -3.238275870143623e-01, -7.165683645124550e-01
sample_6    , -1.682203336469330e+00, -1.419556433941883e+00, -3.141206225143979e+00
sample_7    , -4.637411876033378e-01, -3.143405404379395e-01, -6.955753493342290e-01
sample_8    ,  1.243136085642117e+00,  1.088863048855715e+00,  2.409445165837524e+00
sample_9    , -1.150091200885186e+00, -1.264914465367831e+00, -2.799013197280728e+00
sample_10   ,  1.120476158198867e+00,  7.348136021413542e-01,  1.626001620067604e+00
sample_11   , -7.836939209364374e-01, -1.258104327527914e+00, -2.783943667908490e+00
sample_12   , -6.014333599221068e-01, -1.264914465367831e+00, -2.799013197280728e+00
sample_13   ,  3.144920332825995e-01,  5.890592037178096e-01,  1.303475080986103e+00
sample_14   ,  1.313590629906779e+00,  8.071605164167331e-01,  1.786091470712515e+00
sample_15   ,  1.202272944705296e+00,  6.576454557338598e-01,  1.455243307060679e+00
sample_16   , -9.301172910850198e-01, -3.945350420953045e-01, -8.730304062839038e-01
sample_17   , -5.618988526743032e-01, -5.649776937211756e-01, -1.250187316369207e+00
sample_18   , -1.450899276504839e+00, -1.258793448258113e+00, -2.785468559963373e+00
sample_19   ,  9.612569931124243e-01,  7.348136021413542e-01,  1.626001620067604e+00
sample_20   ,  1.113394814341984e+00,  6.492106600999763e-01,  1.436578721476435e+00
sample_21   ,  7.050383698082120e-01,  9.074358257283798e-01,  2.007981505026486e+00
sample_22   , -1.910238471282477e+00,  1.187947574212018e+00,  2.628700223560294e+00
sample_23   ,  3.603589879841972e-01,  1.101479891614799e+00,  2.437363819910645e+00
sample_24   ,  1.888270611039470e-01,  1.538779862050544e-02,  3.405024813544888e-02
sample_25   ,  8.080324448298829e-01,  6.838735145639182e-01,  1.513280972700814e+00
sample_26   , -1.247394618919144e+00, -1.344856752833448e+00, -2.975910152579600e+00
sample_27   ,  8.919970619715032e-01,  5.773483956860324e-01,  1.277561308055825e+00
sample_28   , -5.936231431133940e-01, -4.663287904591297e-01, -1.031896206821779e+00
sample_29   , -5.744786804364913e-01, -5.649776937211756e-01, -1.250187316369207e+00
sample_30   ,  1.274992153767564e+00,  7.585944983173334e-01,  1.678624183934302e+00
sample_31   ,  9.039863930935171e-01,  9.170890773090988e-01,  2.029342300013716e+00
sample_32   , -1.231648551182150e+00, -1.344307973382350e+00, -2.974695808868563e+00
sample_33   , -1.680752546758683e+00, -1.537704639723892e+00, -3.402645552682000e+00
sample_34   ,  1.000664370980082e+00,  9.168848190156664e-01,  2.028890315571586e+00
sample_35   , -4.582114196258733e-02,  2.091734029000200e-01,  4.628606370368457e-01
sample_36   , -1.649980605237195e+00, -1.258104327527914e+00, -2.783943667908490e+00
sample_37   ,  1.310516023197298e+00,  7.550756339622331e-01,  1.670837611767541e+00
sample_38   ,  1.202465930421095e+00,  6.492106600999763e-01,  1.436578721476435e+00
sample_39   , -5.975129901431819e-01, -3.143405404379395e-01, -6.955753493342290e-01
sample_40   ,  8.169730762088728e-01,  6.838735145639182e-01,  1.513280972700814e+00
sample_41   , -6.678328637255340e-01, -3.165145092855093e-01, -7.003859255916960e-01
sample_42   , -3.074498989691304e-01,  1.039375942622731e+00,  2.299939687614477e+00
sample_43   , -5.114856329606416e-01, -1.099019558495757e+00, -2.431919574423341e+00
sample_44   , -6.213527234794211e-01, -5.344969737200786e-01, -1.182739326895168e+00
sample_45   , -1.670792832474174e+00, -1.423760268372856e+00, -3.150508504763379e+00
sample_46   ,  2.564616474882058e-01, -5.311964381171107e-01, -1.175435874397994e+00
sample_47   , -1.647019150504399e+00, -1.537704639723892e+00, -3.402645552682000e+00
sample_48   , -6.380347248141381e-01, -5.311964381171107e-01, -1.175435874397994e+00
sample_49   ,  6.290852116167501e-01,  6.717428952777609e-01,  1.486438237952525e+00
sample_50   ,  1.035495773725665e+00,  6.651001530869285e-01,  1.471739123057933e+00
sample_51   ,  6.731337708317935e-01,  5.773483956860324e-01,  1.277561308055825e+00
sample_52   , -3.499379620903641e-01, -3.918385519905313e-01, -8.670635906641596e-01
sample_53   ,  1.010920146224281e+00,  7.669770050175340e-01,  1.697173064133354e+00
sample_54   , -1.475753379433461e+00, -1.344856752833448e+00, -2.975910152579600e+00
sample_55   , -1.160854811038070e+00, -1.423006083198883e-01, -3.148839637568843e-01
sample_56   ,  1.127082595308681e+00,  7.348136021413542e-01,  1.626001620067604e+00
