# c0 + a0 * (surf_charge_avg * Tx_p_skew) + a1 * (Tx_s_fill + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.403645349043398; Max AE: 2.41539450071879
# Coefficients
# Task   a0                      a1                      c0
# all ,  8.991256237700417e-01,  5.320818736338480e-01,  1.467585396463783e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         68|25|mult; (surf_charge_avg * Tx_p_skew); $\left(surf_{charge, avg} Tx_{p, skew}\right)$; (surf_charge_avg .* Tx_p_skew); surf_charge_avg,Tx_p_skew
# 1;  1; Unitless;                                         136|33|add; (Tx_s_fill + surf_tot_fill); $\left(Tx_{s, fill} + surf_{tot, fill}\right)$; (Tx_s_fill + surf_tot_fill); Tx_s_fill,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  6.471147974019836e-01,  3.293658449166494e-01, -4.463039415561872e-01,  1.097369867395277e+00
sample_1    , -1.211346759298101e+00, -8.916451472933107e-01,  2.931680724204399e-01, -2.446989227488978e+00
sample_2    , -7.586258986840756e-01, -5.033112240684328e-01, -2.097747988817514e-01, -8.672647757524850e-01
sample_3    ,  1.160849504833733e+00,  1.147698621629126e+00, -3.634632504745662e-02,  1.942595764639928e+00
sample_4    , -7.548356813046568e-01, -8.231411369607982e-01, -1.005996314264298e+00, -1.228807374838694e-01
sample_5    , -6.770948454104094e-01, -4.896323234365589e-01, -2.806976988693325e-01, -7.217091739540982e-01
sample_6    , -1.682203336469330e+00, -1.414529961977538e+00,  1.340050920386675e-01, -3.160746488328710e+00
sample_7    , -4.637411876033378e-01, -3.934613276192171e-01, -1.841948275430351e-01, -7.040374735891369e-01
sample_8    ,  1.243136085642117e+00,  9.913731734635376e-01, -5.008025840535185e-01,  2.433646274672782e+00
sample_9    , -1.150091200885186e+00, -1.155388461150044e+00,  2.106569298323648e-01, -2.803241602738458e+00
sample_10   ,  1.120476158198867e+00,  1.016640664640478e+00,  6.637096311683346e-03,  1.623649638227176e+00
sample_11   , -7.836939209364374e-01, -1.151410059228622e+00,  2.140325308148892e-01, -2.801468731627535e+00
sample_12   , -6.014333599221068e-01, -1.155388461150044e+00,  2.106569298323648e-01, -2.803241602738458e+00
sample_13   ,  3.144920332825995e-01,  7.487995082358628e-01, -1.151445886847780e-01,  1.326056108425089e+00
sample_14   ,  1.313590629906779e+00,  1.017454590472165e+00, -4.164240853202442e-02,  1.706763286579021e+00
sample_15   ,  1.202272944705296e+00,  8.790853636685159e-01, -5.025408347333959e-02,  1.461263006127399e+00
sample_16   , -9.301172910850198e-01, -5.086100127571993e-01, -2.095061242466876e-01, -8.776773855633995e-01
sample_17   , -5.618988526743032e-01, -7.766752584374336e-01, -2.796051924259857e-01, -1.263026685056583e+00
sample_18   , -1.450899276504839e+00, -1.152062233742792e+00,  2.136909523228498e-01, -2.802117226824508e+00
sample_19   ,  9.612569931124243e-01,  1.016640664640478e+00,  6.637096311683346e-03,  1.623649638227176e+00
sample_20   ,  1.113394814341984e+00,  1.109422972228429e+00,  2.043210587174439e-01,  1.463974196101653e+00
sample_21   ,  7.050383698082120e-01,  6.915648975261334e-01, -5.612423331368692e-01,  1.972316240695250e+00
sample_22   , -1.910238471282477e+00,  5.051560294363103e-01, -1.163420411817244e+00,  2.639553540285397e+00
sample_23   ,  3.603589879841972e-01,  6.965107399657077e-01, -8.414178326207653e-01,  2.455059265605873e+00
sample_24   ,  1.888270611039470e-01, -1.940640025327810e-01, -4.088199631795185e-01,  5.028918207930588e-02
sample_25   ,  8.080324448298829e-01,  8.498723976010367e-01, -1.199420782504956e-01,  1.524120429699077e+00
sample_26   , -1.247394618919144e+00, -1.285353122205417e+00,  1.710317019063683e-01, -2.980538759349169e+00
sample_27   ,  8.919970619715032e-01,  6.481468141948405e-01, -1.949591703672147e-01,  1.271761158847956e+00
sample_28   , -5.936231431133940e-01, -6.176445806082619e-01, -2.315691308539493e-01, -1.045315408381006e+00
sample_29   , -5.744786804364913e-01, -7.766752584374336e-01, -2.796051924259857e-01, -1.263026685056583e+00
sample_30   ,  1.274992153767564e+00,  1.039185784024648e+00,  2.225048685367538e-02,  1.639637252719360e+00
sample_31   ,  9.039863930935171e-01,  1.112886335734910e+00, -1.390385862672311e-01,  2.050701228068951e+00
sample_32   , -1.231648551182150e+00, -1.284837604614653e+00,  1.713037170252781e-01, -2.980029548566534e+00
sample_33   , -1.680752546758683e+00, -1.561651355177872e+00,  7.544222460541798e-02, -3.338286869181183e+00
sample_34   ,  1.000664370980082e+00,  1.261874915463516e+00,  7.633861352878747e-02,  1.966761929256136e+00
sample_35   , -4.582114196258733e-02,  4.650113352248945e-01,  1.117556324968479e-01,  4.092799503067285e-01
sample_36   , -1.649980605237195e+00, -1.151410059228622e+00,  2.140325308148892e-01, -2.801468731627535e+00
sample_37   ,  1.310516023197298e+00,  1.047623097913199e+00,  8.070270358091151e-03,  1.679456519152249e+00
sample_38   ,  1.202465930421095e+00,  1.109422972228429e+00,  2.043210587174439e-01,  1.463974196101653e+00
sample_39   , -5.975129901431819e-01, -3.934613276192171e-01, -1.841948275430351e-01, -7.040374735891369e-01
sample_40   ,  8.169730762088728e-01,  8.498723976010367e-01, -1.199420782504956e-01,  1.524120429699077e+00
sample_41   , -6.678328637255340e-01, -3.966295623739144e-01, -1.841141212130007e-01, -7.101282653349610e-01
sample_42   , -3.074498989691304e-01,  3.037345411964403e-01, -1.196245094926429e+00,  2.316467971911818e+00
sample_43   , -5.114856329606416e-01, -8.908792589387494e-01,  2.928865445327850e-01, -2.445074076188675e+00
sample_44   , -6.213527234794211e-01, -7.154626104287026e-01, -2.570841670318668e-01, -1.186039629054199e+00
sample_45   , -1.670792832474174e+00, -1.416332061959414e+00,  1.319213651055089e-01, -3.160612237755243e+00
sample_46   ,  2.564616474882058e-01, -7.078078085193561e-01, -2.584597854892006e-01, -1.169328562292723e+00
sample_47   , -1.647019150504399e+00, -1.561651355177872e+00,  7.544222460541798e-02, -3.338286869181183e+00
sample_48   , -6.380347248141381e-01, -7.078078085193561e-01, -2.584597854892006e-01, -1.169328562292723e+00
sample_49   ,  6.290852116167501e-01,  9.102171522699904e-01, -4.098147452844678e-02,  1.504103308399392e+00
sample_50   ,  1.035495773725665e+00,  8.842330717361992e-01, -5.493022850807946e-02,  1.478839530253306e+00
sample_51   ,  6.731337708317935e-01,  6.481468141948405e-01, -1.949591703672147e-01,  1.271761158847956e+00
sample_52   , -3.499379620903641e-01, -5.033112240684328e-01, -2.097747988817514e-01, -8.672647757524850e-01
sample_53   ,  1.010920146224281e+00,  1.038334861632065e+00, -1.410489619160541e-02,  1.699472281204679e+00
sample_54   , -1.475753379433461e+00, -1.285353122205417e+00,  1.710317019063683e-01, -2.980538759349169e+00
sample_55   , -1.160854811038070e+00, -1.415454890957786e+00, -1.549437105115312e+00, -3.177609224313864e-01
sample_56   ,  1.127082595308681e+00,  1.016640664640478e+00,  6.637096311683346e-03,  1.623649638227176e+00
sample_57   ,  1.113333248749128e+00,  1.109422972228429e+00,  2.043210587174439e-01,  1.463974196101653e+00
sample_58   ,  6.868492790716176e-01,  6.965516090865048e-02, -6.046211399265157e-01,  8.767954782167504e-01
sample_59   , -7.608867278208071e-01, -5.033112240684328e-01, -2.097747988817514e-01, -8.672647757524850e-01
sample_60   ,  1.060096040465768e+00,  8.190783628275912e-01,  4.387815651751298e-02,  1.189418169821046e+00
sample_61   ,  1.451440598076227e-01,  1.740746109188724e-01, -5.386156514954161e-01,  9.615046673205681e-01
sample_62   ,  1.163721211611933e+00,  1.039185784024648e+00,  2.225048685367538e-02,  1.639637252719360e+00
sample_63   , -8.981780736465206e-01, -3.966295623739144e-01, -1.841141212130007e-01, -7.101282653349610e-01
sample_64   , -1.717450225724758e+00, -1.151410059228622e+00,  2.140325308148892e-01, -2.801468731627535e+00
sample_65   ,  1.189139449145727e+00,  9.102171522699904e-01, -4.098147452844678e-02,  1.504103308399392e+00
sample_66   , -1.456249553720251e-01, -5.033112240684328e-01, -2.097747988817514e-01, -8.672647757524850e-01
sample_67   , -1.670851310037400e+00, -1.416332061959414e+00,  1.319213651055089e-01, -3.160612237755243e+00
sample_68   ,  3.436486417661265e-01, -5.937139122655273e-02, -2.331594375857676e-01,  6.596153821732287e-03
sample_69   , -1.190561686191609e-02, -6.972188026465936e-01, -2.572694617482066e-01, -1.151438918295560e+00
sample_70   ,  6.121225244678702e-01,  3.293658449166494e-01, -4.463039415561872e-01,  1.097369867395277e+00
sample_71   ,  5.058499676489997e-01,  2.475876994182772e-01, -4.450169000937237e-01,  9.415003263231081e-01
sample_72   , -1.475664119073807e+00, -1.285353122205417e+00,  1.710317019063683e-01, -2.980538759349169e+00
sample_73   ,  3.602432680648199e-01,  6.987053247055071e-01, -6.562609693979349e-01,  2.146300964409195e+00
sample_74   , -1.195524660971759e+00, -8.908792589387494e-01,  2.928865445327850e-01, -2.445074076188675e+00
sample_75   , -4.019975576780604e-01,  3.920571947395142e-01, -2.821454160123698e-01,  9.377933227668843e-01
sample_76   ,  1.592214203272649e-01, -6.045910195047963e-01, -2.337514401116314e-01, -1.017094692697744e+00
sample_77   ,  1.858250802780536e+00,  1.061701768737868e+00, -1.556934850604459e-02,  1.745862949501511e+00
sample_78   ,  7.382393894293018e-01,  1.038334861632065e+00, -1.410489619160541e-02,  1.699472281204679e+00
sample_79   , -1.506539330867606e+00, -1.151410059228622e+00,  2.140325308148892e-01, -2.801468731627535e+00
sample_80   ,  1.690006426761778e+00,  9.913731734635376e-01, -5.008025840535185e-01,  2.433646274672782e+00
sample_81   ,  9.877121916268211e-01,  8.842330717361992e-01, -5.493022850807946e-02,  1.478839530253306e+00
