# c0 + a0 * (surf_charge_avg * Tx_p_skew) + a1 * (M_tot_center / Tx_charge_std) + a2 * (Tx_s_fill + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.351467183806442; Max AE: 1.10351816743476
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  7.916916438587797e-01,  7.364348873708301e-03,  5.337759063100107e-01,  1.481449422888254e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         68|25|mult; (surf_charge_avg * Tx_p_skew); $\left(surf_{charge, avg} Tx_{p, skew}\right)$; (surf_charge_avg .* Tx_p_skew); surf_charge_avg,Tx_p_skew
# 1;  1; Unitless;                                         107|141|div; (M_tot_center / Tx_charge_std); $\left(\frac{ M_{tot, center} }{ Tx_{charge, std} } \right)$; (M_tot_center ./ Tx_charge_std); M_tot_center,Tx_charge_std
# 2;  1; Unitless;                                         136|33|add; (Tx_s_fill + surf_tot_fill); $\left(Tx_{s, fill} + surf_{tot, fill}\right)$; (Tx_s_fill + surf_tot_fill); Tx_s_fill,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  6.471147974019836e-01,  5.622569769182076e-01, -4.463039415561872e-01,  2.467258726744015e+01,  1.097369867395277e+00
sample_1    , -1.211346759298101e+00, -9.346736598114350e-01,  2.931680724204399e-01, -1.191337183830090e+00, -2.446989227488978e+00
sample_2    , -7.586258986840756e-01, -4.852583352865246e-01, -2.097747988817514e-01, -5.976469333485287e-01, -8.672647757524850e-01
sample_3    ,  1.160849504833733e+00,  1.157382311559958e+00, -3.634632504745662e-02,  1.495904458636273e-01,  1.942595764639928e+00
sample_4    , -7.548356813046568e-01, -7.561737188573143e-01, -1.005996314264298e+00, -5.742396116355399e+00, -1.228807374838694e-01
sample_5    , -6.770948454104094e-01, -4.511599064502916e-01, -2.806976988693325e-01,  1.106973945086142e+00, -7.217091739540982e-01
sample_6    , -1.682203336469330e+00, -1.446390999576535e+00,  1.340050920386675e-01, -1.832657886597798e+00, -3.160746488328710e+00
sample_7    , -4.637411876033378e-01, -3.784399960256712e-01, -1.841948275430351e-01, -6.736769333575462e-01, -7.040374735891369e-01
sample_8    ,  1.243136085642117e+00,  1.173558406124055e+00, -5.008025840535185e-01,  1.668483406462612e+01,  2.433646274672782e+00
sample_9    , -1.150091200885186e+00, -1.171900101720507e+00,  2.106569298323648e-01,  1.287615808498677e+00, -2.803241602738458e+00
sample_10   ,  1.120476158198867e+00,  9.963547377930049e-01,  6.637096311683346e-03, -3.219537228137750e+00,  1.623649638227176e+00
sample_11   , -7.836939209364374e-01, -1.194923346111599e+00,  2.140325308148892e-01, -2.330082894108590e+00, -2.801468731627535e+00
sample_12   , -6.014333599221068e-01, -1.171900101720507e+00,  2.106569298323648e-01,  1.287615808498677e+00, -2.803241602738458e+00
sample_13   ,  3.144920332825995e-01,  7.588803049290325e-01, -1.151445886847780e-01, -8.042027688516417e-01,  1.326056108425089e+00
sample_14   ,  1.313590629906779e+00,  1.027512647780781e+00, -4.164240853202442e-02,  1.774131330480757e-01,  1.706763286579021e+00
sample_15   ,  1.202272944705296e+00,  8.792722414834756e-01, -5.025408347333959e-02, -1.232145361155251e+00,  1.461263006127399e+00
sample_16   , -9.301172910850198e-01, -4.909653746110120e-01, -2.095061242466876e-01, -6.467682549092646e-01, -8.776773855633995e-01
sample_17   , -5.618988526743032e-01, -7.559320805324314e-01, -2.796051924259857e-01, -1.160009531700763e+00, -1.263026685056583e+00
sample_18   , -1.450899276504839e+00, -1.190682067488819e+00,  2.136909523228498e-01, -1.670438076153939e+00, -2.802117226824508e+00
sample_19   ,  9.612569931124243e-01,  9.963547377930049e-01,  6.637096311683346e-03, -3.219537228137750e+00,  1.623649638227176e+00
sample_20   ,  1.113394814341984e+00,  1.106195076706066e+00,  2.043210587174439e-01,  2.017382185772393e+00,  1.463974196101653e+00
sample_21   ,  7.050383698082120e-01,  7.476977118972957e-01, -5.612423331368692e-01, -1.207337420700977e+00,  1.972316240695250e+00
sample_22   , -1.910238471282477e+00, -1.935448254689690e+00, -1.163420411817244e+00, -3.491758885905209e+02,  2.639553540285397e+00
sample_23   ,  3.603589879841972e-01,  5.746217934851625e-01, -8.414178326207653e-01, -2.957914813695039e+01,  2.455059265605873e+00
sample_24   ,  1.888270611039470e-01, -2.303605890672336e-01, -4.088199631795185e-01, -1.109254026486884e+01,  5.028918207930588e-02
sample_25   ,  8.080324448298829e-01,  8.660210726868257e-01, -1.199420782504956e-01, -9.579831215939516e-02,  1.524120429699077e+00
sample_26   , -1.247394618919144e+00, -1.315901388405057e+00,  1.710317019063683e-01, -1.155692446180488e+00, -2.980538759349169e+00
