# c0 + a0 * (site_charge_std - site_charge_avg) + a1 * (surf_charge_avg * Tx_p_skew) + a2 * (M_tot_center / Tx_charge_std) + a3 * (Tx_charge_sum + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.30796840917397; Max AE: 1.0998852069267
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.796077030297208e-01,  8.760725235691118e-01,  7.145716159102925e-03,  5.029262366334368e-01,  1.613561339142311e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         5|0|sub; (site_charge_std - site_charge_avg); $\left(site_{charge, std} - site_{charge, avg}\right)$; (site_charge_std - site_charge_avg); site_charge_std,site_charge_avg
# 1;  1; Unitless;                                         68|25|mult; (surf_charge_avg * Tx_p_skew); $\left(surf_{charge, avg} Tx_{p, skew}\right)$; (surf_charge_avg .* Tx_p_skew); surf_charge_avg,Tx_p_skew
# 2;  1; Unitless;                                         107|141|div; (M_tot_center / Tx_charge_std); $\left(\frac{ M_{tot, center} }{ Tx_{charge, std} } \right)$; (M_tot_center ./ Tx_charge_std); M_tot_center,Tx_charge_std
# 3;  1; Unitless;                                         112|33|add; (Tx_charge_sum + surf_tot_fill); $\left(Tx_{charge, sum} + surf_{tot, fill}\right)$; (Tx_charge_sum + surf_tot_fill); Tx_charge_sum,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  6.471147974019836e-01,  6.574873276346330e-01,  3.335750365859889e-01, -4.463039415561872e-01,  2.467258726744015e+01,  1.294245189518132e+00
sample_1    , -1.211346759298101e+00, -1.211396470455762e+00, -2.865128317223351e+00,  2.931680724204399e-01, -1.191337183830090e+00, -2.200078149640059e+00
sample_2    , -7.586258986840756e-01, -5.744523471171926e-01,  1.304625708527013e+00, -2.097747988817514e-01, -5.976469333485287e-01, -1.555060559779276e+00
sample_3    ,  1.160849504833733e+00,  1.090132099224691e+00, -5.379480535799110e-01, -3.634632504745662e-02,  1.495904458636273e-01,  2.100046862684537e+00
sample_4    , -7.548356813046568e-01, -8.617296974013121e-01, -1.782260892982110e-01, -1.005996314264298e+00, -5.742396116355399e+00, -1.366319458641526e-01
sample_5    , -6.770948454104094e-01, -8.132476604102296e-01,  1.587488647968580e+00, -2.806976988693325e-01,  1.106973945086142e+00, -2.031565445879016e+00
sample_6    , -1.682203336469330e+00, -1.515892708825679e+00, -1.759986271885079e+00,  1.340050920386675e-01, -1.832657886597798e+00, -2.913835410479790e+00
sample_7    , -4.637411876033378e-01, -2.737579014156856e-01,  2.369386470720923e+00, -1.841948275430351e-01, -6.736769333575462e-01, -1.380902635010618e+00
sample_8    ,  1.243136085642117e+00,  1.150515056019214e+00,  1.473418633898783e-01, -5.008025840535185e-01,  1.668483406462612e+01,  2.549498097929038e+00
sample_9    , -1.150091200885186e+00, -1.342640615687671e+00, -2.294460300930975e+00,  2.106569298323648e-01,  1.287615808498677e+00, -2.556330524889539e+00
