# c0 + a0 * (CN_p_var / surf_tot_fill) + a1 * (site_charge_std - site_charge_avg) + a2 * (surf_charge_avg * Tx_p_skew) + a3 * (M_tot_center / Tx_charge_std) + a4 * (Tx_charge_sum + Tx_charge_max)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.280156812404664; Max AE: 1.19323235013859
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.948516776434134e-02,  1.729108954222435e-01,  7.983988263213047e-01,  6.474780591653993e-03,  4.979757483494958e-01,  1.864384763348154e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         53|33|div; (CN_p_var / surf_tot_fill); $\left(\frac{ CN_{p, var} }{ surf_{tot, fill} } \right)$; (CN_p_var ./ surf_tot_fill); CN_p_var,surf_tot_fill
# 1;  1; Unitless;                                         5|0|sub; (site_charge_std - site_charge_avg); $\left(site_{charge, std} - site_{charge, avg}\right)$; (site_charge_std - site_charge_avg); site_charge_std,site_charge_avg
# 2;  1; Unitless;                                         68|25|mult; (surf_charge_avg * Tx_p_skew); $\left(surf_{charge, avg} Tx_{p, skew}\right)$; (surf_charge_avg .* Tx_p_skew); surf_charge_avg,Tx_p_skew
# 3;  1; Unitless;                                         107|141|div; (M_tot_center / Tx_charge_std); $\left(\frac{ M_{tot, center} }{ Tx_{charge, std} } \right)$; (M_tot_center ./ Tx_charge_std); M_tot_center,Tx_charge_std
# 4;  1; Unitless;                                         112|38|add; (Tx_charge_sum + Tx_charge_max); $\left(Tx_{charge, sum} + Tx_{charge, max}\right)$; (Tx_charge_sum + Tx_charge_max); Tx_charge_sum,Tx_charge_max
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  6.471147974019836e-01,  8.432958571196890e-01, -3.430647968294143e+00,  3.335750365859889e-01, -4.463039415561872e-01,  2.467258726744015e+01,  1.732221560017432e+00
sample_1    , -1.211346759298101e+00, -1.468177619757889e+00, -1.726685349053430e+00, -2.865128317223351e+00,  2.931680724204399e-01, -1.191337183830090e+00, -2.714812603022621e+00
sample_2    , -7.586258986840756e-01, -6.729506119470463e-01, -1.078790095174684e+00,  1.304625708527013e+00, -2.097747988817514e-01, -5.976469333485287e-01, -1.792454951314251e+00
sample_3    ,  1.160849504833733e+00,  1.083218828212351e+00,  1.439092694952951e+00, -5.379480535799110e-01, -3.634632504745662e-02,  1.495904458636273e-01,  1.987660584169298e+00
sample_4    , -7.548356813046568e-01, -7.973804655456199e-01, -1.141896069300375e+01, -1.782260892982110e-01, -1.005996314264298e+00, -5.742396116355399e+00,  2.206245735568527e-01
sample_5    , -6.770948454104094e-01, -5.898627730281082e-01,  1.829503499929347e-01,  1.587488647968580e+00, -2.806976988693325e-01,  1.106973945086142e+00, -1.681645851389917e+00
sample_6    , -1.682203336469330e+00, -1.368187870520759e+00,  3.326552049585099e-01, -1.759986271885079e+00,  1.340050920386675e-01, -1.832657886597798e+00, -2.714812603022621e+00
sample_7    , -4.637411876033378e-01, -4.613586232936442e-01, -2.878777079754199e-01,  2.369386470720923e+00, -1.841948275430351e-01, -6.736769333575462e-01, -1.808235941154136e+00
sample_8    ,  1.243136085642117e+00,  9.606523356820451e-01, -3.603878109937603e-02,  1.473418633898783e-01, -5.008025840535185e-01,  1.668483406462612e+01,  2.090962514766205e+00
sample_9    , -1.150091200885186e+00, -1.399899606488204e+00, -7.295464741350842e-01, -2.294460300930975e+00,  2.106569298323648e-01,  1.287615808498677e+00, -2.714812603022621e+00
