# FEAT_ID     Score                   Feature Expression
0             0.303648161122973825    (surf_M_M_length_sum - surf_bond_length_sum)
1             0.306172029536590951    (surf_bond_length_sum - surf_bond_length_avg)
2             0.322952785224494554    (site_bond_length_std + lattice_param_c)
3             0.328956714664822403    (surf_bond_length_sum + lattice_param_alpha)
4             0.331010553857883472    (site_bond_length_sum + surf_bond_length_sum)
5             0.331581657938374297    (surf_bond_length_sum * site_bond_length_std)
6             0.339311376425356692    (surf_bond_length_sum - lattice_param_beta)
7             0.344727605044863383    (surf_bond_length_sum + lattice_param_b)
8             0.356704634928413256    (surf_bond_length_sum - site_bond_length_max)
9             0.35826222022994042     (surf_bond_length_sum + site_bond_length_std)
10            0.362767651780083134    (surf_bond_length_sum^2)
11            0.368147362756707119    (lattice_param_a + surf_bond_length_sum)
12            0.391410762158179604    (surf_bond_length_sum / site_bond_length_sum)
13            0.413957498250807132    (site_bond_length_avg - surf_bond_length_sum)
14            0.436031929369883109    (site_bond_length_min - surf_bond_length_sum)
15            0.437480838885681622    (surf_bond_length_sum - surf_bond_length_std)
16            0.45945449225869478     (surf_bond_length_sum^3)
17            0.468638487584487118    (surf_bond_length_sum / lattice_param_gamma)
18            0.487509347544549998    (surf_bond_length_sum + lattice_param_c)
19            0.514290491067841415    surf_bond_length_sum
#-----------------------------------------------------------------------
20            0.278740233844866736    (surf_bond_length_sum + surf_M_M_length_avg)
21            0.280369230864324026    (surf_bond_length_sum + surf_M_Tx_length_min)
22            0.281314685987829216    (surf_bond_length_sum - lattice_param_alpha)
23            0.289593769297924686    lattice_param_c
24            0.291453110321060804    (site_bond_length_avg - lattice_param_c)
25            0.298735730799354782    (surf_bond_length_sum + site_bond_length_max)
26            0.299772773837011897    (surf_M_M_length_max + lattice_param_c)
27            0.308938464394222734    (surf_bond_length_min + surf_bond_length_sum)
28            0.310015749065682633    (surf_M_M_length_min + lattice_param_c)
29            0.310358938044793253    (lattice_param_b + lattice_param_c)
30            0.311043673334087889    (surf_bond_length_min + lattice_param_c)
31            0.316560992934674379    (surf_bond_length_sum + surf_bond_length_avg)
32            0.331529385182003922    (lattice_param_c + surf_bond_length_avg)
33            0.334449204750387086    (surf_M_M_length_max - surf_bond_length_std)
