# FEAT_ID     Feature Postfix Expression (RPN)
0             38|27|sub
1             27|7|sub
2             23|18|add
3             27|20|add
4             39|27|add
5             27|23|mult
6             27|22|sub
7             27|21|add
8             27|6|sub
9             27|23|add
10            27|sq
11            30|27|add
12            27|39|div
13            36|27|sub
14            32|27|sub
15            27|2|sub
16            27|cb
17            27|9|div
18            27|18|add
19            27
#-----------------------------------------------------------------------
20            27|12|add
21            27|8|add
22            27|20|sub
23            18
24            36|18|sub
25            27|6|add
26            44|18|add
27            28|27|add
28            35|18|add
29            21|18|add
30            28|18|add
31            27|7|add
32            18|7|add
33            44|2|sub
34            18|12|add
35            30|18|add
36            18|9|div
37            38|18|add
38            38|27|add
39            12|2|sub
#-----------------------------------------------------------------------
40            35|6|mult
41            30|21|mult
42            32|21|add
43            18|6|sub
44            36|28|add
45            28|11|sub
46            36|12|add
47            38|6|add
48            28|2|add
49            36|33|add
50            32|12|add
51            32|13|add
52            32|inv
53            21|sq
54            7|6|add
55            32|7|add
56            28|2|mult
57            32|31|add
58            36|7|add
59            38|36|add
#-----------------------------------------------------------------------
60            30|7|mult
61            6|9|div
62            36|6|add
63            36|9|div
64            44|6|sub
65            38|30|mult
66            4|28|div
67            36|21|add
68            31|18|div
69            20|6|sub
70            8|18|div
71            36|20|sub
72            36|7|sub
73            28|32|div
74            6|32|div
75            30|7|div
76            38|13|div
77            4|44|div
78            12|13|div
79            8|33|div
#-----------------------------------------------------------------------
80            44|38|div
81            6
82            36|32|add
83            35|28|div
84            22|7|mult
85            32|22|add
86            32|23|div
87            36|23|div
88            36|23|mult
89            32|6|add
90            23|32|div
91            39|32|div
92            6|cb
93            36|32|div
94            36
95            36|cb
96            18|28|div
97            32|20|sub
98            22|6|add
99            36|22|add
#-----------------------------------------------------------------------
