# c0 + a0 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.696928625421685; Max AE: 2.55458411950001
# Coefficients
# Task   a0                      c0
# all ,  7.171404960451200e-01, -2.458789526294040e-16, 
# Feature Rung, Units, and Expressions
# 0;  0; Unitless;                                         27; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  6.471147974019836e-01,  9.666684193373051e-01,  1.347948448969595e+00
sample_1    , -1.211346759298101e+00, -1.107948166881319e+00, -1.544952729613544e+00
sample_2    , -7.586258986840756e-01,  1.560565072854950e-01,  2.176093919477624e-01
sample_3    ,  1.160849504833733e+00,  2.662536479522825e-01,  3.712712493864396e-01
sample_4    , -7.548356813046568e-01,  2.642523543298201e-01,  3.684805917210322e-01
sample_5    , -6.770948454104094e-01,  4.630552853531420e-02,  6.456967468812563e-02
sample_6    , -1.682203336469330e+00, -9.775115591744651e-01, -1.363068414857670e+00
sample_7    , -4.637411876033378e-01,  2.111282640835600e-01,  2.944029311521083e-01
sample_8    ,  1.243136085642117e+00,  6.190517413344541e-01,  8.632224016749791e-01
sample_9    , -1.150091200885186e+00, -1.421038001100495e+00, -1.981533617104629e+00
sample_10   ,  1.120476158198867e+00,  6.096245295351150e-01,  8.500768439337442e-01
sample_11   , -7.836939209364374e-01, -1.090818591436698e+00, -1.521066788798477e+00
sample_12   , -6.014333599221068e-01, -1.421038001100495e+00, -1.981533617104629e+00
sample_13   ,  3.144920332825995e-01, -3.389646463667831e-01, -4.726614216267274e-01
sample_14   ,  1.313590629906779e+00,  3.307056365430995e-01,  4.611448361469924e-01
sample_15   ,  1.202272944705296e+00,  6.379698156863889e-01,  8.896022734801052e-01
sample_16   , -9.301172910850198e-01,  1.849961193163088e-01,  2.579635654889439e-01
sample_17   , -5.618988526743032e-01,  4.337734005792873e-01,  6.048652990194491e-01
sample_18   , -1.450899276504839e+00, -1.088565245971063e+00, -1.517924663262322e+00
sample_19   ,  9.612569931124243e-01,  6.096245295351150e-01,  8.500768439337442e-01
sample_20   ,  1.113394814341984e+00,  2.199424404576279e-01,  3.066936558046363e-01
sample_21   ,  7.050383698082120e-01,  5.997030290461636e-01,  8.362420367464963e-01
sample_22   , -1.910238471282477e+00,  6.443456482175355e-01,  8.984929058824140e-01
sample_23   ,  3.603589879841972e-01,  6.348725642450073e-01,  8.852833827488437e-01
sample_24   ,  1.888270611039470e-01,  1.750673459954161e-01,  2.441186168691856e-01
sample_25   ,  8.080324448298829e-01,  5.509989997069439e-01,  7.683278280136019e-01
sample_26   , -1.247394618919144e+00, -1.126639356788679e+00, -1.571016227645573e+00
sample_27   ,  8.919970619715032e-01,  8.931603864239650e-01,  1.245446870382524e+00
sample_28   , -5.936231431133940e-01,  2.490352202436308e-01,  3.472614105841300e-01
sample_29   , -5.744786804364913e-01,  4.337734005792873e-01,  6.048652990194491e-01
sample_30   ,  1.274992153767564e+00,  6.561490360561445e-01,  9.149518674160358e-01
sample_31   ,  9.039863930935171e-01,  3.786621647310568e-01,  5.280167091654979e-01
sample_32   , -1.231648551182150e+00, -1.139259122640767e+00, -1.588613568643163e+00
sample_33   , -1.680752546758683e+00, -1.222069864007462e+00, -1.704087094156475e+00
sample_34   ,  1.000664370980082e+00,  2.595570838930210e-01,  3.619333803130967e-01
sample_35   , -4.582114196258733e-02,  3.201331446399591e-01,  4.464022690190093e-01
