# c0 + a0 * (site_bond_length_avg - lattice_param_c) + a1 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.650045791672628; Max AE: 2.6827695164855
# Coefficients
# Task   a0                      a1                      c0
# all , -1.878767899874392e-01,  6.285270744740714e-01, -3.513143478517813e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         36|18|sub; (site_bond_length_avg - lattice_param_c); $\left(site_{bond, length, avg} - lattice_{param, c}\right)$; (site_bond_length_avg - lattice_param_c); site_bond_length_avg,lattice_param_c
# 1;  0; Unitless;                                         27; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  6.471147974019836e-01,  1.082831862381205e+00, -1.254065322407498e+00,  1.347948448969595e+00
sample_1    , -1.211346759298101e+00, -1.203472617667016e+00,  1.237129920826428e+00, -1.544952729613544e+00
sample_2    , -7.586258986840756e-01,  2.369977286414197e-02,  6.018498700261273e-01,  2.176093919477624e-01
sample_3    ,  1.160849504833733e+00,  1.192250298479075e-01,  6.074672788103024e-01,  3.712712493864396e-01
sample_4    , -7.548356813046568e-01,  7.455113087926511e-02,  8.359143108956109e-01,  3.684805917210322e-01
sample_5    , -6.770948454104094e-01, -6.924205397768854e-02,  5.845631209501763e-01,  6.456967468812563e-02
sample_6    , -1.682203336469330e+00, -1.212264398030693e+00,  1.892405096744316e+00, -1.363068414857670e+00
sample_7    , -4.637411876033378e-01,  9.267364055653560e-02,  4.916337589292720e-01,  2.944029311521083e-01
sample_8    ,  1.243136085642117e+00,  3.460779166988754e-01,  1.045795673108513e+00,  8.632224016749791e-01
sample_9    , -1.150091200885186e+00, -1.506695664493688e+00,  1.390529065247266e+00, -1.981533617104629e+00
sample_10   ,  1.120476158198867e+00,  7.861144644962936e-01, -1.340336678720675e+00,  8.500768439337442e-01
sample_11   , -7.836939209364374e-01, -4.379371301661656e-01, -2.757629235158050e+00, -1.521066788798477e+00
sample_12   , -6.014333599221068e-01, -7.273542887819305e-01, -2.757622368273936e+00, -1.981533617104629e+00
sample_13   ,  3.144920332825995e-01, -4.738587819533981e-01,  9.409266648286571e-01, -4.726614216267274e-01
sample_14   ,  1.313590629906779e+00,  1.883519757634721e-01,  5.401946617014638e-01,  4.611448361469924e-01
sample_15   ,  1.202272944705296e+00,  8.081548187296940e-01, -1.325420262664746e+00,  8.896022734801052e-01
sample_16   , -9.301172910850198e-01,  6.093267324715777e-02,  5.386743721631316e-01,  2.579635654889439e-01
sample_17   , -5.618988526743032e-01,  2.212108059718160e-01,  8.461045714182689e-01,  6.048652990194491e-01
sample_18   , -1.450899276504839e+00, -1.230794004728041e+00,  1.472972030628347e+00, -1.517924663262322e+00
sample_19   ,  9.612569931124243e-01,  7.416394388960360e-01, -1.103612250954844e+00,  8.500768439337442e-01
sample_20   ,  1.113394814341984e+00,  8.361099607895418e-02,  5.809885839064475e-01,  3.066936558046363e-01
sample_21   ,  7.050383698082120e-01,  1.503609645056066e+00, -5.205586513442871e+00,  8.362420367464963e-01
sample_22   , -1.910238471282477e+00,  7.725310452030262e-01, -1.106064925033788e+00,  8.984929058824140e-01
sample_23   ,  3.603589879841972e-01,  7.673925471957331e-01, -1.122905988388442e+00,  8.852833827488437e-01
sample_24   ,  1.888270611039470e-01,  1.590315184999625e-01, -2.978738573770101e-02,  2.441186168691856e-01
sample_25   ,  8.080324448298829e-01,  6.830897075725313e-01, -1.065458195275254e+00,  7.683278280136019e-01
sample_26   , -1.247394618919144e+00, -1.311151430662470e+00,  1.723071791735154e+00, -1.571016227645573e+00
sample_27   ,  8.919970619715032e-01,  8.971878241195068e-01, -6.088604466402653e-01,  1.245446870382524e+00
sample_28   , -5.936231431133940e-01,  1.114595375356787e-01,  5.684771436836029e-01,  3.472614105841300e-01
sample_29   , -5.744786804364913e-01,  2.210546520851139e-01,  8.469357219116991e-01,  6.048652990194491e-01
sample_30   ,  1.274992153767564e+00,  8.884327238017217e-01, -1.667905350687984e+00,  9.149518674160358e-01
sample_31   ,  9.039863930935171e-01,  5.149273653338018e-01, -9.743330608364316e-01,  5.280167091654979e-01
sample_32   , -1.231648551182150e+00, -1.308630587769782e+00,  1.650783734496502e+00, -1.588613568643163e+00
sample_33   , -1.680752546758683e+00, -1.237510917959671e+00,  8.859319026666789e-01, -1.704087094156475e+00
sample_34   ,  1.000664370980082e+00,  1.855402011549135e-01,  2.232565690024436e-01,  3.619333803130967e-01
sample_35   , -4.582114196258733e-02,  2.556731110982271e-01,  1.325485765886397e-01,  4.464022690190093e-01
sample_36   , -1.649980605237195e+00, -1.226988803773964e+00,  1.442206591611990e+00, -1.521066788798477e+00
sample_37   ,  1.310516023197298e+00,  5.376500474701765e-01, -1.496286662847253e+00,  4.081487063513921e-01
sample_38   ,  1.202465930421095e+00,  3.588720490738671e-02,  8.350050123048576e-01,  3.066936558046363e-01
sample_39   , -5.975129901431819e-01,  9.300135606982284e-02,  4.898894481322377e-01,  2.944029311521083e-01
sample_40   ,  8.169730762088728e-01,  7.546724041952967e-01, -1.446466922471153e+00,  7.683278280136019e-01
sample_41   , -6.678328637255340e-01,  1.215091199265820e-01,  4.917950328289559e-01,  3.403290020644578e-01
sample_42   , -3.074498989691304e-01,  6.062719122284737e-01, -1.280532973238502e+00,  5.818197856462244e-01
sample_43   , -5.114856329606416e-01, -4.774195431870810e-01, -2.757607687663361e+00, -1.583877710316559e+00
sample_44   , -6.213527234794211e-01,  7.644038477081015e-02,  6.859089500186656e-01,  3.266474347119661e-01
sample_45   , -1.670792832474174e+00, -1.393045883999637e+00,  1.601968596000847e+00, -1.737511733183681e+00
sample_46   ,  2.564616474882058e-01, -8.389454277151216e-02,  2.726341447768610e-02, -1.253285390152221e-01
sample_47   , -1.647019150504399e+00, -1.237670515572241e+00,  8.867813828636748e-01, -1.704087094156475e+00
sample_48   , -6.380347248141381e-01, -1.686413656035102e-01,  4.783400101426638e-01, -1.253285390152221e-01
sample_49   ,  6.290852116167501e-01,  1.197559517665827e+00, -4.901611004887412e+00,  4.401728860001352e-01
sample_50   ,  1.035495773725665e+00,  8.247914398220075e-01, -1.306344522493206e+00,  9.217735366501073e-01
sample_51   ,  6.731337708317935e-01,  9.382388759950746e-01, -8.273603043305758e-01,  1.245446870382524e+00
sample_52   , -3.499379620903641e-01,  2.359708509801298e-02,  6.023964397548088e-01,  2.176093919477624e-01
sample_53   ,  1.010920146224281e+00,  6.362120338492525e-01, -1.082147873402697e+00,  6.887556362864029e-01
sample_54   , -1.475753379433461e+00, -1.311151430662470e+00,  1.723071791735154e+00, -1.571016227645573e+00
sample_55   , -1.160854811038070e+00,  5.464513287628098e-01,  2.391959756781815e-01,  9.409152363818132e-01
sample_56   ,  1.127082595308681e+00,  7.744734569209941e-01, -1.278375818222271e+00,  8.500768439337442e-01
sample_57   ,  1.113333248749128e+00,  8.362225642351466e-02,  5.809286491770899e-01,  3.066936558046363e-01
sample_58   ,  6.868492790716176e-01,  2.399548740962553e-01,  6.783004309533742e-01,  5.845281717073084e-01
sample_59   , -7.608867278208071e-01, -1.929403891677690e-02,  8.306903339482185e-01,  2.176093919477624e-01
sample_60   ,  1.060096040465768e+00,  4.194281894973174e-01,  6.351166126395495e-01,  8.571657162080729e-01
sample_61   ,  1.451440598076227e-01,  2.546614488901276e-03,  4.503965139378913e-01,  1.386824359507864e-01
sample_62   ,  1.163721211611933e+00,  8.252826796505854e-01, -1.331780573618085e+00,  9.149518674160358e-01
sample_63   , -8.981780736465206e-01,  1.908148833690025e-01,  1.229055949848556e-01,  3.403290020644578e-01
sample_64   , -1.717450225724758e+00, -1.227000643777517e+00,  1.442269611655895e+00, -1.521066788798477e+00
sample_65   ,  1.189139449145727e+00,  4.955918448124353e-01, -1.165291724042117e+00,  4.401728860001352e-01
sample_66   , -1.456249553720251e-01,  1.093793331275927e-01,  1.458086513679901e-01,  2.176093919477624e-01
sample_67   , -1.670851310037400e+00, -1.376590394637224e+00,  1.514381995423345e+00, -1.737511733183681e+00
sample_68   ,  3.436486417661265e-01,  2.977603602395422e-01,  6.988709444560053e-01,  6.826467901298447e-01
sample_69   , -1.190561686191609e-02,  1.895945042305595e-01,  2.367613944782260e-01,  3.724206713194423e-01
sample_70   ,  6.121225244678702e-01,  9.979978715735142e-01, -8.025247632284611e-01,  1.347948448969595e+00
sample_71   ,  5.058499676489997e-01,  2.556343453010359e-01,  6.920985467557254e-01,  6.135990226724645e-01
sample_72   , -1.475664119073807e+00, -1.311160566136480e+00,  1.723120416549380e+00, -1.571016227645573e+00
sample_73   ,  3.602432680648199e-01,  6.238990228926451e-01, -1.459496021307457e+00,  5.563699792925738e-01
sample_74   , -1.195524660971759e+00, -1.233852505473484e+00,  1.268610571318898e+00, -1.583877710316559e+00
sample_75   , -4.019975576780604e-01,  4.342251446267055e-01,  9.311633635648080e-01,  9.692010942200053e-01
sample_76   ,  1.592214203272649e-01, -8.253432868981488e-02, -5.025852764100858e-02, -1.463369570984114e-01
sample_77   ,  1.858250802780536e+00,  1.703654893835773e-01,  7.096902014957067e-01,  4.831928784933487e-01
sample_78   ,  7.382393894293018e-01,  8.685437861839395e-01, -2.318765511750786e+00,  6.887556362864029e-01
sample_79   , -1.506539330867606e+00, -1.227000643777517e+00,  1.442269611655895e+00, -1.521066788798477e+00
sample_80   ,  1.690006426761778e+00,  1.060672098703685e+00, -2.757729935629983e+00,  8.632224016749791e-01
sample_81   ,  9.877121916268211e-01,  7.545010661399474e-01, -9.322143615150490e-01,  9.217735366501073e-01
sample_82   ,  2.654166788443393e-01,  1.885438730914776e-02,  7.163246337415891e-01,  2.441186168691856e-01
sample_83   ,  5.702910093527966e-01,  1.695676188889701e-01,  6.893334701615123e-01,  4.758384970831601e-01
sample_84   , -1.249265575955521e+00, -1.477089918229586e+00,  1.404342371664574e+00, -1.930301224355528e+00
sample_85   , -3.767992068171008e-02,  7.298062233503838e-01, -1.398216590571029e+00,  7.431879986993106e-01
sample_86   , -1.355512095792173e+00, -1.506637532532671e+00,  1.390219649906388e+00, -1.981533617104629e+00
sample_87   , -6.782121602266206e-01, -1.138562343447572e-01,  8.220282190607595e-01,  6.456967468812563e-02
sample_88   , -1.416204819833983e+00, -1.477103518457335e+00,  1.404414760743338e+00, -1.930301224355528e+00
sample_89   , -1.585214475076070e+00, -1.185225667358073e+00,  1.932842202360888e+00, -1.307961919562734e+00
sample_90   ,  5.392214791123578e-01,  1.917801070861344e-01,  5.711044531623964e-01,  4.758384970831601e-01
sample_91   , -1.636118691795776e+00, -1.230794004728041e+00,  1.472972030628347e+00, -1.517924663262322e+00
sample_92   , -6.875458817656914e-01,  7.644213180917207e-02,  6.858996511672107e-01,  3.266474347119661e-01
sample_93   ,  1.180761197068343e+00,  7.068099553804907e-01, -1.457915000017741e+00,  6.887556362864029e-01
sample_94   ,  2.740108655901116e-01, -5.793394311250297e-01,  6.365738042724013e-01, -7.314593226917608e-01
sample_95   , -5.960358383932338e-01,  1.224896601102701e-01,  3.329339027324107e-01,  2.944029311521083e-01
sample_96   , -1.353984885425781e+00, -1.506695664493688e+00,  1.390529065247266e+00, -1.981533617104629e+00
sample_97   ,  3.545930805447097e-01,  2.044025712148803e-01,  9.647866956727933e-01,  6.135990226724645e-01
sample_98   ,  1.444321547708520e-01,  1.745463581114483e-01,  5.643568536632197e-01,  4.464022690190093e-01
sample_99   , -4.816860638075396e-01, -5.574084978157974e-01, -2.757646642909285e+00, -1.711153489935459e+00
sample_100  , -7.275663801637721e-01,  4.330572978582714e-01,  8.427512680169504e-01,  9.409152363818132e-01
sample_101  ,  8.983969910382459e-01,  3.896100608535560e-01, -1.811657691986676e+00,  7.834448367757342e-02
sample_102  ,  1.029115445531244e+00,  8.000646926206742e-02,  5.724914619025848e-01,  2.984188510518640e-01
sample_103  ,  1.465824992751343e+00,  1.066877482413959e-01,  1.001039973400673e+00,  4.689693365073741e-01
sample_104  ,  7.633789239867739e-01,  9.555808761696687e-01, -5.767544836389422e-01,  1.347948448969595e+00
sample_105  ,  8.757577868396285e-01,  8.012233436061977e-01, -1.467039024437830e+00,  8.362420367464963e-01
sample_106  ,  3.099629312221376e-01,  2.459687149402439e-01,  9.745390847449728e-01,  6.826467901298447e-01
sample_107  , -7.668529997456558e-01,  4.220187626174970e-01,  9.011188375285846e-01,  9.407996906169460e-01
sample_108  , -6.542011224042100e-01, -4.693245918440047e-01, -2.757667095036048e+00, -1.571016227645573e+00
sample_109  ,  1.470443368866583e-01,  9.520519691582510e-02, -4.279150802649645e-02,  1.386824359507864e-01
sample_110  ,  1.435662382281744e-01,  1.613474007648877e-01,  6.346101156411523e-01,  4.464022690190093e-01
sample_111  , -5.791609163515538e-01, -1.606604782291303e-01,  3.655786257643623e-01, -1.463369570984114e-01
sample_112  ,  1.113384835128178e+00,  3.237780523646079e-01,  1.144227595103665e+00,  8.571657162080729e-01
sample_113  ,  8.394918796865621e-01,  1.529697284624657e-01,  7.546977816687186e-01,  4.689693365073741e-01
sample_114  , -1.147306706610884e+00,  2.251532809724133e-01,  3.431369751906288e-02,  3.684805917210322e-01
sample_115  ,  3.376840926385163e-01,  3.755022163465274e-01, -1.807079435827136e+00,  5.726711569446907e-02
sample_116  ,  9.702088064155208e-01,  3.965852992667865e-01, -1.362168904202813e+00,  2.238016210234993e-01
sample_117  ,  1.124065816054948e+00,  5.337581644389431e-01, -1.475571581269088e+00,  4.081487063513921e-01
sample_118  ,  1.033066533099194e+00,  2.987172733430305e-02,  8.393405065936091e-01,  2.984188510518640e-01
sample_119  ,  5.571273486027266e-01,  9.979919324910941e-01, -8.024931516471666e-01,  1.347948448969595e+00
sample_120  , -9.286847045079734e-01, -1.372397763589630e+00,  1.580245577988889e+00, -1.711153489935459e+00
sample_121  , -1.415936356126881e+00, -1.477089918229586e+00,  1.404342371664574e+00, -1.930301224355528e+00
sample_122  ,  1.122894639469181e+00,  3.526915164676453e-01, -1.685666355050063e+00,  5.726711569446907e-02
sample_123  , -4.745781953878296e-01,  1.114103517202768e-01,  5.687389419366234e-01,  3.472614105841300e-01
sample_124  , -1.582185961300186e+00, -1.185163666876391e+00,  1.932512196287837e+00, -1.307961919562734e+00
sample_125  ,  1.486494650452379e+00,  1.131332262027188e-01,  6.398917397860089e-01,  3.712712493864396e-01
sample_126  ,  8.848275629462781e-01,  1.320063379566390e-01,  7.458912490388410e-01,  4.329837210807456e-01
sample_127  ,  1.300113777743623e+00,  1.854809923173327e-01,  2.235717161666291e-01,  3.619333803130967e-01
sample_128  ,  5.622685310101794e-01,  1.891284979229803e-01,  9.488307938399934e-01,  5.845281717073084e-01
sample_129  , -1.021152850287434e+00, -1.372452113281782e+00,  1.580534861684630e+00, -1.711153489935459e+00
sample_130  , -1.635960259529398e+00, -1.231077855007381e+00,  1.474482862697378e+00, -1.517924663262322e+00
sample_131  ,  1.699543275762102e+00,  1.252778350130283e+00, -4.901646194331057e+00,  5.280167091654979e-01
