# c0 + a0 * (surf_bond_length_min - surf_M_Tx_length_avg) + a1 * (surf_bond_length_sum + site_bond_length_max) + a2 * (surf_bond_length_sum - surf_bond_length_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.599383416532212; Max AE: 2.20417257647522
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -5.648129146361083e-01, -1.590226476940886e-01,  7.208454353870626e-01,  1.362866459189840e-15, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         28|11|sub; (surf_bond_length_min - surf_M_Tx_length_avg); $\left(surf_{bond, length, min} - surf_{M, Tx, length, avg}\right)$; (surf_bond_length_min - surf_M_Tx_length_avg); surf_bond_length_min,surf_M_Tx_length_avg
# 1;  1; Unitless;                                         27|6|add; (surf_bond_length_sum + site_bond_length_max); $\left(surf_{bond, length, sum} + site_{bond, length, max}\right)$; (surf_bond_length_sum + site_bond_length_max); surf_bond_length_sum,site_bond_length_max
# 2;  1; Unitless;                                         27|2|sub; (surf_bond_length_sum - surf_bond_length_std); $\left(surf_{bond, length, sum} - surf_{bond, length, std}\right)$; (surf_bond_length_sum - surf_bond_length_std); surf_bond_length_sum,surf_bond_length_std
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  6.471147974019836e-01,  7.384278516526523e-01,  2.366203969252427e-01,  1.128751923362457e+00,  1.458802644121059e+00
sample_1    , -1.211346759298101e+00, -1.812379256942589e+00,  8.105291828577382e-01, -1.466525944987373e+00, -2.202681278832653e+00
sample_2    , -7.586258986840756e-01,  2.263830164700010e-01,  2.683950030176752e-02,  5.348892134577194e-01,  4.530816119193455e-01
sample_3    ,  1.160849504833733e+00,  8.988204735949884e-02, -1.589884370757427e-02,  5.768136462323015e-01,  2.394807539606967e-01
sample_4    , -7.548356813046568e-01,  1.195799947247497e-01, -1.528665107717314e+00,  7.903314413866774e-01, -8.575336286488019e-01
sample_5    , -6.770948454104094e-01,  1.870599490425679e-01,  4.283938707221338e-01,  3.970758502966827e-01,  6.827627236935574e-01
sample_6    , -1.682203336469330e+00, -1.397431914689688e+00,  5.631710601795834e-01, -7.227923880462029e-01, -1.656785112872238e+00
sample_7    , -4.637411876033378e-01, -5.241250716593437e-02, -6.505485904360544e-01,  4.010595474616692e-01, -4.939660904296246e-01
sample_8    ,  1.243136085642117e+00,  6.571236120522043e-01,  8.715589450796004e-01,  7.779964347535794e-01,  1.766135083268238e+00
sample_9    , -1.150091200885186e+00, -1.237770262375971e+00,  1.141359167934677e+00, -1.771487544835523e+00, -1.213606219695694e+00
sample_10   ,  1.120476158198867e+00,  9.434397714904157e-01,  6.629011215667172e-01,  5.568433007820699e-01,  1.951050132354600e+00
sample_11   , -7.836939209364374e-01, -8.854218054980965e-01,  7.364868943481931e-01, -4.867555780345269e+00, -1.725052338621616e+00
sample_12   , -6.014333599221068e-01, -6.722006399111029e-01,  1.141359167934677e+00, -5.328022608651421e+00, -1.213606219695694e+00
sample_13   ,  3.144920332825995e-01,  5.685241696894918e-01, -1.723058466606083e+00,  8.502588924841975e-02, -5.426412427538654e-01
sample_14   ,  1.313590629906779e+00,  1.302831499503944e-01, -4.604916620377429e-01,  7.794558086447599e-01, -8.125682860707251e-03
sample_15   ,  1.202272944705296e+00,  1.017373230498436e+00,  6.226391222788428e-01,  6.092064120771967e-01,  2.033619681274405e+00
sample_16   , -9.301172910850198e-01,  1.690549796615222e-01, -1.999081653758257e-01,  4.202820046677815e-01,  1.706033183250433e-01
sample_17   , -5.618988526743032e-01,  1.854946917966865e-01, -2.712269367781048e-01,  1.251582448147306e+00,  3.209178534852467e-01
sample_18   , -1.450899276504839e+00, -1.413075777724714e+00,  7.175226649583677e-01, -1.236188477744481e+00, -1.670804330120033e+00
sample_19   ,  9.612569931124243e-01,  7.821144671042932e-01,  6.629011215667172e-01,  1.571323355827208e+00,  1.951050132354600e+00
sample_20   ,  1.113394814341984e+00,  1.770585321399191e-01, -9.497227032441681e-01,  6.936568186823613e-01, -3.454970508953117e-01
sample_21   ,  7.050383698082120e-01,  1.149297295994978e+00,  5.777209510147727e-01, -2.510246954800295e+00,  1.493268015892506e+00
sample_22   , -1.910238471282477e+00,  2.939341051927387e-01,  9.089809115769156e-01,  1.758571153766910e+00,  1.507938943465567e+00
sample_23   ,  3.603589879841972e-01,  4.254614177681598e-01,  8.915321685529498e-01,  1.708151635525978e+00,  1.665606851599240e+00
sample_24   ,  1.888270611039470e-01,  4.078952085184499e-01, -2.652419691856392e+00, -6.748310288088890e-01, -1.661298035107148e+00
sample_25   ,  8.080324448298829e-01,  7.779745023962324e-01,  6.515536738547776e-01,  1.363952731234942e+00,  1.890668567370159e+00
sample_26   , -1.247394618919144e+00, -1.344507351162297e+00,  7.639201139142846e-01, -1.076070350556868e+00, -1.504004753448621e+00
sample_27   ,  8.919970619715032e-01,  6.458294050752109e-01,  3.260754408092219e-01,  2.141397186543510e+00,  1.623831709401359e+00
sample_28   , -5.936231431133940e-01,  9.790817768079382e-02, -5.830234553318338e-01,  5.915251803395613e-01, -1.905056095657144e-01
sample_29   , -5.744786804364913e-01,  1.856265222289364e-01, -2.712269367781048e-01,  1.250753444013861e+00,  3.209178534852467e-01
sample_30   ,  1.274992153767564e+00,  1.000539567946353e+00,  5.621548952453368e-01,  6.014073459196618e-01,  1.961154544231186e+00
sample_31   ,  9.039863930935171e-01,  6.213847705858497e-01,  1.033642339229796e+00,  1.122055085898945e+00,  1.919456537548626e+00
sample_32   , -1.231648551182150e+00, -1.299141899806008e+00,  7.759246426518740e-01, -1.155621839808271e+00, -1.449214539300387e+00
