# c0 + a0 * (surf_M_Tx_length_min / surf_M_Tx_length_max) + a1 * (lattice_param_a / surf_bond_length_avg) + a2 * (surf_bond_length_min - surf_M_Tx_length_avg) + a3 * (surf_bond_length_sum - surf_bond_length_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.569179446704957; Max AE: 2.40841513808548
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.971109578797559e-02, -4.214784587396782e-02, -4.454198699318049e-01,  6.087116724680109e-01,  3.623128489029512e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         8|33|div; (surf_M_Tx_length_min / surf_M_Tx_length_max); $\left(\frac{ surf_{M, Tx, length, min} }{ surf_{M, Tx, length, max} } \right)$; (surf_M_Tx_length_min ./ surf_M_Tx_length_max); surf_M_Tx_length_min,surf_M_Tx_length_max
# 1;  1; Unitless;                                         30|7|div; (lattice_param_a / surf_bond_length_avg); $\left(\frac{ lattice_{param, a} }{ surf_{bond, length, avg} } \right)$; (lattice_param_a ./ surf_bond_length_avg); lattice_param_a,surf_bond_length_avg
# 2;  1; Unitless;                                         28|11|sub; (surf_bond_length_min - surf_M_Tx_length_avg); $\left(surf_{bond, length, min} - surf_{M, Tx, length, avg}\right)$; (surf_bond_length_min - surf_M_Tx_length_avg); surf_bond_length_min,surf_M_Tx_length_avg
# 3;  1; Unitless;                                         27|2|sub; (surf_bond_length_sum - surf_bond_length_std); $\left(surf_{bond, length, sum} - surf_{bond, length, std}\right)$; (surf_bond_length_sum - surf_bond_length_std); surf_bond_length_sum,surf_bond_length_std
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  6.471147974019836e-01,  7.519231649963749e-01,  1.426778071600539e+00,  9.200833573894118e-01,  2.366203969252427e-01,  1.458802644121059e+00
sample_1    , -1.211346759298101e+00, -1.555624275058402e+00, -1.340122512066183e+00, -1.982373321161276e+00,  8.105291828577382e-01, -2.202681278832653e+00
sample_2    , -7.586258986840756e-01,  2.799221842811486e-01, -1.259622728759259e-01,  5.369947998204418e-01,  2.683950030176752e-02,  4.530816119193455e-01
sample_3    ,  1.160849504833733e+00,  1.654333775210534e-01, -2.302638230557588e+00,  1.638086593247929e+00, -1.589884370757427e-02,  2.394807539606967e-01
sample_4    , -7.548356813046568e-01, -8.912921263231868e-01,  5.463058154592450e+01,  2.278140048728537e-01, -1.528665107717314e+00, -8.575336286488019e-01
sample_5    , -6.770948454104094e-01,  2.388208282551688e-01,  3.999604727695287e-01,  3.396922051356730e-01,  4.283938707221338e-01,  6.827627236935574e-01
sample_6    , -1.682203336469330e+00, -1.455854101836579e+00,  1.078091887708710e+01,  4.799686505355030e-01,  5.631710601795834e-01, -1.656785112872238e+00
sample_7    , -4.637411876033378e-01, -2.108455200162278e-02, -1.315248499317291e+00,  1.715987330685098e+00, -6.505485904360544e-01, -4.939660904296246e-01
sample_8    ,  1.243136085642117e+00,  6.759599506160304e-01, -1.544561972668941e+00,  1.840514266977088e+00,  8.715589450796004e-01,  1.766135083268238e+00
sample_9    , -1.150091200885186e+00, -1.264678444134961e+00,  7.294185908569387e-01,  9.350837429203911e-01,  1.141359167934677e+00, -1.213606219695694e+00
sample_10   ,  1.120476158198867e+00,  8.638101905838297e-01,  1.496591975694861e-01,  1.466950541223681e+00,  6.629011215667172e-01,  1.951050132354600e+00
sample_11   , -7.836939209364374e-01, -1.259025182134482e+00, -2.193739705286948e+00, -9.397374768127384e-01,  7.364868943481931e-01, -1.725052338621616e+00
sample_12   , -6.014333599221068e-01, -1.264678444134961e+00,  7.294185908569387e-01,  9.350837429203911e-01,  1.141359167934677e+00, -1.213606219695694e+00
sample_13   ,  3.144920332825995e-01,  4.878074429143977e-01,  2.094634017390255e-01, -4.397019862301130e-01, -1.723058466606083e+00, -5.426412427538654e-01
sample_14   ,  1.313590629906779e+00,  1.627264752422436e-01,  4.742007819117774e-01,  1.526145156050092e+00, -4.604916620377429e-01, -8.125682860707251e-03
sample_15   ,  1.202272944705296e+00,  9.234712593791887e-01,  1.322513186183580e+00,  1.120912372394144e+00,  6.226391222788428e-01,  2.033619681274405e+00
sample_16   , -9.301172910850198e-01,  9.144721908647083e-02,  4.726769726299388e+00,  1.055939023321660e+00, -1.999081653758257e-01,  1.706033183250433e-01
sample_17   , -5.618988526743032e-01, -6.642855727650174e-01,  7.103563320899140e+00,  2.079950072523469e+01, -2.712269367781048e-01,  3.209178534852467e-01
sample_18   , -1.450899276504839e+00, -1.231875437345742e+00, -1.767214171738567e+00, -7.994833306725680e-01,  7.175226649583677e-01, -1.670804330120033e+00
sample_19   ,  9.612569931124243e-01,  8.638101905838297e-01,  1.496591975694861e-01,  1.466950541223681e+00,  6.629011215667172e-01,  1.951050132354600e+00
sample_20   ,  1.113394814341984e+00,  2.533264996144514e-01, -9.791427559215280e-01,  3.540403284092998e-01, -9.497227032441681e-01, -3.454970508953117e-01
sample_21   ,  7.050383698082120e-01,  6.797924108214944e-01,  1.003825920663814e+00, -2.777450193735722e-01,  5.777209510147727e-01,  1.493268015892506e+00
sample_22   , -1.910238471282477e+00,  4.981766668030067e-01, -1.439646818741555e+00,  1.885114402321535e+00,  9.089809115769156e-01,  1.507938943465567e+00
sample_23   ,  3.603589879841972e-01,  6.079007037653671e-01, -1.535215285084299e+00,  1.787980971649391e+00,  8.915321685529498e-01,  1.665606851599240e+00
sample_24   ,  1.888270611039470e-01,  1.943862427139600e-01, -4.900774191674350e-01,  5.147103822880527e-01, -2.652419691856392e+00, -1.661298035107148e+00
sample_25   ,  8.080324448298829e-01,  9.356469756066416e-01, -4.371618276795791e+00,  1.124868138988955e+00,  6.515536738547776e-01,  1.890668567370159e+00
sample_26   , -1.247394618919144e+00, -1.224251044117608e+00, -2.515348855565352e-01,  2.294283463620544e-01,  7.639201139142846e-01, -1.504004753448621e+00
sample_27   ,  8.919970619715032e-01,  8.129715552368388e-01,  1.312863288318690e+00,  9.629576549497855e-01,  3.260754408092219e-01,  1.623831709401359e+00
sample_28   , -5.936231431133940e-01,  1.461730574082922e-01, -9.589897706544583e-01,  1.250080734764595e+00, -5.830234553318338e-01, -1.905056095657144e-01
sample_29   , -5.744786804364913e-01, -6.642855727650174e-01,  7.103563320899140e+00,  2.079950072523469e+01, -2.712269367781048e-01,  3.209178534852467e-01
sample_30   ,  1.274992153767564e+00,  1.198444576745658e+00, -1.199129450481742e+01,  4.159397628253803e-01,  5.621548952453368e-01,  1.961154544231186e+00
sample_31   ,  9.039863930935171e-01,  6.036491224893803e-01,  1.370486408616395e+01, -3.074058964838693e+00,  1.033642339229796e+00,  1.919456537548626e+00
sample_32   , -1.231648551182150e+00, -1.177770749136771e+00, -3.413329673687729e-01, -1.669356618592196e-01,  7.759246426518740e-01, -1.449214539300387e+00
sample_33   , -1.680752546758683e+00, -1.088730588023938e+00,  2.673534543586921e-01, -2.823142181795624e+00,  8.835225934849830e-01, -1.388412485711392e+00
sample_34   ,  1.000664370980082e+00,  1.224501325955520e+00, -5.444539572201013e+01,  1.479602038418389e+00,  5.247788690751926e-02,  3.299236273733700e-01
sample_35   , -4.582114196258733e-02, -1.276904992313536e-02, -1.998737121462474e-01,  2.120626692398397e+00, -1.044251192065592e+00, -7.042586289161890e-01
sample_36   , -1.649980605237195e+00, -1.259025182134482e+00, -2.193739705286948e+00, -9.397374768127384e-01,  7.364868943481931e-01, -1.725052338621616e+00
