# c0 + a0 * (surf_M_M_length_avg / surf_bond_length_max) + a1 * (site_bond_length_avg - lattice_param_alpha) + a2 * (surf_M_Tx_length_std / surf_bond_length_min) + a3 * (surf_bond_length_min - surf_M_Tx_length_avg) + a4 * (surf_bond_length_sum - surf_bond_length_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.547061125667366; Max AE: 2.20471183362244
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -3.234226159352132e-02, -1.224928150180522e-01, -2.521581864779070e-02, -4.518431285627699e-01,  6.061963637944081e-01, -9.413744088636128e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|13|div; (surf_M_M_length_avg / surf_bond_length_max); $\left(\frac{ surf_{M, M, length, avg} }{ surf_{bond, length, max} } \right)$; (surf_M_M_length_avg ./ surf_bond_length_max); surf_M_M_length_avg,surf_bond_length_max
# 1;  1; Unitless;                                         36|20|sub; (site_bond_length_avg - lattice_param_alpha); $\left(site_{bond, length, avg} - lattice_{param, alpha}\right)$; (site_bond_length_avg - lattice_param_alpha); site_bond_length_avg,lattice_param_alpha
# 2;  1; Unitless;                                         4|28|div; (surf_M_Tx_length_std / surf_bond_length_min); $\left(\frac{ surf_{M, Tx, length, std} }{ surf_{bond, length, min} } \right)$; (surf_M_Tx_length_std ./ surf_bond_length_min); surf_M_Tx_length_std,surf_bond_length_min
# 3;  1; Unitless;                                         28|11|sub; (surf_bond_length_min - surf_M_Tx_length_avg); $\left(surf_{bond, length, min} - surf_{M, Tx, length, avg}\right)$; (surf_bond_length_min - surf_M_Tx_length_avg); surf_bond_length_min,surf_M_Tx_length_avg
# 4;  1; Unitless;                                         27|2|sub; (surf_bond_length_sum - surf_bond_length_std); $\left(surf_{bond, length, sum} - surf_{bond, length, std}\right)$; (surf_bond_length_sum - surf_bond_length_std); surf_bond_length_sum,surf_bond_length_std
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  6.471147974019836e-01,  6.586726097397657e-01,  1.470677737580742e+00,  5.637867491098387e-01, -2.897255122271742e-01,  2.366203969252427e-01,  1.458802644121059e+00
sample_1    , -1.211346759298101e+00, -1.802605740449009e+00, -2.487367987436712e-01,  2.848459803950855e-01,  2.572024263568771e+00,  8.105291828577382e-01, -2.202681278832653e+00
sample_2    , -7.586258986840756e-01,  2.091249311546682e-01,  4.946141810778103e-01, -2.172960452025812e-01,  2.165734550147353e+00,  2.683950030176752e-02,  4.530816119193455e-01
sample_3    ,  1.160849504833733e+00,  3.018065500709755e-01, -8.218615278448199e-01, -2.787350338037318e-01, -3.892011222691449e+00, -1.589884370757427e-02,  2.394807539606967e-01
sample_4    , -7.548356813046568e-01, -9.913619925455470e-01,  3.493340013392853e+01,  8.501361215497599e-02,  4.993922172356609e-01, -1.528665107717314e+00, -8.575336286488019e-01
sample_5    , -6.770948454104094e-01,  1.872768169880473e-01,  8.212486626691096e-01, -2.221368634994470e-01,  9.628885559341164e-01,  4.283938707221338e-01,  6.827627236935574e-01
sample_6    , -1.682203336469330e+00, -1.658742535356483e+00,  7.424327335948403e+00,  1.370868657558342e+00, -6.945795207253790e-01,  5.631710601795834e-01, -1.656785112872238e+00
sample_7    , -4.637411876033378e-01,  9.316797304844343e-02, -2.356633877938853e-01, -4.466949182094947e-01, -1.813839571326126e+00, -6.505485904360544e-01, -4.939660904296246e-01
sample_8    ,  1.243136085642117e+00,  4.979056267227202e-01, -3.723549694541586e-01,  6.231049614872257e-01,  4.172551233692230e+00,  8.715589450796004e-01,  1.766135083268238e+00
sample_9    , -1.150091200885186e+00, -1.367089841627971e+00,  1.028510952903294e+00,  5.180426513147193e-01,  3.789783711584899e-01,  1.141359167934677e+00, -1.213606219695694e+00
sample_10   ,  1.120476158198867e+00,  8.063710262934095e-01,  6.864869339265129e-01,  2.797208784129953e-01,  4.338971133376076e-01,  6.629011215667172e-01,  1.951050132354600e+00
sample_11   , -7.836939209364374e-01, -9.339208728992330e-01, -6.834053077156225e-01, -3.599901788105117e+00,  3.598974307430595e-01,  7.364868943481931e-01, -1.725052338621616e+00
sample_12   , -6.014333599221068e-01, -8.589710954147898e-01,  1.028510952903294e+00, -3.630108782206483e+00,  3.789783711584899e-01,  1.141359167934677e+00, -1.213606219695694e+00
sample_13   ,  3.144920332825995e-01,  3.838253415397788e-01,  3.123827566222183e-01,  3.397577881248788e-01,  1.842034858494376e-01, -1.723058466606083e+00, -5.426412427538654e-01
sample_14   ,  1.313590629906779e+00,  2.272096359019087e-01,  8.872894479630027e-01, -2.724364526359238e-01, -1.142322047222385e+00, -4.604916620377429e-01, -8.125682860707251e-03
sample_15   ,  1.202272944705296e+00,  8.649462202155188e-01,  1.423227515559904e+00,  2.682550464980049e-01, -7.186082593240549e-02,  6.226391222788428e-01,  2.033619681274405e+00
sample_16   , -9.301172910850198e-01,  1.201449889905178e-01,  3.624058914439009e+00, -3.273602642984679e-01, -5.125144780447127e-01, -1.999081653758257e-01,  1.706033183250433e-01
sample_17   , -5.618988526743032e-01,  1.516831032274034e-01,  5.164538807613151e+00,  3.311695819928878e-01, -2.046506757739548e+00, -2.712269367781048e-01,  3.209178534852467e-01
sample_18   , -1.450899276504839e+00, -1.373502970523650e+00, -1.668022479154360e+00,  6.501294329688824e-01,  5.383391148269632e-02,  7.175226649583677e-01, -1.670804330120033e+00
sample_19   ,  9.612569931124243e-01,  7.773739847528355e-01,  6.864869339265129e-01,  5.164453061788253e-01,  4.338971133376076e-01,  6.629011215667172e-01,  1.951050132354600e+00
sample_20   ,  1.113394814341984e+00,  2.116683111452692e-01, -3.626171610796022e-02, -1.922978561753547e-01,  9.253103486963251e-01, -9.497227032441681e-01, -3.454970508953117e-01
sample_21   ,  7.050383698082120e-01,  1.024491992855760e+00,  1.212907884614149e+00, -3.503308576157450e+00,  6.765903463833847e-03,  5.777209510147727e-01,  1.493268015892506e+00
