# c0 + a0 * (en_pauling_sum + lattice_constant_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.470002747478141; Max AE: 2.48822376819479
# Coefficients
# Task   a0                      c0
# all ,  5.497723644378819e-01,  1.609351524817804e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         85|80|add; (en_pauling_sum + lattice_constant_std); $\left(en_{pauling, sum} + lattice_{constant, std}\right)$; (en_pauling_sum + lattice_constant_std); en_pauling_sum,lattice_constant_std
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  6.471147974019836e-01,  1.016971963942496e+00,  1.849805537210487e+00
sample_1    , -1.211346759298101e+00, -1.182528568753909e+00, -2.150942181248038e+00
sample_2    , -7.586258986840756e-01, -2.391365972691181e-01, -4.349738414254867e-01
sample_3    ,  1.160849504833733e+00,  7.426783095195173e-01,  1.350883306546107e+00
sample_4    , -7.548356813046568e-01,  7.169528036298772e-02,  1.304090292648540e-01
sample_5    , -6.770948454104094e-01, -3.152484167847406e-01, -5.734162667617321e-01
sample_6    , -1.682203336469330e+00, -1.351592007623442e+00, -2.458457527244726e+00
sample_7    , -4.637411876033378e-01, -9.911017588918224e-02, -1.802749324995956e-01
sample_8    ,  1.243136085642117e+00,  6.903774328532281e-01,  1.255751430065257e+00
sample_9    , -1.150091200885186e+00, -1.182133447307797e+00, -2.150223481161111e+00
sample_10   ,  1.120476158198867e+00,  1.147657214152590e+00,  2.087513466279847e+00
sample_11   , -7.836939209364374e-01, -1.297613929185843e+00, -2.360274930357033e+00
sample_12   , -6.014333599221068e-01, -1.182133447307797e+00, -2.150223481161111e+00
sample_13   ,  3.144920332825995e-01,  1.671803036644502e-01,  3.040900461327929e-01
sample_14   ,  1.313590629906779e+00,  7.120818550386262e-01,  1.295230355506681e+00
sample_15   ,  1.202272944705296e+00,  1.075736312312504e+00,  1.956694046293864e+00
sample_16   , -9.301172910850198e-01, -4.330648018796751e-01, -7.877165712439271e-01
sample_17   , -5.618988526743032e-01, -4.618693508697877e-01, -8.401101633073697e-01
sample_18   , -1.450899276504839e+00, -1.253805663742986e+00, -2.280590558648664e+00
sample_19   ,  9.612569931124243e-01,  1.147657214152590e+00,  2.087513466279847e+00
sample_20   ,  1.113394814341984e+00,  7.101696567833686e-01,  1.291752191853961e+00
sample_21   ,  7.050383698082120e-01,  1.255029100765534e+00,  2.282815910633751e+00
sample_22   , -1.910238471282477e+00,  5.779852969123112e-01,  1.051317480287092e+00
sample_23   ,  3.603589879841972e-01,  4.969523590436964e-01,  9.039238622912745e-01
sample_24   ,  1.888270611039470e-01,  9.384986834884321e-02,  1.707067768762814e-01
sample_25   ,  8.080324448298829e-01,  1.147735600647775e+00,  2.087656046191561e+00
sample_26   , -1.247394618919144e+00, -1.455058181257179e+00, -2.646655734951159e+00
sample_27   ,  8.919970619715032e-01,  1.089523987166840e+00,  1.981772925746877e+00
sample_28   , -5.936231431133940e-01, -4.074383575052557e-01, -7.411037437682840e-01
sample_29   , -5.744786804364913e-01, -4.618693508697877e-01, -8.401101633073697e-01
sample_30   ,  1.274992153767564e+00,  1.190940848396127e+00,  2.166243568124440e+00
sample_31   ,  9.039863930935171e-01,  4.908350347606121e-01,  8.927968492240772e-01
sample_32   , -1.231648551182150e+00, -1.498866446700035e+00, -2.726340106659527e+00
sample_33   , -1.680752546758683e+00, -1.406120807304011e+00, -2.557641850080455e+00
sample_34   ,  1.000664370980082e+00,  9.360775483538077e-01,  1.702663882188596e+00
sample_35   , -4.582114196258733e-02,  9.229423791039733e-02,  1.678771867785026e-01
sample_36   , -1.649980605237195e+00, -1.297613929185843e+00, -2.360274930357033e+00
sample_37   ,  1.310516023197298e+00,  1.248517940864723e+00,  2.270972536317423e+00
sample_38   ,  1.202465930421095e+00,  7.101696567833686e-01,  1.291752191853961e+00
sample_39   , -5.975129901431819e-01, -9.911017588918224e-02, -1.802749324995956e-01
sample_40   ,  8.169730762088728e-01,  1.147735600647775e+00,  2.087656046191561e+00
sample_41   , -6.678328637255340e-01, -2.930049231261745e-01, -5.329568055421614e-01
sample_42   , -3.074498989691304e-01,  4.056664227334960e-01,  7.378807102249894e-01
sample_43   , -5.114856329606416e-01, -9.886173005141849e-01, -1.798230257581249e+00
sample_44   , -6.213527234794211e-01, -5.480164499777689e-01, -9.968061063565675e-01
sample_45   , -1.670792832474174e+00, -1.204868289789818e+00, -2.191576673777960e+00
sample_46   ,  2.564616474882058e-01, -4.322594302250797e-01, -7.862516528400731e-01
sample_47   , -1.647019150504399e+00, -1.406120807304011e+00, -2.557641850080455e+00
sample_48   , -6.380347248141381e-01, -4.322594302250797e-01, -7.862516528400731e-01
sample_49   ,  6.290852116167501e-01,  1.174348204156793e+00,  2.136062632681641e+00
sample_50   ,  1.035495773725665e+00,  1.118940606109518e+00,  2.035279833051604e+00
sample_51   ,  6.731337708317935e-01,  1.089523987166840e+00,  1.981772925746877e+00
sample_52   , -3.499379620903641e-01, -2.391365972691181e-01, -4.349738414254867e-01
sample_53   ,  1.010920146224281e+00,  1.222432126355085e+00,  2.223524144588402e+00
sample_54   , -1.475753379433461e+00, -1.455058181257179e+00, -2.646655734951159e+00
sample_55   , -1.160854811038070e+00, -7.734945545530363e-02, -1.406936042236137e-01
sample_56   ,  1.127082595308681e+00,  1.147657214152590e+00,  2.087513466279847e+00
sample_57   ,  1.113333248749128e+00,  7.101696567833686e-01,  1.291752191853961e+00
sample_58   ,  6.868492790716176e-01, -1.389393364074453e-01, -2.527215724084362e-01
sample_59   , -7.608867278208071e-01, -2.391365972691181e-01, -4.349738414254867e-01
sample_60   ,  1.060096040465768e+00,  5.772814714855791e-01,  1.050037267835068e+00
sample_61   ,  1.451440598076227e-01, -2.767055756373559e-02, -5.033093577198544e-02
sample_62   ,  1.163721211611933e+00,  1.190940848396127e+00,  2.166243568124440e+00
sample_63   , -8.981780736465206e-01, -2.930049231261745e-01, -5.329568055421614e-01
sample_64   , -1.717450225724758e+00, -1.297613929185843e+00, -2.360274930357033e+00
sample_65   ,  1.189139449145727e+00,  1.174348204156793e+00,  2.136062632681641e+00
sample_66   , -1.456249553720251e-01, -2.391365972691181e-01, -4.349738414254867e-01
sample_67   , -1.670851310037400e+00, -1.204868289789818e+00, -2.191576673777960e+00
sample_68   ,  3.436486417661265e-01, -2.403452501332385e-02, -4.371723019926277e-02
sample_69   , -1.190561686191609e-02, -5.042476061945382e-01, -9.171934400706176e-01
sample_70   ,  6.121225244678702e-01,  1.016971963942496e+00,  1.849805537210487e+00
sample_71   ,  5.058499676489997e-01, -9.536539729537055e-02, -1.734634249811329e-01
sample_72   , -1.475664119073807e+00, -1.455058181257179e+00, -2.646655734951159e+00
sample_73   ,  3.602432680648199e-01,  2.044139052193030e-01,  3.718155339224939e-01
sample_74   , -1.195524660971759e+00, -9.886173005141849e-01, -1.798230257581249e+00
sample_75   , -4.019975576780604e-01, -5.087414430215183e-02, -9.253674355597780e-02
sample_76   ,  1.592214203272649e-01, -2.926338976318517e-01, -5.322819344167236e-01
sample_77   ,  1.858250802780536e+00,  7.554903591540344e-01,  1.374187587487214e+00
sample_78   ,  7.382393894293018e-01,  1.222432126355085e+00,  2.223524144588402e+00
sample_79   , -1.506539330867606e+00, -1.297613929185843e+00, -2.360274930357033e+00
sample_80   ,  1.690006426761778e+00,  6.903774328532281e-01,  1.255751430065257e+00
sample_81   ,  9.877121916268211e-01,  1.118940606109518e+00,  2.035279833051604e+00
sample_82   ,  2.654166788443393e-01,  9.384986834884321e-02,  1.707067768762814e-01
sample_83   ,  5.702910093527966e-01,  4.696022684481024e-01,  8.541758349899055e-01
sample_84   , -1.249265575955521e+00, -1.383385964821990e+00, -2.516288657463605e+00
sample_85   , -3.767992068171008e-02,  3.078800788530403e-01,  5.600137416289269e-01
sample_86   , -1.355512095792173e+00, -1.182133447307797e+00, -2.150223481161111e+00
sample_87   , -6.782121602266206e-01, -3.152484167847406e-01, -5.734162667617321e-01
sample_88   , -1.416204819833983e+00, -1.383385964821990e+00, -2.516288657463605e+00
sample_89   , -1.585214475076070e+00, -1.552844525137634e+00, -2.824522703547220e+00
sample_90   ,  5.392214791123578e-01,  4.696022684481024e-01,  8.541758349899055e-01
sample_91   , -1.636118691795776e+00, -1.253805663742986e+00, -2.280590558648664e+00
sample_92   , -6.875458817656914e-01, -5.480164499777689e-01, -9.968061063565675e-01
sample_93   ,  1.180761197068343e+00,  1.222432126355085e+00,  2.223524144588402e+00
sample_94   ,  2.740108655901116e-01,  2.862883996495723e-01,  5.207398883032064e-01
sample_95   , -5.960358383932338e-01, -9.911017588918224e-02, -1.802749324995956e-01
sample_96   , -1.353984885425781e+00, -1.182133447307797e+00, -2.150223481161111e+00
sample_97   ,  3.545930805447097e-01, -9.536539729537055e-02, -1.734634249811329e-01
sample_98   ,  1.444321547708520e-01,  9.229423791039733e-02,  1.678771867785026e-01
sample_99   , -4.816860638075396e-01, -1.189869818028378e+00, -2.164295433883744e+00
sample_100  , -7.275663801637721e-01, -7.734945545530363e-02, -1.406936042236137e-01
sample_101  ,  8.983969910382459e-01,  2.760861216544930e-01,  5.021826114100495e-01
sample_102  ,  1.029115445531244e+00,  7.919372097710813e-01,  1.440482026739926e+00
sample_103  ,  1.465824992751343e+00,  6.788831373557510e-01,  1.234844057776311e+00
sample_104  ,  7.633789239867739e-01,  1.016971963942496e+00,  1.849805537210487e+00
sample_105  ,  8.757577868396285e-01,  1.255029100765534e+00,  2.282815910633751e+00
sample_106  ,  3.099629312221376e-01, -2.403452501332385e-02, -4.371723019926277e-02
sample_107  , -7.668529997456558e-01, -1.945692709137593e-01, -3.539087875264481e-01
sample_108  , -6.542011224042100e-01, -1.455058181257179e+00, -2.646655734951159e+00
sample_109  ,  1.470443368866583e-01, -2.767055756373559e-02, -5.033093577198544e-02
sample_110  ,  1.435662382281744e-01,  9.229423791039733e-02,  1.678771867785026e-01
sample_111  , -5.791609163515538e-01, -2.926338976318517e-01, -5.322819344167236e-01
sample_112  ,  1.113384835128178e+00,  5.772814714855791e-01,  1.050037267835068e+00
sample_113  ,  8.394918796865621e-01,  6.788831373557510e-01,  1.234844057776311e+00
sample_114  , -1.147306706610884e+00,  7.169528036298772e-02,  1.304090292648540e-01
sample_115  ,  3.376840926385163e-01,  4.773386391686860e-01,  8.682477877125450e-01
sample_116  ,  9.702088064155208e-01,  4.546037966866636e-01,  8.268945950956920e-01
sample_117  ,  1.124065816054948e+00,  1.248517940864723e+00,  2.270972536317423e+00
sample_118  ,  1.033066533099194e+00,  7.919372097710813e-01,  1.440482026739926e+00
sample_119  ,  5.571273486027266e-01,  1.016971963942496e+00,  1.849805537210487e+00
sample_120  , -9.286847045079734e-01, -1.189869818028378e+00, -2.164295433883744e+00
sample_121  , -1.415936356126881e+00, -1.383385964821990e+00, -2.516288657463605e+00
sample_122  ,  1.122894639469181e+00,  4.773386391686860e-01,  8.682477877125450e-01
sample_123  , -4.745781953878296e-01, -4.074383575052557e-01, -7.411037437682840e-01
sample_124  , -1.582185961300186e+00, -1.552844525137634e+00, -2.824522703547220e+00
sample_125  ,  1.486494650452379e+00,  7.426783095195173e-01,  1.350883306546107e+00
