# c0 + a0 * (en_gordy - atomic_volume_av) + a1 * (en_martynov_batsanov_sum + lattice_constant_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.402481271581956; Max AE: 2.35323602322346
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.537888967707161e-01,  4.847843188893742e-01,  4.355497334747308e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         155|102|sub; (en_gordy - atomic_volume_av); $\left(en_{gordy} - atomic_{volume, av}\right)$; (en_gordy - atomic_volume_av); en_gordy,atomic_volume_av
# 1;  1; Unitless;                                         46|11|add; (en_martynov_batsanov_sum + lattice_constant_sum); $\left(en_{martynov, batsanov, sum} + lattice_{constant, sum}\right)$; (en_martynov_batsanov_sum + lattice_constant_sum); en_martynov_batsanov_sum,lattice_constant_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  6.471147974019836e-01,  8.328005230022457e-01, -4.259838604737735e-01,  1.940884761185369e+00
sample_1    , -1.211346759298101e+00, -1.332836454361342e+00, -2.862358108795519e-01, -2.599492051617949e+00
sample_2    , -7.586258986840756e-01, -5.163247454857062e-01, -6.106948127978713e-01, -7.453565814792609e-01
sample_3    ,  1.160849504833733e+00,  1.299204419280153e+00,  2.121144476872096e+00,  1.569525813761140e+00
sample_4    , -7.548356813046568e-01, -5.164318140498287e-02, -1.280416953404581e+00,  5.637814878835953e-01
sample_5    , -6.770948454104094e-01, -6.128585693468178e-01, -1.239048432689477e+00, -6.155352451430366e-01
sample_6    , -1.682203336469330e+00, -1.666679423768549e+00, -1.440069665212378e+00, -2.684092041471860e+00
sample_7    , -4.637411876033378e-01, -4.672339685003954e-01, -8.931314018519008e-01, -4.962353895939758e-01
sample_8    ,  1.243136085642117e+00,  7.094125359352944e-01,  6.447941085661512e-01,  1.125801576520415e+00
sample_9    , -1.150091200885186e+00, -1.260549521198135e+00,  1.951100612555282e-01, -2.702369357561654e+00
sample_10   ,  1.120476158198867e+00,  8.742611952929954e-01, -9.553358122674839e-01,  2.303529164664968e+00
sample_11   , -7.836939209364374e-01, -1.377797850934872e+00, -5.186451939359110e-01, -2.570568829877549e+00
sample_12   , -6.014333599221068e-01, -1.260549521198135e+00,  1.951100612555282e-01, -2.702369357561654e+00
sample_13   ,  3.144920332825995e-01,  2.525501091747582e-01,  1.661736711824554e-01,  4.339601515473727e-01
sample_14   ,  1.313590629906779e+00,  1.098817991340590e+00,  8.004484027530586e-01,  1.847570227386826e+00
sample_15   ,  1.202272944705296e+00,  1.007032959392131e+00,  4.369060163120686e-02,  2.054407972779682e+00
sample_16   , -9.301172910850198e-01, -5.601845911660266e-01, -8.313110150862864e-01, -7.203349451854318e-01
sample_17   , -5.618988526743032e-01, -7.399428681552161e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_18   , -1.450899276504839e+00, -1.306010783380861e+00, -1.146256446296318e-01, -2.633996228289849e+00
sample_19   ,  9.612569931124243e-01,  8.742611952929954e-01, -9.553358122674839e-01,  2.303529164664968e+00
sample_20   ,  1.113394814341984e+00,  1.219969921430894e+00,  2.084619231508508e+00,  1.425204321918249e+00
sample_21   ,  7.050383698082120e-01,  8.675076387763274e-01, -9.266979643264629e-01,  2.274605942924566e+00
sample_22   , -1.910238471282477e+00,  4.429975519409846e-01, -9.286203840004252e-01,  1.399944404699527e+00
sample_23   ,  3.603589879841972e-01,  6.203495492360201e-01,  2.460647516278242e-01,  1.150823212814243e+00
sample_24   ,  1.888270611039470e-01,  5.047559131742579e-02, -9.572062758174726e-01,  6.052256737827799e-01
sample_25   ,  8.080324448298829e-01,  9.291857782119933e-01,  6.788054600481530e-02,  1.881163259196389e+00
sample_26   , -1.247394618919144e+00, -1.187625885112043e+00,  8.277124506964932e-01, -2.883117420175135e+00
sample_27   ,  8.919970619715032e-01,  7.024133694638768e-01, -1.415614234627977e+00,  2.190005953070655e+00
sample_28   , -5.936231431133940e-01, -5.402008213987994e-01, -1.283686211062726e+00, -4.422905315597446e-01
sample_29   , -5.744786804364913e-01, -7.399428681552161e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_30   ,  1.274992153767564e+00,  9.461201329016675e-01, -5.510330746279997e-01,  2.240101766252666e+00
sample_31   ,  9.039863930935171e-01,  6.491463614125980e-01,  5.560472523151795e-01,  1.047945906870535e+00
sample_32   , -1.231648551182150e+00, -1.259412952666054e+00,  4.236929013902122e-01, -2.819690021762833e+00
sample_33   , -1.680752546758683e+00, -1.326579450192322e+00,  4.899677588146778e-01, -2.992934735346124e+00
sample_34   ,  1.000664370980082e+00,  1.384442786914050e+00,  2.504803753463957e+00,  1.544504177467311e+00
sample_35   , -4.582114196258733e-02,  1.993678420015153e-02, -1.274052729037275e+00,  7.081029797264867e-01
sample_36   , -1.649980605237195e+00, -1.377797850934872e+00, -5.186451939359110e-01, -2.570568829877549e+00
sample_37   ,  1.310516023197298e+00,  8.980449731092139e-01, -6.098573142935073e-01,  2.171728636980859e+00
sample_38   ,  1.202465930421095e+00,  1.219969921430894e+00,  2.084619231508508e+00,  1.425204321918249e+00
sample_39   , -5.975129901431819e-01, -4.672339685003954e-01, -8.931314018519008e-01, -4.962353895939758e-01
sample_40   ,  8.169730762088728e-01,  9.291857782119933e-01,  6.788054600481530e-02,  1.881163259196389e+00
sample_41   , -6.678328637255340e-01, -5.086406968059195e-01, -1.104081628181516e+00, -4.712137533001463e-01
sample_42   , -3.074498989691304e-01,  5.069627770004834e-01,  1.387045425184367e+00,  3.196185246400920e-01
sample_43   , -5.114856329606416e-01, -1.233171472743324e+00,  1.542684032477523e-01, -2.624513687911779e+00
