# c0 + a0 * (en_ghosh_std * Tx_fusion_heat) + a1 * (en_gordy - atomic_volume_av) + a2 * (en_martynov_batsanov_sum + lattice_constant_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.355016105209218; Max AE: 1.23676161810379
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.975999354071351e-01,  2.558397076441284e-01,  5.023627883111128e-01,  2.143549158023742e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         26|19|mult; (en_ghosh_std * Tx_fusion_heat); $\left(en_{ghosh, std} Tx_{fusion, heat}\right)$; (en_ghosh_std .* Tx_fusion_heat); en_ghosh_std,Tx_fusion_heat
# 1;  1; Unitless;                                         155|102|sub; (en_gordy - atomic_volume_av); $\left(en_{gordy} - atomic_{volume, av}\right)$; (en_gordy - atomic_volume_av); en_gordy,atomic_volume_av
# 2;  1; Unitless;                                         46|11|add; (en_martynov_batsanov_sum + lattice_constant_sum); $\left(en_{martynov, batsanov, sum} + lattice_{constant, sum}\right)$; (en_martynov_batsanov_sum + lattice_constant_sum); en_martynov_batsanov_sum,lattice_constant_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  6.471147974019836e-01,  8.889975699741698e-01,  7.679072849406829e-03, -4.259838604737735e-01,  1.940884761185369e+00
sample_1    , -1.211346759298101e+00, -1.215281824290845e+00,  7.206543122171926e-01, -2.862358108795519e-01, -2.599492051617949e+00
sample_2    , -7.586258986840756e-01, -5.331964678160050e-01, -1.212174812857950e-01, -6.106948127978713e-01, -7.453565814792609e-01
sample_3    ,  1.160849504833733e+00,  1.414410181402335e+00,  3.129066957105643e-01,  2.121144476872096e+00,  1.569525813761140e+00
sample_4    , -7.548356813046568e-01, -8.406299052345710e-02, -3.094121625470126e-01, -1.280416953404581e+00,  5.637814878835953e-01
sample_5    , -6.770948454104094e-01, -6.545953018344486e-01, -2.520800549961916e-01, -1.239048432689477e+00, -6.155352451430366e-01
sample_6    , -1.682203336469330e+00, -1.744635394588651e+00, -2.492709417886078e-01, -1.440069665212378e+00, -2.684092041471860e+00
sample_7    , -4.637411876033378e-01, -4.946843685342460e-01, -1.939838154442907e-01, -8.931314018519008e-01, -4.962353895939758e-01
sample_8    ,  1.243136085642117e+00,  9.871732034518215e-01,  1.190349359653829e+00,  6.447941085661512e-01,  1.125801576520415e+00
sample_9    , -1.150091200885186e+00, -1.331367440059835e+00, -2.284921149690867e-01,  1.951100612555282e-01, -2.702369357561654e+00
sample_10   ,  1.120476158198867e+00,  8.250763253926233e-01, -5.523972726372437e-01, -9.553358122674839e-01,  2.303529164664968e+00
sample_11   , -7.836939209364374e-01, -1.267714749398125e+00,  6.826819981201386e-01, -5.186451939359110e-01, -2.570568829877549e+00
sample_12   , -6.014333599221068e-01, -1.331367440059835e+00, -2.284921149690867e-01,  1.951100612555282e-01, -2.702369357561654e+00
sample_13   ,  3.144920332825995e-01,  2.515570070403729e-01, -1.538347655729496e-01,  1.661736711824554e-01,  4.339601515473727e-01
sample_14   ,  1.313590629906779e+00,  1.228547165753949e+00,  3.753779455731489e-01,  8.004484027530586e-01,  1.847570227386826e+00
sample_15   ,  1.202272944705296e+00,  9.348356296011838e-01, -6.570638294685960e-01,  4.369060163120686e-02,  2.054407972779682e+00
sample_16   , -9.301172910850198e-01, -4.439510853746662e-01,  5.524559583609047e-01, -8.313110150862864e-01, -7.203349451854318e-01
sample_17   , -5.618988526743032e-01, -7.796756221393291e-01, -2.408702312212399e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_18   , -1.450899276504839e+00, -1.375013308869238e+00, -2.221727416247043e-01, -1.146256446296318e-01, -2.633996228289849e+00
sample_19   ,  9.612569931124243e-01,  8.250763253926233e-01, -5.523972726372437e-01, -9.553358122674839e-01,  2.303529164664968e+00
sample_20   ,  1.113394814341984e+00,  1.167561832045199e+00, -5.221239123020359e-01,  2.084619231508508e+00,  1.425204321918249e+00
sample_21   ,  7.050383698082120e-01,  8.156437723520402e-01, -5.636791658237393e-01, -9.266979643264629e-01,  2.274605942924566e+00
sample_22   , -1.910238471282477e+00, -6.734768531786846e-01, -5.873556332080470e+00, -9.286203840004252e-01,  1.399944404699527e+00
sample_23   ,  3.603589879841972e-01, -4.092768813886548e-01, -5.424071940717317e+00,  2.460647516278242e-01,  1.150823212814243e+00
sample_24   ,  1.888270611039470e-01,  2.637476409963566e-02, -2.743533829989621e-01, -9.572062758174726e-01,  6.052256737827799e-01
sample_25   ,  8.080324448298829e-01,  9.873630972499724e-01,  1.788789282515524e-02,  6.788054600481530e-02,  1.881163259196389e+00
sample_26   , -1.247394618919144e+00, -1.191663606155928e+00,  1.189782630410362e-01,  8.277124506964932e-01, -2.883117420175135e+00
sample_27   ,  8.919970619715032e-01,  7.808307404434970e-01,  1.082393257911219e-01, -1.415614234627977e+00,  2.190005953070655e+00
sample_28   , -5.936231431133940e-01, -4.174515660368527e-01,  5.653906301930908e-01, -1.283686211062726e+00, -4.422905315597446e-01
sample_29   , -5.744786804364913e-01, -7.796756221393291e-01, -2.408702312212399e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_30   ,  1.274992153767564e+00,  1.023027476498747e+00,  8.716782322198360e-02, -5.510330746279997e-01,  2.240101766252666e+00
sample_31   ,  9.039863930935171e-01,  9.799023419007572e-01,  1.466391451394779e+00,  5.560472523151795e-01,  1.047945906870535e+00
