# c0 + a0 * (c6_gb_std / en_gordy_sum) + a1 * (en_ghosh_std * Tx_fusion_heat) + a2 * (en_cottrell_sutton_std - atomic_volume_av) + a3 * (en_martynov_batsanov_sum + lattice_constant_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.329115271158751; Max AE: 1.19754734668002
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -8.359488346152269e-02,  2.239658485252367e-01,  2.671324962490908e-01,  5.039835506804670e-01,  3.549102930385526e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         146|169|div; (c6_gb_std / en_gordy_sum); $\left(\frac{ c6_{gb, std} }{ en_{gordy, sum} } \right)$; (c6_gb_std ./ en_gordy_sum); c6_gb_std,en_gordy_sum
# 1;  1; Unitless;                                         26|19|mult; (en_ghosh_std * Tx_fusion_heat); $\left(en_{ghosh, std} Tx_{fusion, heat}\right)$; (en_ghosh_std .* Tx_fusion_heat); en_ghosh_std,Tx_fusion_heat
# 2;  1; Unitless;                                         136|102|sub; (en_cottrell_sutton_std - atomic_volume_av); $\left(en_{cottrell, sutton, std} - atomic_{volume, av}\right)$; (en_cottrell_sutton_std - atomic_volume_av); en_cottrell_sutton_std,atomic_volume_av
# 3;  1; Unitless;                                         46|11|add; (en_martynov_batsanov_sum + lattice_constant_sum); $\left(en_{martynov, batsanov, sum} + lattice_{constant, sum}\right)$; (en_martynov_batsanov_sum + lattice_constant_sum); en_martynov_batsanov_sum,lattice_constant_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  6.471147974019836e-01,  5.596977408089712e-01,  4.604049413785457e+00,  7.679072849406829e-03, -2.650825293182761e-01,  1.940884761185369e+00
sample_1    , -1.211346759298101e+00, -1.324169865241140e+00,  1.308506688534582e+00,  7.206543122171926e-01, -3.802500714949926e-01, -2.599492051617949e+00
sample_2    , -7.586258986840756e-01, -5.512092012535820e-01, -9.426832118609779e-02, -1.212174812857950e-01, -7.179379149477678e-01, -7.453565814792609e-01
sample_3    ,  1.160849504833733e+00,  1.499031659442561e+00, -1.278777285006056e+00,  3.129066957105643e-01,  1.855056171995157e+00,  1.569525813761140e+00
sample_4    , -7.548356813046568e-01, -2.077639971979016e-01,  1.522655403191763e+00, -3.094121625470126e-01, -1.238365487941381e+00,  5.637814878835953e-01
sample_5    , -6.770948454104094e-01, -5.018769562873512e-01, -2.272994776539308e+00, -2.520800549961916e-01, -1.350272850663026e+00, -6.155352451430366e-01
sample_6    , -1.682203336469330e+00, -1.619453170652258e+00, -1.119637701120941e+00, -2.492709417886078e-01, -1.272678436617052e+00, -2.684092041471860e+00
sample_7    , -4.637411876033378e-01, -4.930811787200130e-01, -2.070845049057217e-01, -1.939838154442907e-01, -9.446368119729942e-01, -4.962353895939758e-01
sample_8    ,  1.243136085642117e+00,  1.091002361054606e+00, -3.911911894755989e-01,  1.190349359653829e+00,  7.068652157037515e-01,  1.125801576520415e+00
sample_9    , -1.150091200885186e+00, -1.379889249631211e+00,  4.507317028006405e-01, -2.284921149690867e-01,  1.326035589632228e-01, -2.702369357561654e+00
sample_10   ,  1.120476158198867e+00,  9.926493028672793e-01, -1.886395406304107e+00, -5.523972726372437e-01, -8.900355349573559e-01,  2.303529164664968e+00
sample_11   , -7.836939209364374e-01, -1.293699453209197e+00,  6.975815680939954e-01,  6.826819981201386e-01, -4.800961367702766e-01, -2.570568829877549e+00
sample_12   , -6.014333599221068e-01, -1.379889249631211e+00,  4.507317028006405e-01, -2.284921149690867e-01,  1.326035589632228e-01, -2.702369357561654e+00
sample_13   ,  3.144920332825995e-01,  2.951106341874487e-01, -4.551927378874580e-03, -1.538347655729496e-01,  2.806998170243559e-01,  4.339601515473727e-01
sample_14   ,  1.313590629906779e+00,  1.292254108325266e+00, -5.606379761809102e-01,  3.753779455731489e-01,  7.287760644779485e-01,  1.847570227386826e+00
sample_15   ,  1.202272944705296e+00,  1.202396284646842e+00, -3.102559139613308e+00, -6.570638294685960e-01,  7.232073723792609e-02,  2.054407972779682e+00
sample_16   , -9.301172910850198e-01, -6.839489082134352e-01,  2.378952298586311e+00,  5.524559583609047e-01, -1.052908221347679e+00, -7.203349451854318e-01
sample_17   , -5.618988526743032e-01, -5.096406989908880e-01, -3.476989964514493e+00, -2.408702312212399e-01, -1.878178868944721e+00, -5.558137431540592e-01
sample_18   , -1.450899276504839e+00, -1.275060215197893e+00, -2.808311238447742e-01, -2.221727416247043e-01,  1.618020616907926e-01, -2.633996228289849e+00
sample_19   ,  9.612569931124243e-01,  9.926493028672793e-01, -1.886395406304107e+00, -5.523972726372437e-01, -8.900355349573559e-01,  2.303529164664968e+00
sample_20   ,  1.113394814341984e+00,  1.075988027521408e+00,  9.045637596077875e-01, -5.221239123020359e-01,  1.927029837111292e+00,  1.425204321918249e+00
sample_21   ,  7.050383698082120e-01,  1.009873663892197e+00, -2.645757565878439e+00, -5.636791658237393e-01, -9.991605715918936e-01,  2.274605942924566e+00
sample_22   , -1.910238471282477e+00, -7.126911246024604e-01, -1.656307959008430e+00, -5.873556332080470e+00, -1.035867790935228e+00,  1.399944404699527e+00
sample_23   ,  3.603589879841972e-01, -3.945329230406994e-01, -2.164464664496347e+00, -5.424071940717317e+00,  8.927697779272903e-02,  1.150823212814243e+00
sample_24   ,  1.888270611039470e-01,  5.777651415053706e-02, -5.383579650558459e-01, -2.743533829989621e-01, -9.968704147148183e-01,  6.052256737827799e-01
sample_25   ,  8.080324448298829e-01,  8.971132823881945e-01,  1.317081705693310e+00,  1.788789282515524e-02,  7.352878883147707e-02,  1.881163259196389e+00
sample_26   , -1.247394618919144e+00, -1.100908924885799e+00, -1.744278592992578e-01,  1.189782630410362e-01,  1.031006934452090e+00, -2.883117420175135e+00
sample_27   ,  8.919970619715032e-01,  6.081813028357403e-01,  2.755357681122196e+00,  1.082393257911219e-01, -1.216418127584942e+00,  2.190005953070655e+00
sample_28   , -5.936231431133940e-01, -5.496519190390721e-01,  1.427537214432098e+00,  5.653906301930908e-01, -1.383317964552318e+00, -4.422905315597446e-01
sample_29   , -5.744786804364913e-01, -5.096406989908880e-01, -3.476989964514493e+00, -2.408702312212399e-01, -1.878178868944721e+00, -5.558137431540592e-01
sample_30   ,  1.274992153767564e+00,  1.076701610407723e+00,  5.211928645799129e-01,  8.716782322198360e-02, -2.385236560466870e-01,  2.240101766252666e+00
sample_31   ,  9.039863930935171e-01,  1.078356505120929e+00, -8.519389730829705e-01,  1.466391451394779e+00,  4.307923353177786e-01,  1.047945906870535e+00
sample_32   , -1.231648551182150e+00, -1.145976801248114e+00,  6.737636106930351e-01,  8.572251629319383e-01,  3.891087359910193e-01, -2.819690021762833e+00
sample_33   , -1.680752546758683e+00, -1.306238651530687e+00, -3.986681382915936e-01,  7.892356334744109e-02,  4.329589109151337e-01, -2.992934735346124e+00
sample_34   ,  1.000664370980082e+00,  1.364294135796825e+00,  3.211453313851410e-02, -4.572186918771365e-01,  2.453780050121510e+00,  1.544504177467311e+00
sample_35   , -4.582114196258733e-02,  3.622833780272004e-01, -2.035213422901922e+00,  7.120285184265036e-01, -1.346460690883558e+00,  7.081029797264867e-01
sample_36   , -1.649980605237195e+00, -1.293699453209197e+00,  6.975815680939954e-01,  6.826819981201386e-01, -4.800961367702766e-01, -2.570568829877549e+00
sample_37   ,  1.310516023197298e+00,  1.072311936698878e+00, -1.138891931825785e+00,  9.208013867522875e-02, -6.495763313281144e-01,  2.171728636980859e+00
