# c0 + a0 * (melting_point_sum / atomic_volume_av) + a1 * (M_dipole_polar / en_gordy_sum) + a2 * (density_std * Tx_fusion_heat) + a3 * (en_cottrell_sutton_std - atomic_volume_av) + a4 * (lattice_constant_av + en_allen_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.307160480152763; Max AE: 1.07313593760082
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.476403526863125e-02, -7.887815939113506e-02, -2.090840622724540e-01,  2.180446981077304e-01,  5.356451061736017e-01,  1.337905939333038e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         44|102|div; (melting_point_sum / atomic_volume_av); $\left(\frac{ melting_{point, sum} }{ atomic_{volume, av} } \right)$; (melting_point_sum ./ atomic_volume_av); melting_point_sum,atomic_volume_av
# 1;  1; Unitless;                                         138|169|div; (M_dipole_polar / en_gordy_sum); $\left(\frac{ M_{dipole, polar} }{ en_{gordy, sum} } \right)$; (M_dipole_polar ./ en_gordy_sum); M_dipole_polar,en_gordy_sum
# 2;  1; Unitless;                                         117|19|mult; (density_std * Tx_fusion_heat); $\left(density_{std} Tx_{fusion, heat}\right)$; (density_std .* Tx_fusion_heat); density_std,Tx_fusion_heat
# 3;  1; Unitless;                                         136|102|sub; (en_cottrell_sutton_std - atomic_volume_av); $\left(en_{cottrell, sutton, std} - atomic_{volume, av}\right)$; (en_cottrell_sutton_std - atomic_volume_av); en_cottrell_sutton_std,atomic_volume_av
# 4;  1; Unitless;                                         87|40|add; (lattice_constant_av + en_allen_sum); $\left(lattice_{constant, av} + en_{allen, sum}\right)$; (lattice_constant_av + en_allen_sum); lattice_constant_av,en_allen_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  6.471147974019836e-01,  6.530707461426791e-01,  1.856514101728466e+00,  5.325189673206681e+00, -2.878941550477531e-01, -2.650825293182761e-01,  1.922782371522499e+00
sample_1    , -1.211346759298101e+00, -1.200713555086114e+00,  3.827862455026378e-01,  1.296215140009651e+00, -8.174947005007827e-01, -3.802500714949926e-01, -2.250584587850489e+00
sample_2    , -7.586258986840756e-01, -5.420658173276263e-01, -1.039588425356015e+00,  2.774257275202880e-01, -6.956796722572699e-02, -7.179379149477678e-01, -7.023615425964034e-01
sample_3    ,  1.160849504833733e+00,  1.430958324309409e+00, -1.858077694364122e+00, -1.392829522887442e+00, -8.182960783183726e-01,  1.855056171995157e+00,  1.418047734348885e+00
sample_4    , -7.548356813046568e-01, -3.971162490255687e-01, -1.270581529697384e+00,  1.164863826377774e+00,  4.361890566412266e-01, -1.238365487941381e+00,  1.145630283979063e-01
sample_5    , -6.770948454104094e-01, -5.648693664319722e-01, -2.858144847590067e+00, -1.620924222630200e+00,  3.240254495897829e-01, -1.350272850663026e+00, -5.633166379058372e-01
sample_6    , -1.682203336469330e+00, -1.486397065163766e+00, -9.540807928515345e-01, -1.153362689075214e+00,  2.800883012421920e-01, -1.272678436617052e+00, -2.316090203176069e+00
sample_7    , -4.637411876033378e-01, -4.638068054412135e-01, -2.355801979293255e+00,  3.938071645587850e-01, -9.606096156974052e-02, -9.446368119729942e-01, -4.209012684240562e-01
sample_8    ,  1.243136085642117e+00,  1.385777197561882e+00,  5.555815309435313e+01, -3.123419027736054e-01, -1.303329355639929e-01,  7.068652157037515e-01,  6.461739234918531e-01
sample_9    , -1.150091200885186e+00, -1.218611408385454e+00,  2.921131297914147e+00,  1.651588580007052e-01,  3.140606999204957e-01,  1.326035589632228e-01, -2.287595141781735e+00
sample_10   ,  1.120476158198867e+00,  1.083666535086808e+00, -5.560396886524025e-02, -1.916674301141186e+00,  4.345481603029512e-01, -8.900355349573559e-01,  2.249342491646279e+00
sample_11   , -7.836939209364374e-01, -1.257321182200265e+00, -1.000554943026208e+00,  8.731147162998036e-01, -5.904973093321167e-01, -4.800961367702766e-01, -2.251191089885643e+00
sample_12   , -6.014333599221068e-01, -1.218611408385454e+00,  2.921131297914147e+00,  1.651588580007052e-01,  3.140606999204957e-01,  1.326035589632228e-01, -2.287595141781735e+00
sample_13   ,  3.144920332825995e-01,  5.979824670374524e-02, -3.757326784468696e+00, -5.943394170472157e-01, -3.309952700709897e-02,  2.806998170243559e-01, -2.448187629266385e-02
sample_14   ,  1.313590629906779e+00,  1.255959430166753e+00, -5.839945118622213e-01, -9.097392892138031e-01, -6.237442405187734e-01,  7.287760644779485e-01,  1.661777880225467e+00
sample_15   ,  1.202272944705296e+00,  1.164609534015279e+00, -4.966674116742014e+00, -3.021594642872094e+00,  4.000057638611133e-01,  7.232073723792609e-02,  1.967882217473931e+00
sample_16   , -9.301172910850198e-01, -6.761252561967738e-01, -1.859809784119433e+00,  2.661575995091816e+00, -7.384972325342755e-01, -1.052908221347679e+00, -7.036986701155714e-01
sample_17   , -5.618988526743032e-01, -4.890119312025986e-01, -1.108432027122366e+00, -2.934279880945053e+00,  1.789343078015232e-01, -1.878178868944721e+00, -5.050683701904212e-01
sample_18   , -1.450899276504839e+00, -1.157638110721498e+00, -2.403473156795140e+00, -4.076882745589409e-01,  1.030200414643665e-01,  1.618020616907926e-01, -2.205621086940510e+00
sample_19   ,  9.612569931124243e-01,  1.083666535086808e+00, -5.560396886524025e-02, -1.916674301141186e+00,  4.345481603029512e-01, -8.900355349573559e-01,  2.249342491646279e+00
sample_20   ,  1.113394814341984e+00,  9.573114485451554e-01, -1.992693588053354e-01,  6.966139445502626e-01,  4.895593788890776e-01,  1.927029837111292e+00,  1.276969492386272e+00
sample_21   ,  7.050383698082120e-01,  1.080125910032396e+00,  5.125703404969082e-01, -2.285596686944135e+00,  6.136383876874264e-01, -9.991605715918936e-01,  2.287072619942043e+00
sample_22   , -1.910238471282477e+00, -1.021385634807475e+00,  9.912072730027920e-02, -1.546348126496388e+00,  6.832190877280572e+00, -1.035867790935228e+00,  9.262970701450335e-01
sample_23   ,  3.603589879841972e-01, -2.469554514478887e-01,  3.892585074212927e+01, -1.967258336627686e+00,  6.481033952018712e+00,  8.927697779272903e-02,  6.448367959726836e-01
sample_24   ,  1.888270611039470e-01, -1.329826275954156e-01, -1.782530385903267e+00, -2.989958920958234e-01,  2.962166092346838e-01, -9.968704147148183e-01,  2.532794342725095e-01
sample_25   ,  8.080324448298829e-01,  9.524595123602665e-01, -1.116673416976601e+00,  1.866584107803945e+00, -4.210681863225285e-01,  7.352878883147707e-02,  1.864534103807082e+00
sample_26   , -1.247394618919144e+00, -1.151673580167837e+00, -4.819080013267228e-01, -3.542398054217830e-01,  2.267276144293008e-01,  1.031006934452090e+00, -2.545117963500282e+00
sample_27   ,  8.919970619715032e-01,  7.274058219791514e-01, -6.901949999429272e-01,  3.085414295812723e+00, -2.493272962552038e-01, -1.216418127584942e+00,  2.204242645694848e+00
sample_28   , -5.936231431133940e-01, -6.169298139166356e-01, -6.239828836911337e-01,  2.445975186263858e+00, -5.731794583888806e-01, -1.383317964552318e+00, -4.599685242389885e-01
sample_29   , -5.744786804364913e-01, -4.890119312025986e-01, -1.108432027122366e+00, -2.934279880945053e+00,  1.789343078015232e-01, -1.878178868944721e+00, -5.050683701904212e-01
sample_30   ,  1.274992153767564e+00,  1.105435577304225e+00, -5.938461877697734e-01,  1.280476826054554e+00, -1.112004333016785e-01, -2.385236560466870e-01,  2.297387403008786e+00
sample_31   ,  9.039863930935171e-01,  1.089660072735461e+00, -2.289991447621864e+00, -2.632720337647415e-01, -3.114792942686021e+00,  4.307923353177786e-01,  6.424749598846738e-01
sample_32   , -1.231648551182150e+00, -1.262387235481650e+00, -7.777490820902732e-01,  7.484408964434168e-01, -4.667897363671821e-01,  3.891087359910193e-01, -2.590687966445416e+00
sample_33   , -1.680752546758683e+00, -1.465177221942476e+00, -5.119304947407818e-02, -4.850289752371041e-01,  5.724568232009269e-01,  4.329589109151337e-01, -2.783132783137732e+00
sample_34   ,  1.000664370980082e+00,  1.311693447154478e+00, -1.055723389355052e+00, -2.076566464085389e-01, -1.052813758020250e-02,  2.453780050121510e+00,  1.419384861868051e+00
sample_35   , -4.582114196258733e-02,  2.166216751942862e-01,  2.927687857204865e-02, -2.225310728976234e+00, -8.797302578304755e-01, -1.346460690883558e+00,  2.556412703605190e-01
sample_36   , -1.649980605237195e+00, -1.257321182200265e+00, -1.000554943026208e+00,  8.731147162998036e-01, -5.904973093321167e-01, -4.800961367702766e-01, -2.251191089885643e+00
sample_37   ,  1.310516023197298e+00,  1.136719106151934e+00, -2.756408393931683e+00, -3.073828276277457e-01, -2.756426763099848e-01, -6.495763313281144e-01,  2.284710783854033e+00
sample_38   ,  1.202465930421095e+00,  9.573114485451554e-01, -1.992693588053354e-01,  6.966139445502626e-01,  4.895593788890776e-01,  1.927029837111292e+00,  1.276969492386272e+00
sample_39   , -5.975129901431819e-01, -4.638068054412135e-01, -2.355801979293255e+00,  3.938071645587850e-01, -9.606096156974052e-02, -9.446368119729942e-01, -4.209012684240562e-01
sample_40   ,  8.169730762088728e-01,  9.524595123602665e-01, -1.116673416976601e+00,  1.866584107803945e+00, -4.210681863225285e-01,  7.352878883147707e-02,  1.864534103807082e+00
sample_41   , -6.678328637255340e-01, -6.605163180969554e-01, -4.550251818146842e-02,  4.213116585681372e+00, -7.694831792427088e-01, -1.264040979032959e+00, -4.222383959432250e-01
sample_42   , -3.074498989691304e-01,  7.656860386316882e-01, -6.790770509975538e-01,  4.005695079755896e-01,  2.550280270925551e-02,  1.393090275108637e+00,  9.250628030997911e-01
sample_43   , -5.114856329606416e-01, -1.043068901249665e+00,  6.293692142117101e+00,  1.503418138329640e-01, -3.853161969523246e-02,  2.777327419155232e-01, -2.251722368748698e+00
sample_44   , -6.213527234794211e-01, -6.876130911419089e-01, -2.110223325371854e+00,  1.667720479138695e+00, -5.429750629573732e-01, -1.167993277534928e+00, -7.414287984113357e-01
sample_45   , -1.670792832474174e+00, -1.519993012709156e+00, -5.432573835303576e+00, -5.667435676434101e-01,  4.487492502359928e-01, -4.362459618461610e-01, -2.443635906577960e+00
sample_46   ,  2.564616474882058e-01, -6.094722215679298e-01, -2.686371389433204e-01,  3.324649847463697e-01,  2.277936027540984e-01, -7.651413747850198e-01, -7.060605062035795e-01
sample_47   , -1.647019150504399e+00, -1.465177221942476e+00, -5.119304947407818e-02, -4.850289752371041e-01,  5.724568232009269e-01,  4.329589109151337e-01, -2.783132783137732e+00
