# c0 + a0 * (Tx_charge_sum + Tx_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.48513730427931; Max AE: 1.19519670436905
# Coefficients
# Task   a0                      c0
# all ,  5.010721439419691e-01, -8.611173346390211e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         110|108|add; (Tx_charge_sum + Tx_s_kurt); $\left(Tx_{charge, sum} + Tx_{s, kurt}\right)$; (Tx_charge_sum + Tx_s_kurt); Tx_charge_sum,Tx_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  9.192736085095378e-01,  2.365824794845441e-01,  4.721525280238759e-01
sample_1    ,  1.708216960322488e+00,  1.365858042974533e+00,  2.725871033718287e+00
sample_2    , -9.349418857745148e-01, -1.163985527689296e+00, -2.322989896289468e+00
sample_3    , -3.869542469361090e-01,  2.592896942705145e-01,  5.174697843521389e-01
sample_4    ,  1.606210188190853e+00,  1.523451267824423e+00,  3.040383079049909e+00
sample_5    ,  7.761604091037473e-01,  1.479810659078268e+00,  2.953288617156995e+00
sample_6    , -1.450618880560494e+00, -1.163985527689296e+00, -2.322989896289468e+00
sample_7    , -2.637851329777143e-01, -8.789926877791436e-01, -1.754223814686739e+00
sample_8    ,  6.969541735933062e-01,  1.632831980231874e-01,  3.258676420098459e-01
sample_9    ,  1.036677297615589e+00,  2.573309277823355e-01,  5.135606337201174e-01
sample_10   , -1.573677966059544e+00, -3.784812616904963e-01, -7.553428508576790e-01
sample_11   ,  1.823593927001561e+00,  1.446155261752414e+00,  2.886121847395887e+00
sample_12   , -9.912945487112125e-01, -8.789926877791436e-01, -1.754223814686739e+00
sample_13   ,  3.565618826838723e-02, -2.009297470958258e-01, -4.009996355317171e-01
sample_14   ,  5.036372198737018e-01, -2.367099269527055e-01, -4.724068775615664e-01
sample_15   , -1.512652823608613e+00, -4.119489522638224e-01, -8.221350103859129e-01
sample_16   , -2.925359350272910e-01, -1.163985527689296e+00, -2.322989896289468e+00
sample_17   ,  7.189093062585388e-01,  1.035940324563821e+00,  2.067447446617182e+00
sample_18   , -4.901877019996744e-01,  3.312054076711513e-01,  6.609934550852011e-01
sample_19   , -1.023352728343078e+00, -8.709275229542482e-01, -1.738127999099294e+00
sample_20   ,  1.449021867354678e-01,  1.573392148909998e-01,  3.140051124239345e-01
sample_21   ,  7.421323787523932e-01,  1.419210557586039e+00,  2.832347746216767e+00
sample_22   , -1.618353900201253e+00, -1.163985527689296e+00, -2.322989896289468e+00
sample_23   ,  1.999136078741948e-01,  2.731007957778728e-01,  5.450328841459238e-01
sample_24   , -2.059195258647188e-01,  2.738689079386877e-01,  5.465658214087540e-01
sample_25   , -1.415017737938304e-01, -2.509058517883115e-01, -5.007379771990871e-01
sample_26   , -3.191246461193190e-01,  2.824236959732653e-01,  5.636387881222427e-01
sample_27   , -1.512745364701731e+00, -4.119489522638224e-01, -8.221350103859129e-01
sample_28   , -1.210548801550011e+00, -1.163985527689296e+00, -2.322989896289468e+00
sample_29   ,  1.084136682992131e+00,  2.381962900531852e-01,  4.753732430210122e-01
sample_30   , -1.506194548663657e+00, -1.163985527689296e+00, -2.322989896289468e+00
sample_31   , -1.596005040790334e-01, -8.709275229542482e-01, -1.738127999099294e+00
