# c0 + a0 * (CN_tDOS_at_EF - lattice_constant_std) + a1 * (surf_tot_fill + Tx_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.37265380733021; Max AE: 1.09411360965215
# Coefficients
# Task   a0                      a1                      c0
# all , -2.412388668191299e-01,  4.382868598201873e-01, -4.114757196130732e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         378|137|sub; (CN_tDOS_at_EF - lattice_constant_std); $\left(CN_{tDOS, at, EF} - lattice_{constant, std}\right)$; (CN_tDOS_at_EF - lattice_constant_std); CN_tDOS_at_EF,lattice_constant_std
# 1;  1; Unitless;                                         111|108|add; (surf_tot_fill + Tx_s_kurt); $\left(surf_{tot, fill} + Tx_{s, kurt}\right)$; (surf_tot_fill + Tx_s_kurt); surf_tot_fill,Tx_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  9.192736085095378e-01,  6.884432170858710e-01, -2.703667119722380e+00,  8.262539489037085e-02
sample_1    ,  1.708216960322488e+00,  1.373501517449059e+00, -9.339043991438336e-01,  2.619762497450339e+00
sample_2    , -9.349418857745148e-01, -1.049870771610734e+00,  5.078336434508154e-01, -2.115878078828306e+00
sample_3    , -3.869542469361090e-01,  7.428247555951804e-02,  1.515531850450605e-01,  2.529005643201201e-01
sample_4    ,  1.606210188190853e+00,  1.476064928237581e+00, -8.364126639622340e-01,  2.907433012052781e+00
sample_5    ,  7.761604091037473e-01,  1.300787632553244e+00, -8.721571618978471e-01,  2.487844211382850e+00
sample_6    , -1.450618880560494e+00, -1.196926623174615e+00,  4.179086503322034e-01, -2.500898188880804e+00
sample_7    , -2.637851329777143e-01, -7.521168220945714e-01,  4.951300083477013e-01, -1.443511722464568e+00
sample_8    ,  6.969541735933062e-01,  3.859908858593952e-02,  3.735619600957862e-01,  2.936815230531622e-01
sample_9    ,  1.036677297615589e+00,  7.524651687365402e-01, -2.782627287274604e+00,  1.852378490373496e-01
sample_10   , -1.573677966059544e+00, -1.054814640099561e+00,  3.952871055882398e+00, -2.309640447306210e-01
sample_11   ,  1.823593927001561e+00,  1.625705975682211e+00, -1.304640276497481e+00,  2.991136978898266e+00
sample_12   , -9.912945487112125e-01, -7.521168220945714e-01,  4.951300083477013e-01, -1.443511722464568e+00
sample_13   ,  3.565618826838723e-02,  1.446046018010034e-01,  9.769392412919848e-01,  8.676516505136328e-01
sample_14   ,  5.036372198737018e-01,  5.867010579513041e-02,  5.059837624984346e-01,  4.123624773128743e-01
