# c0 + a0 * (M_evap_heat * surf_bond_length_std) + a1 * (Tx_tDOS_at_EF - lattice_constant_av) + a2 * (surf_tot_fill + Tx_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.33098639307404; Max AE: 1.23702385118655
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.406346923039834e-01, -2.651850555816387e-01,  4.912697871086349e-01, -3.830262840853103e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         348|143|mult; (M_evap_heat * surf_bond_length_std); $\left(M_{evap, heat} surf_{bond, length, std}\right)$; (M_evap_heat .* surf_bond_length_std); M_evap_heat,surf_bond_length_std
# 1;  1; Unitless;                                         245|42|sub; (Tx_tDOS_at_EF - lattice_constant_av); $\left(Tx_{tDOS, at, EF} - lattice_{constant, av}\right)$; (Tx_tDOS_at_EF - lattice_constant_av); Tx_tDOS_at_EF,lattice_constant_av
# 2;  1; Unitless;                                         111|108|add; (surf_tot_fill + Tx_s_kurt); $\left(surf_{tot, fill} + Tx_{s, kurt}\right)$; (surf_tot_fill + Tx_s_kurt); surf_tot_fill,Tx_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  9.192736085095378e-01,  5.771736950662910e-01,  2.107888940940453e-01, -1.976588920126681e+00,  8.262539489037085e-02
sample_1    ,  1.708216960322488e+00,  1.360836729640531e+00,  5.495283882348565e-02, -3.729683559014868e-01,  2.619762497450339e+00
sample_2    , -9.349418857745148e-01, -1.252722635841222e+00, -6.867857112936271e-01,  3.653511228872652e-02, -2.115878078828306e+00
sample_3    , -3.869542469361090e-01, -9.115106426595279e-02, -4.274857691603420e-01,  2.798910955279692e-01,  2.529005643201201e-01
sample_4    ,  1.606210188190853e+00,  1.485087379333552e+00,  1.186130596638734e-01, -2.508195404034352e-01,  2.907433012052781e+00
sample_5    ,  7.761604091037473e-01,  1.168626813249747e+00, -2.260368496351566e-01, -1.475160553383816e-01,  2.487844211382850e+00
sample_6    , -1.450618880560494e+00, -1.290530237729493e+00, -1.766581427323907e-01, -7.126415660502861e-02, -2.500898188880804e+00
sample_7    , -2.637851329777143e-01, -7.489084966033278e-01, -6.478366563201794e-02, -5.331003967726622e-02, -1.443511722464568e+00
sample_8    ,  6.969541735933062e-01,  3.529456958528594e-01,  1.889418413037385e+00,  7.831819671959984e-01,  2.936815230531622e-01
sample_9    ,  1.036677297615589e+00,  8.505295277971184e-01,  1.972218808550649e+00, -1.218945504617178e+00,  1.852378490373496e-01
sample_10   , -1.573677966059544e+00, -1.240538332671483e+00, -1.077113071700464e+00,  3.128303262691818e+00, -2.309640447306210e-01
sample_11   ,  1.823593927001561e+00,  1.723855020404284e+00, -2.848795190310326e-01, -1.362272533005629e+00,  2.991136978898266e+00
sample_12   , -9.912945487112125e-01, -7.489084966033278e-01, -6.478366563201794e-02, -5.331003967726622e-02, -1.443511722464568e+00
sample_13   ,  3.565618826838723e-02,  3.831076573314962e-01,  1.095875629813058e+00,  1.012675658840385e+00,  8.676516505136328e-01
sample_14   ,  5.036372198737018e-01,  4.344912815829082e-01,  1.000824809207638e+00, -1.107887225094275e-01,  4.123624773128743e-01
sample_15   , -1.512652823608613e+00, -1.646156782440426e+00, -5.804455993015741e-01,  4.911456167768832e+00, -3.373584807313835e-01
sample_16   , -2.925359350272910e-01, -1.066256672626274e+00,  9.878893922806810e-02,  4.423506006685096e-02, -2.116954147476335e+00
sample_17   ,  7.189093062585388e-01,  9.784437766413450e-01, -5.753585204661644e-01, -5.528759378037194e-01,  2.053012857205216e+00
sample_18   , -4.901877019996744e-01, -1.983019370291111e-01, -6.871139807452552e-01, -2.094012197445988e-01, -1.021555216704526e-01
sample_19   , -1.023352728343078e+00, -9.081944738508729e-01,  8.381309555182384e-02,  3.339362296077613e-01, -1.631497208508377e+00
sample_20   ,  1.449021867354678e-01, -1.353509746360568e-01,  1.530281755941733e-01,  1.822584135412637e+00,  7.113196256843478e-01
sample_21   ,  7.421323787523932e-01,  1.646088831777931e+00,  8.265832455835830e-01, -3.517405228211630e-01,  2.833902189102713e+00
sample_22   , -1.618353900201253e+00, -1.134382652610267e+00, -1.286366331881457e-01, -2.595278797801935e-01, -2.308199145430515e+00
sample_23   ,  1.999136078741948e-01,  2.053413721373241e-01,  5.095014302811017e-01, -8.259249471309221e-02,  2.017994754452155e-01
sample_24   , -2.059195258647188e-01, -2.100231631830250e-01, -5.108953581412715e-01, -3.387603424171024e-01, -2.821577294976575e-01
sample_25   , -1.415017737938304e-01, -2.599428129617959e-01, -1.530027720939474e+00,  2.263614962012692e-01,  4.204721248155422e-01
sample_26   , -3.191246461193190e-01, -2.011532487177895e-01,  3.948084738471377e-02,  1.870392391923619e+00,  6.588010031005443e-01
sample_27   , -1.512745364701731e+00, -1.646156782440426e+00, -5.804455993015741e-01,  4.911456167768832e+00, -3.373584807313835e-01
sample_28   , -1.210548801550011e+00, -8.436990902598199e-01,  4.278624292674328e-01, -1.440286631083129e-01, -1.926740214311018e+00
sample_29   ,  1.084136682992131e+00,  9.476998709017118e-01,  2.046278887648946e+00, -1.122770203475254e+00,  3.986708223019601e-01
sample_30   , -1.506194548663657e+00, -1.315782956296946e+00,  8.013446422112802e-01,  1.982340156293559e-01, -2.885874499198591e+00
sample_31   , -1.596005040790334e-01, -9.081944738508729e-01,  8.381309555182384e-02,  3.339362296077613e-01, -1.631497208508377e+00
sample_32   ,  1.039551054941583e+00,  3.529456958528594e-01,  1.889418413037385e+00,  7.831819671959984e-01,  2.936815230531622e-01
sample_33   ,  1.490972365377638e+00,  1.303466348460419e+00, -3.816341471920777e-01, -8.248941441104196e-02,  2.873631698001291e+00
sample_34   , -2.430433638459000e-01, -9.486384438139707e-01, -3.953556939171288e-03, -1.363287153301880e-01, -1.924679300888898e+00
sample_35   ,  2.563459757522217e-01,  2.053413721373241e-01,  5.095014302811017e-01, -8.259249471309221e-02,  2.017994754452155e-01
sample_36   , -1.485375848956369e-01,  3.831076573314962e-01,  1.095875629813058e+00,  1.012675658840385e+00,  8.676516505136328e-01
sample_37   ,  2.574926215050540e-01,  1.905460485848227e-01,  1.783832687925410e-01,  4.828433780587280e-01,  6.390914529689655e-01
sample_38   , -1.130861497330735e+00, -9.486384438139707e-01, -3.953556939171288e-03, -1.363287153301880e-01, -1.924679300888898e+00
sample_39   ,  1.992421413025131e-01,  2.053413721373241e-01,  5.095014302811017e-01, -8.259249471309221e-02,  2.017994754452155e-01
sample_40   ,  2.524653507971055e-01, -1.939708035078876e-01,  2.151373695936569e-01,  4.767589978020120e-01, -1.648958080247832e-01
sample_41   , -8.373504473094027e-01, -9.009033323281720e-01,  2.975249742646515e-02, -1.299065814141756e-01, -1.840555830468613e+00
sample_42   ,  6.465518666880544e-01,  4.472311929310738e-01,  1.044534919313602e+00, -3.274439866357591e-01,  2.999354621442445e-01
sample_43   , -1.529988391903044e+00, -1.172512386698709e+00,  8.074045638672276e-01,  1.767024023231756e-02, -2.694677055624258e+00
sample_44   ,  1.240207236151936e+00,  1.485087379333552e+00,  1.186130596638734e-01, -2.508195404034352e-01,  2.907433012052781e+00
sample_45   ,  1.811606265615140e-01, -7.258177587520827e-01,  1.206495116512571e+00,  2.706037509263781e-02, -1.975826175087311e+00
