# c0 + a0 * (site_charge_std / eig_16) + a1 * (Tx_p_skew * M_sp_center) + a2 * (CN_tDOS_at_EF - lattice_constant_av) + a3 * (surf_tot_fill + Tx_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.285413447522209; Max AE: 0.902879790441677
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.120565723921740e-01, -2.365314973276609e-01, -2.061958795306691e-01,  4.488241780843476e-01,  2.922481239978153e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         197|253|div; (site_charge_std / eig_16); $\left(\frac{ site_{charge, std} }{ eig_{16} } \right)$; (site_charge_std ./ eig_16); site_charge_std,eig_16
# 1;  1; Unitless;                                         286|190|mult; (Tx_p_skew * M_sp_center); $\left(Tx_{p, skew} M_{sp, center}\right)$; (Tx_p_skew .* M_sp_center); Tx_p_skew,M_sp_center
# 2;  1; Unitless;                                         378|42|sub; (CN_tDOS_at_EF - lattice_constant_av); $\left(CN_{tDOS, at, EF} - lattice_{constant, av}\right)$; (CN_tDOS_at_EF - lattice_constant_av); CN_tDOS_at_EF,lattice_constant_av
# 3;  1; Unitless;                                         111|108|add; (surf_tot_fill + Tx_s_kurt); $\left(surf_{tot, fill} + Tx_{s, kurt}\right)$; (surf_tot_fill + Tx_s_kurt); surf_tot_fill,Tx_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  9.192736085095378e-01,  7.719936039389208e-01, -1.707092260460526e-01, -3.531402014911001e-01, -2.841743122830404e+00,  8.262539489037085e-02
sample_1    ,  1.708216960322488e+00,  1.459205270208153e+00, -1.131987538991990e-02, -5.261181669371891e-03, -1.214974904111510e+00,  2.619762497450339e+00
sample_2    , -9.349418857745148e-01, -1.223447400870826e+00,  6.669951586266278e-01,  1.621881660196648e-01,  5.975466483435874e-01, -2.115878078828306e+00
sample_3    , -3.869542469361090e-01, -2.320257766388820e-01,  4.291065390975153e-01,  1.003437492182240e+00,  2.251210969380175e-01,  2.529005643201201e-01
sample_4    ,  1.606210188190853e+00,  1.576411162763345e+00, -6.815165934030636e-02,  1.839617948146037e-02, -1.125916713357301e+00,  2.907433012052781e+00
sample_5    ,  7.761604091037473e-01,  1.409425256319541e+00, -4.176002378126460e-01,  2.136903348237897e-01, -1.094034618233051e+00,  2.487844211382850e+00
sample_6    , -1.450618880560494e+00, -1.312394834094169e+00,  6.744195520109871e-01,  3.076475720464067e-02,  3.339743738496775e-01, -2.500898188880804e+00
sample_7    , -2.637851329777143e-01, -5.495581649153822e-01, -9.717582473231070e-01,  1.997498941465866e-01,  4.351231299904271e-01, -1.443511722464568e+00
sample_8    ,  6.969541735933062e-01,  6.541138946501102e-01, -6.624521685809592e-01, -2.045947901457116e+00,  6.369222463638533e-01,  2.936815230531622e-01
sample_9    ,  1.036677297615589e+00,  7.559589717823649e-01, -1.956120251172329e-01, -2.002460454259068e-01, -2.690401101988003e+00,  1.852378490373496e-01
sample_10   , -1.573677966059544e+00, -9.898066738451643e-01, -2.272281205914821e-01,  5.624859221244756e-01,  4.027766314292780e+00, -2.309640447306210e-01
sample_11   ,  1.823593927001561e+00,  1.536004416918924e+00,  5.061606508322040e-01, -9.288605882616818e-03, -1.306634516065217e+00,  2.991136978898266e+00
sample_12   , -9.912945487112125e-01, -5.165685577993974e-01, -1.127328087690867e+00,  1.997498941465866e-01,  4.351231299904271e-01, -1.443511722464568e+00
sample_13   ,  3.565618826838723e-02,  3.616756684229031e-02,  6.493112239883795e-01,  2.920371612041844e-01,  8.521682648220750e-01,  8.676516505136328e-01
sample_14   ,  5.036372198737018e-01,  1.793197735962481e-01,  3.112672677126658e-02, -9.628713688274119e-02,  2.481019627749945e-01,  4.123624773128743e-01
sample_15   , -1.512652823608613e+00, -1.656971264361779e+00, -3.837261616685894e-01,  1.290569314811027e+00,  6.357512085375085e+00, -3.373584807313835e-01
sample_16   , -2.925359350272910e-01, -2.559954105891268e-01, -3.746266879504240e+00,  1.357712200885224e-01,  4.723002306336571e-01, -2.116954147476335e+00
sample_17   ,  7.189093062585388e-01,  9.014043428782729e-01,  2.793702056432012e-02,  9.576908118909235e-01, -8.884076306516993e-01,  2.053012857205216e+00
sample_18   , -4.901877019996744e-01, -1.229796202794438e-01,  9.333242357508241e-01, -3.897358026643782e-01,  3.015672440496941e-03, -1.021555216704526e-01
sample_19   , -1.023352728343078e+00, -5.961428176294220e-01, -1.113207358836567e+00,  1.609692960440981e-01,  4.418170956685432e-01, -1.631497208508377e+00
sample_20   ,  1.449021867354678e-01,  3.224227651054341e-01,  2.854812504860857e-01, -4.727762478044590e-01,  3.751180293091987e-01,  7.113196256843478e-01
sample_21   ,  7.421323787523932e-01,  1.419782108685508e+00, -5.746190341298424e-02,  2.239733350663164e-01, -7.731728193451782e-01,  2.833902189102713e+00
sample_22   , -1.618353900201253e+00, -1.339400547385020e+00,  6.635609140970061e-01,  1.121011859801083e-01,  8.022559008917658e-01, -2.308199145430515e+00
sample_23   ,  1.999136078741948e-01,  3.201043218494402e-02,  1.235923127883625e-01,  9.242478770227604e-02,  1.926174682076966e-01,  2.017994754452155e-01
sample_24   , -2.059195258647188e-01, -4.750759960660499e-01,  2.643571331947290e+00, -6.632249024839855e-01, -1.263434502320067e-01, -2.821577294976575e-01
sample_25   , -1.415017737938304e-01, -2.948993704959804e-01,  3.037623170063716e-01,  1.317881558929801e+00,  6.629955207358513e-01,  4.204721248155422e-01
sample_26   , -3.191246461193190e-01, -1.177129762474872e-01,  9.554816275057999e-01,  3.239266528343417e-01,  7.923950402165632e-01,  6.588010031005443e-01
