# c0 + a0 * (site_charge_std + metallic_radius_av) + a1 * (site_p_var / surf_bond_length_min) + a2 * (M_evap_heat * surf_bond_length_std) + a3 * (Tx_tDOS_at_EF - Tx_therm_cond) + a4 * (surf_tot_fill + Tx_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.25555122457009; Max AE: 0.858915956207789
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.227272239629198e-01,  4.198385846816982e-02,  2.595616619551715e-01, -2.297080391115827e-01,  5.727513751264673e-01, -4.153408375562676e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         197|10|add; (site_charge_std + metallic_radius_av); $\left(site_{charge, std} + metallic_{radius, av}\right)$; (site_charge_std + metallic_radius_av); site_charge_std,metallic_radius_av
# 1;  1; Unitless;                                         365|366|div; (site_p_var / surf_bond_length_min); $\left(\frac{ site_{p, var} }{ surf_{bond, length, min} } \right)$; (site_p_var ./ surf_bond_length_min); site_p_var,surf_bond_length_min
# 2;  1; Unitless;                                         348|143|mult; (M_evap_heat * surf_bond_length_std); $\left(M_{evap, heat} surf_{bond, length, std}\right)$; (M_evap_heat .* surf_bond_length_std); M_evap_heat,surf_bond_length_std
# 3;  1; Unitless;                                         245|93|sub; (Tx_tDOS_at_EF - Tx_therm_cond); $\left(Tx_{tDOS, at, EF} - Tx_{therm, cond}\right)$; (Tx_tDOS_at_EF - Tx_therm_cond); Tx_tDOS_at_EF,Tx_therm_cond
# 4;  1; Unitless;                                         111|108|add; (surf_tot_fill + Tx_s_kurt); $\left(surf_{tot, fill} + Tx_{s, kurt}\right)$; (surf_tot_fill + Tx_s_kurt); surf_tot_fill,Tx_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  9.192736085095378e-01,  5.653505604312100e-01,  7.180061270434208e-01, -3.438124791787424e-01,  2.107888940940453e-01, -1.877007863298372e+00,  8.262539489037085e-02
sample_1    ,  1.708216960322488e+00,  1.273265613483546e+00,  2.606161321929643e-01, -5.926331817501871e-02,  5.495283882348565e-02,  9.988031694631657e-01,  2.619762497450339e+00
sample_2    , -9.349418857745148e-01, -1.304228525369169e+00, -2.325806089993486e-01,  3.318752501295738e+00, -6.867857112936271e-01, -7.248686426024031e-02, -2.115878078828306e+00
sample_3    , -3.869542469361090e-01, -1.587825997589344e-01, -1.280964019351219e+00,  8.917265947289730e-01, -4.274857691603420e-01,  1.365546911541959e-01,  2.529005643201201e-01
sample_4    ,  1.606210188190853e+00,  1.482938381861307e+00,  1.987124478924595e-01,  1.491389989258124e+00,  1.186130596638734e-01,  1.125571953628094e+00,  2.907433012052781e+00
sample_5    ,  7.761604091037473e-01,  1.052703609670854e+00,  4.619960501325169e-01, -1.307999748438959e+00, -2.260368496351566e-01,  1.191915689358147e+00,  2.487844211382850e+00
sample_6    , -1.450618880560494e+00, -1.459813007393947e+00,  8.871575344768456e-02,  7.724154427490540e-01, -1.766581427323907e-01, -7.248686426024031e-02, -2.500898188880804e+00
sample_7    , -2.637851329777143e-01, -5.212734342131471e-01,  4.056556563393271e-01, -3.633325989039436e+00, -6.478366563201794e-02, -2.031297567225092e+00, -1.443511722464568e+00
sample_8    ,  6.969541735933062e-01,  6.918759578192292e-01,  2.622187931212175e-01,  2.271615900092092e+00,  1.889418413037385e+00,  2.297247550326950e-01,  2.936815230531622e-01
sample_9    ,  1.036677297615589e+00,  8.460317403598174e-01,  3.633964909458288e-01, -1.473954226348261e+00,  1.972218808550649e+00, -1.248723570461376e+00,  1.852378490373496e-01
sample_10   , -1.573677966059544e+00, -1.284439349209817e+00, -1.582006455242254e+00,  1.577762917410887e+00, -1.077113071700464e+00,  3.060965342888143e+00, -2.309640447306210e-01
sample_11   ,  1.823593927001561e+00,  1.826579420031883e+00,  9.606920712679686e-01,  1.748644080650590e+00, -2.848795190310326e-01, -1.635188342154529e-01,  2.991136978898266e+00
sample_12   , -9.912945487112125e-01, -4.946883604968216e-01,  6.273945533532553e-01, -3.648291873112956e+00, -6.478366563201794e-02, -2.031297567225092e+00, -1.443511722464568e+00
sample_13   ,  3.565618826838723e-02,  2.256625925834941e-01, -1.338610673856132e+00, -2.631428608878345e+00,  1.095875629813058e+00,  1.042357081041086e+00,  8.676516505136328e-01
sample_14   ,  5.036372198737018e-01,  2.744553113308849e-01, -1.474034948301743e+00, -6.757116257076408e-02,  1.000824809207638e+00, -1.642773897247335e-02,  4.123624773128743e-01
sample_15   , -1.512652823608613e+00, -1.668785438293172e+00, -1.326104900727489e+00,  5.199500942172344e-01, -5.804455993015741e-01,  4.973477370637660e+00, -3.373584807313835e-01
sample_16   , -2.925359350272910e-01, -3.062871963051152e-01,  6.089572645954962e+00,  3.765406744573910e+00,  9.878893922806810e-02, -7.248686426024031e-02, -2.116954147476335e+00
sample_17   ,  7.189093062585388e-01,  8.184018377204482e-01,  7.775826943993985e-02, -6.148523145672214e-01, -5.753585204661644e-01,  6.543880067260220e-01,  2.053012857205216e+00
sample_18   , -4.901877019996744e-01, -2.643195311203650e-01, -1.193312364814668e+00,  1.716594326196446e+00, -6.871139807452552e-01, -3.850774047864974e-01, -1.021555216704526e-01
sample_19   , -1.023352728343078e+00, -6.892184511679242e-01,  1.075868031472484e+00, -6.420873190440680e+00,  8.381309555182384e-02, -1.752389563178288e+00, -1.631497208508377e+00
sample_20   ,  1.449021867354678e-01,  2.072938823475957e-01,  9.371203531796142e-01,  7.096205535318033e-02,  1.530281755941733e-01,  1.376926192143085e+00,  7.113196256843478e-01
