# FEAT_ID     Feature Postfix Expression (RPN)
0             33|16|add
1             44|18|add
2             136|96|sub
3             60|18|add
4             132|18|add
5             99|44|add
6             91|46|sub
7             132|68|add
8             132|16|add
9             91|44|add
10            96|44|add
11            99|60|add
12            91|33|add
13            96|46|sub
14            132|91|add
15            136|99|sub
16            96|60|add
17            99|46|sub
18            132|99|add
19            132|96|add
#-----------------------------------------------------------------------
20            69|68|div
21            8|16|div
22            87|68|div
23            0|68|div
24            92|87|mult
25            129|135|div
26            96|16|div
27            99|16|div
28            104|135|div
29            62|38|div
30            18|16|div
31            8|68|div
32            91|16|div
33            0|16|div
34            92|8|mult
35            89|68|div
36            4|16|div
37            89|16|div
38            128|16|div
39            128|68|div
#-----------------------------------------------------------------------
40            73|16|add
41            85|64|add
42            73|68|add
43            128|135|div
44            19|4|add
45            92|0|mult
46            63|31|mult
47            106|70|mult
48            73|69|mult
49            128|106|mult
50            106|69|mult
51            142|31|mult
52            142|80|div
53            89|135|div
54            92|70|mult
55            63|135|div
56            106|0|mult
57            106|89|mult
58            128|92|mult
59            92|89|mult
#-----------------------------------------------------------------------
60            115|19|sub
61            115|20|add
62            115|9|add
63            64|19|sub
64            61|19|mult
65            19|96|div
66            64|9|add
67            124|116|sub
68            19|12|mult
69            116|19|sub
70            116|9|add
71            19|91|div
72            19|135|div
73            19|16|mult
74            68|19|mult
75            137|19|sub
76            19|18|div
77            19|84|div
78            19|29|div
79            19|28|div
#-----------------------------------------------------------------------
80            78|4|div
81            115|31|sub
82            16|132|div
83            68|132|div
84            52|113|div
85            77|144|div
86            94|4|div
87            118|29|div
88            17|106|div
89            107|73|div
90            94|144|div
91            118|113|div
92            140|144|div
93            75|144|div
94            90|4|div
95            30|106|div
96            40|4|div
97            124|4|div
98            123|144|div
99            50|4|div
#-----------------------------------------------------------------------
