# c0 + a0 * (M_sp_center / surf_charge_sum) + a1 * (Tx_charge_sum + Tx_s_var)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.382323635476253; Max AE: 0.986170952529153
# Coefficients
# Task   a0                      a1                      c0
# all , -8.016061174678027e-02,  4.776511355302119e-01,  5.800812395821423e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         128|68|div; (M_sp_center / surf_charge_sum); $\left(\frac{ M_{sp, center} }{ surf_{charge, sum} } \right)$; (M_sp_center ./ surf_charge_sum); M_sp_center,surf_charge_sum
# 1;  1; Unitless;                                         96|44|add; (Tx_charge_sum + Tx_s_var); $\left(Tx_{charge, sum} + Tx_{s, var}\right)$; (Tx_charge_sum + Tx_s_var); Tx_charge_sum,Tx_s_var
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  9.192736085095378e-01,  5.657381781862656e-01, -1.415483113217788e+00,  8.254226413962723e-01
sample_1    ,  1.708216960322488e+00,  1.214492978271599e+00,  4.995572690109892e-01,  2.505028422619912e+00
sample_2    , -9.349418857745148e-01, -1.166445680813217e+00, -6.786475104788586e-01, -2.677382108496960e+00
sample_3    , -3.869542469361090e-01,  5.302226541240455e-02,  5.335643908291839e+00,  8.850028603755054e-01
sample_4    ,  1.606210188190853e+00,  1.333384616599078e+00, -1.217210904390960e-01,  2.649672870899580e+00
sample_5    ,  7.761604091037473e-01,  1.411510531999527e+00, -1.371891897443978e+00,  2.603428782622663e+00
sample_6    , -1.450618880560494e+00, -1.212891757803566e+00, -9.923480418530121e-02, -2.677382108496960e+00
sample_7    , -2.637851329777143e-01, -6.612853536471426e-01, -1.516999867236152e+00, -1.760483860358380e+00
sample_8    ,  6.969541735933062e-01,  9.670023479972847e-02,  1.334920090048742e+00,  3.050345975439908e-01
sample_9    ,  1.036677297615589e+00,  8.248888312816732e-01, -4.021452262832482e+00,  9.306345170328130e-01
sample_10   , -1.573677966059544e+00, -1.245969963286419e+00,  1.419294457625179e+01, -3.480845226916151e-01
sample_11   ,  1.823593927001561e+00,  1.228192625800094e+00,  6.358708942657491e-01,  2.556586200434051e+00
sample_12   , -9.912945487112125e-01, -6.612853536471426e-01, -1.516999867236152e+00, -1.760483860358380e+00
sample_13   ,  3.565618826838723e-02, -1.595670359254094e-02,  3.600414432395301e-01, -9.442809165818034e-02
sample_14   ,  5.036372198737018e-01,  2.390867370381728e-02, -3.695571124942323e-01, -1.334098670080053e-01
sample_15   , -1.512652823608613e+00, -1.460956175914843e+00,  1.630411109258234e+01, -4.438737080962735e-01
sample_16   , -2.925359350272910e-01, -1.175487337965753e+00, -5.658532471179736e-01, -2.677382108496960e+00
sample_17   ,  7.189093062585388e-01,  1.222997887493866e+00, -1.275902236164532e+00,  2.224872047202325e+00
sample_18   , -4.901877019996744e-01, -3.289684129030064e-01,  1.091910728629808e+01,  1.022306337438349e+00
sample_19   , -1.023352728343078e+00, -7.033743807659213e-01, -9.497768818488519e-01, -1.753407745312719e+00
sample_20   ,  1.449021867354678e-01,  1.827118560135437e-01,  5.900833100641092e-01,  3.601062750132497e-01
sample_21   ,  7.421323787523932e-01,  1.071207426629022e+00,  2.434089633556258e+00,  2.529706990860375e+00
sample_22   , -1.618353900201253e+00, -1.187795621886701e+00, -4.123079628101545e-01, -2.677382108496960e+00
