# c0 + a0 * (M_sp_center * Tx_p_skew) + a1 * (M_sp_center / surf_charge_sum) + a2 * (Tx_charge_sum + Tx_s_var)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.34079120557377; Max AE: 0.933491676428744
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.221017926958072e-01, -7.689383492276659e-02,  4.854654817051357e-01,  8.906476241060547e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         128|92|mult; (M_sp_center * Tx_p_skew); $\left(M_{sp, center} Tx_{p, skew}\right)$; (M_sp_center .* Tx_p_skew); M_sp_center,Tx_p_skew
# 1;  1; Unitless;                                         128|68|div; (M_sp_center / surf_charge_sum); $\left(\frac{ M_{sp, center} }{ surf_{charge, sum} } \right)$; (M_sp_center ./ surf_charge_sum); M_sp_center,surf_charge_sum
# 2;  1; Unitless;                                         96|44|add; (Tx_charge_sum + Tx_s_var); $\left(Tx_{charge, sum} + Tx_{s, var}\right)$; (Tx_charge_sum + Tx_s_var); Tx_charge_sum,Tx_s_var
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  9.192736085095378e-01,  6.770539592942365e-01, -3.531402014911001e-01, -1.415483113217788e+00,  8.254226413962723e-01
sample_1    ,  1.708216960322488e+00,  1.267925235985504e+00, -5.261181669371891e-03,  4.995572690109892e-01,  2.505028422619912e+00
sample_2    , -9.349418857745148e-01, -1.194550305385088e+00,  1.621881660196648e-01, -6.786475104788586e-01, -2.677382108496960e+00
sample_3    , -3.869542469361090e-01, -1.144402854294952e-01,  1.003437492182240e+00,  5.335643908291839e+00,  8.850028603755054e-01
sample_4    ,  1.606210188190853e+00,  1.380663256036157e+00,  1.839617948146037e-02, -1.217210904390960e-01,  2.649672870899580e+00
sample_5    ,  7.761604091037473e-01,  1.410968593099339e+00,  2.136903348237897e-01, -1.371891897443978e+00,  2.603428782622663e+00
sample_6    , -1.450618880560494e+00, -1.209914195674967e+00,  3.076475720464067e-02, -9.923480418530121e-02, -2.677382108496960e+00
sample_7    , -2.637851329777143e-01, -6.933062551040313e-01,  1.997498941465866e-01, -1.516999867236152e+00, -1.760483860358380e+00
sample_8    ,  6.969541735933062e-01,  5.889101018805886e-01, -2.045947901457116e+00,  1.334920090048742e+00,  3.050345975439908e-01
sample_9    ,  1.036677297615589e+00,  8.945555886307334e-01, -2.002460454259068e-01, -4.021452262832482e+00,  9.306345170328130e-01
