# c0 + a0 * (M_tDOS_at_EF - site_charge_std) + a1 * (Tx_p_skew * M_sp_skew) + a2 * (Tx_charge_std / surf_tot_fill) + a3 * (Tx_tot_skew - Tx_charge_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.292638383928055; Max AE: 1.08476302505409
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.712999100186253e-01, -2.797915675009687e-01,  8.414384207176226e-02, -4.654822798939821e-01,  1.495744263048129e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         115|19|sub; (M_tDOS_at_EF - site_charge_std); $\left(M_{tDOS, at, EF} - site_{charge, std}\right)$; (M_tDOS_at_EF - site_charge_std); M_tDOS_at_EF,site_charge_std
# 1;  1; Unitless;                                         92|89|mult; (Tx_p_skew * M_sp_skew); $\left(Tx_{p, skew} M_{sp, skew}\right)$; (Tx_p_skew .* M_sp_skew); Tx_p_skew,M_sp_skew
# 2;  1; Unitless;                                         4|16|div; (Tx_charge_std / surf_tot_fill); $\left(\frac{ Tx_{charge, std} }{ surf_{tot, fill} } \right)$; (Tx_charge_std ./ surf_tot_fill); Tx_charge_std,surf_tot_fill
# 3;  1; Unitless;                                         136|96|sub; (Tx_tot_skew - Tx_charge_sum); $\left(Tx_{tot, skew} - Tx_{charge, sum}\right)$; (Tx_tot_skew - Tx_charge_sum); Tx_tot_skew,Tx_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  9.192736085095378e-01,  6.143805031071384e-01, -3.624082619022040e-01, -5.370986171019523e-01, -9.944047545234555e-02, -5.603160960033117e-01
sample_1    ,  1.708216960322488e+00,  1.574051270251438e+00,  5.886955111455853e-01, -3.944372124587557e-04,  3.436819852679664e+00, -2.655359394554865e+00
sample_2    , -9.349418857745148e-01, -1.063805611717092e+00,  6.625305331462997e-01,  2.070147611372882e-01,  5.280020014429161e-01,  2.333914300809336e+00
sample_3    , -3.869542469361090e-01, -1.262881781953548e-01, -9.615996961603978e-01,  1.916498196458664e+00, -1.090053108743872e+00, -4.025002740130471e-01
sample_4    ,  1.606210188190853e+00,  1.626282911672202e+00,  8.000025770482346e-01,  7.761549050339475e-02,  3.445381945697577e+00, -2.890673605387311e+00
sample_5    ,  7.761604091037473e-01,  1.180553523284566e+00,  5.033307329788447e-01,  4.644635995134648e-01, -1.022849853410722e+00, -2.864167292546179e+00
sample_6    , -1.450618880560494e+00, -1.244250549349595e+00,  1.985831268705421e+00,  5.500012036615437e-03,  4.074255221750302e-01,  2.333914300809336e+00
sample_7    , -2.637851329777143e-01, -7.926919701459801e-01, -4.945002781721425e-01,  1.750691654859532e-01,  9.134316855288792e-01,  2.266146468785455e+00
sample_8    ,  6.969541735933062e-01,  6.497252857476022e-01,  9.308050203636278e-01, -1.492068310708754e+00, -3.809853494373064e-01, -5.890387821882181e-01
sample_9    ,  1.036677297615589e+00,  5.869947194966990e-01, -8.800010466254787e-02, -1.680513966449619e-01,  2.118286480194984e-01, -7.680258919195334e-01
sample_10   , -1.573677966059544e+00, -1.236902509907959e+00, -8.611365631097873e-01,  1.588694116453943e+00, -8.447357442710102e+00,  8.135502480741863e-01
sample_11   ,  1.823593927001561e+00,  1.847559600518949e+00, -1.206602694848191e+00, -9.920675526508832e-03,  2.660407065858039e+00, -2.716884621459831e+00
sample_12   , -9.912945487112125e-01, -7.547081170398651e-01, -7.162391751860707e-01,  1.750691654859532e-01,  9.134316855288792e-01,  2.266146468785455e+00
