# c0 + a0 * (site_charge_std / Tx_charge_max) + a1 * (surf_tDOS_at_EF + M_p_var) + a2 * (Tx_p_skew * M_sp_skew) + a3 * (Tx_charge_std / surf_tot_fill) + a4 * (Tx_s_kurt + surf_charge_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.257068510811473; Max AE: 0.796388075797914
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.320174367500083e-01, -1.972575802233626e-01, -2.831856771973522e-01,  8.171872718704122e-02,  5.185995949677350e-01,  1.200780758106848e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         19|29|div; (site_charge_std / Tx_charge_max); $\left(\frac{ site_{charge, std} }{ Tx_{charge, max} } \right)$; (site_charge_std ./ Tx_charge_max); site_charge_std,Tx_charge_max
# 1;  1; Unitless;                                         116|9|add; (surf_tDOS_at_EF + M_p_var); $\left(surf_{tDOS, at, EF} + M_{p, var}\right)$; (surf_tDOS_at_EF + M_p_var); surf_tDOS_at_EF,M_p_var
# 2;  1; Unitless;                                         92|89|mult; (Tx_p_skew * M_sp_skew); $\left(Tx_{p, skew} M_{sp, skew}\right)$; (Tx_p_skew .* M_sp_skew); Tx_p_skew,M_sp_skew
# 3;  1; Unitless;                                         4|16|div; (Tx_charge_std / surf_tot_fill); $\left(\frac{ Tx_{charge, std} }{ surf_{tot, fill} } \right)$; (Tx_charge_std ./ surf_tot_fill); Tx_charge_std,surf_tot_fill
# 4;  1; Unitless;                                         132|68|add; (Tx_s_kurt + surf_charge_sum); $\left(Tx_{s, kurt} + surf_{charge, sum}\right)$; (Tx_s_kurt + surf_charge_sum); Tx_s_kurt,surf_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  9.192736085095378e-01,  6.432095316590151e-01, -4.390700102703295e-01, -1.169955011929231e+00, -5.370986171019523e-01, -9.944047545234555e-02,  8.967337579623186e-02
sample_1    ,  1.708216960322488e+00,  1.470066339134279e+00, -1.386752584464954e-02,  1.706478909826353e+00, -3.944372124587557e-04,  3.436819852679664e+00,  2.704248955619789e+00
sample_2    , -9.349418857745148e-01, -1.173457669817169e+00,  5.786504474304193e-01,  2.581208591751445e-01,  2.070147611372882e-01,  5.280020014429161e-01, -2.107380149825122e+00
sample_3    , -3.869542469361090e-01, -2.796754014133589e-01,  2.361528076907741e-01, -8.532239246724386e-01,  1.916498196458664e+00, -1.090053108743872e+00,  2.285690125924098e-01
sample_4    ,  1.606210188190853e+00,  1.534950318596769e+00, -8.399880191390728e-02,  2.110263345043178e+00,  7.761549050339475e-02,  3.445381945697577e+00,  2.992821205757744e+00
sample_5    ,  7.761604091037473e-01,  1.319944994260984e+00, -6.472541686724745e-01,  1.048818621778050e-01,  4.644635995134648e-01, -1.022849853410722e+00,  2.478784879917930e+00
sample_6    , -1.450618880560494e+00, -1.250008688202404e+00,  5.850914665265772e-01, -1.319916385381786e-01,  5.500012036615437e-03,  4.074255221750302e-01, -2.491533884549048e+00
sample_7    , -2.637851329777143e-01, -6.163528719486149e-01, -1.171528202769397e+00,  1.474502696122770e+00,  1.750691654859532e-01,  9.134316855288792e-01, -1.431656496283242e+00
sample_8    ,  6.969541735933062e-01,  7.701639643214501e-01, -2.553254006319842e-01, -3.450493436171732e-01, -1.492068310708754e+00, -3.809853494373064e-01,  2.533430589889165e-01
sample_9    ,  1.036677297615589e+00,  6.808098620034524e-01, -4.546301383144317e-01, -1.496233331424883e+00, -1.680513966449619e-01,  2.118286480194984e-01,  1.835832215998784e-01
