# FEAT_ID     Feature Postfix Expression (RPN)
0             36|7|sub
1             32|3|sub
2             15|3|sub
3             7|2|sub
4             3|2|div
5             16|3|sub
6             45|3|sub
7             36|3|mult
8             2|0|sub
9             37|3|add
10            3|2|add
11            3|44|div
12            38|3|add
13            36|3|add
14            28|3|sub
15            7|3|sub
16            3|cb
17            3|sq
18            3
19            3|0|sub
#-----------------------------------------------------------------------
20            15|7|add
21            38|2|add
22            36|32|sub
23            38|36|add
24            38|0|sub
25            36|16|sub
26            25|0|sub
27            32|3|add
28            36|inv
29            38|7|sub
30            36|0|sub
31            38|3|mult
32            33|0|sub
33            40|15|sub
34            32|7|sub
35            15|0|sub
36            40|28|sub
37            15|0|add
38            36|2|add
39            32|0|sub
#-----------------------------------------------------------------------
40            24|31|div
41            32|2|sub
42            28|3|mult
43            44|32|add
44            42|40|div
45            28|7|mult
46            45|31|div
47            32|3|div
48            37|31|div
49            5|8|div
50            42|8|div
51            19|8|div
52            44|2|sub
53            44|32|mult
54            40|cb
55            44|28|add
56            15|31|div
57            5|15|div
58            19|15|div
59            28|15|div
#-----------------------------------------------------------------------
60            42|19|div
61            44|33|mult
62            42|0|add
63            44|3|mult
64            7|0|mult
65            40|3|div
66            44|45|div
67            32|15|add
68            31|3|div
69            44|36|mult
70            44|18|mult
71            44|7|add
72            44|15|div
73            28|0|mult
74            38|23|sub
75            44|36|div
76            28|37|div
77            44|0|add
78            38|28|sub
79            0|sq
#-----------------------------------------------------------------------
80            44|38|div
81            3|inv
82            37|19|mult
83            23|2|sub
84            44|23|add
85            44|38|sub
86            18|3|sub
87            37|35|mult
88            37|5|mult
89            44|16|mult
90            44|15|add
91            13|5|div
92            35|3|div
93            37|16|mult
94            44|19|mult
95            44|5|mult
96            44|38|mult
97            25|3|div
98            44|35|mult
99            44|8|mult
#-----------------------------------------------------------------------
