# c0 + a0 * (surf_bond_length_sum - site_bond_length_min)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.791245606263485; Max AE: 1.94084618785989
# Coefficients
# Task   a0                      c0
# all ,  3.693443454542066e-01, -6.298528971623407e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|0|sub; (surf_bond_length_sum - site_bond_length_min); $\left(surf_{bond, length, sum} - site_{bond, length, min}\right)$; (surf_bond_length_sum - site_bond_length_min); surf_bond_length_sum,site_bond_length_min
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  9.192736085095378e-01,  3.722130992017292e-01,  1.007767152205878e+00
sample_1    ,  1.708216960322488e+00,  2.515585100078169e-01,  6.810947916326151e-01
sample_2    , -9.349418857745148e-01, -1.108001369842615e+00, -2.999914262881251e+00
sample_3    , -3.869542469361090e-01,  2.299116082597162e-01,  6.224857943255626e-01
sample_4    ,  1.606210188190853e+00,  2.472618263170231e-01,  6.694615183913262e-01
sample_5    ,  7.761604091037473e-01,  3.340253037853264e-01,  9.043736770209775e-01
sample_6    , -1.450618880560494e+00, -1.217040832331969e+00, -3.295138662094026e+00
sample_7    , -2.637851329777143e-01,  2.263525033544469e-01,  6.128495160148918e-01
sample_8    ,  6.969541735933062e-01,  4.311395876605438e-02,  1.167310649173063e-01
sample_9    ,  1.036677297615589e+00,  1.342969066331806e-01,  3.636089418616321e-01
sample_10   , -1.573677966059544e+00,  2.878620851892246e-01,  7.793867395891023e-01
sample_11   ,  1.823593927001561e+00,  2.096037438867059e-01,  5.675022413811243e-01
sample_12   , -9.912945487112125e-01,  2.316126186029545e-01,  6.270912806804341e-01
sample_13   ,  3.565618826838723e-02,  2.766347724499615e-01,  7.489887847335701e-01
sample_14   ,  5.036372198737018e-01,  4.690196371550376e-01,  1.269870902120498e+00
sample_15   , -1.512652823608613e+00,  4.281008231581542e-01,  1.159083192763359e+00
sample_16   , -2.925359350272910e-01,  6.623919273341176e-01,  1.793426474472032e+00
sample_17   ,  7.189093062585388e-01,  3.697625917294127e-01,  1.001132401999257e+00
sample_18   , -4.901877019996744e-01,  5.152886445592367e-01,  1.395144262803194e+00
sample_19   , -1.023352728343078e+00,  1.800484826694164e-01,  4.874813568568370e-01
sample_20   ,  1.449021867354678e-01, -2.434027484653142e-01, -6.590130631781719e-01
sample_21   ,  7.421323787523932e-01,  1.357952859780275e-01,  3.676658046870377e-01
sample_22   , -1.618353900201253e+00, -1.075754541224343e+00, -2.912605958272944e+00
sample_23   ,  1.999136078741948e-01,  3.372097897853720e-01,  9.129956744584351e-01
sample_24   , -2.059195258647188e-01,  4.157507361694120e-01,  1.125645326065943e+00
sample_25   , -1.415017737938304e-01,  3.547475036796158e-01,  9.604790435964587e-01
sample_26   , -3.191246461193190e-01,  6.583017272143629e-03,  1.782352255602748e-02
sample_27   , -1.512745364701731e+00,  4.281008231581542e-01,  1.159083192763359e+00
sample_28   , -1.210548801550011e+00, -9.966315233998974e-01, -2.698380347949485e+00
sample_29   ,  1.084136682992131e+00,  5.308684564992332e-02,  1.437326611421101e-01
sample_30   , -1.506194548663657e+00, -1.215785993883413e+00, -3.291741186367107e+00
sample_31   , -1.596005040790334e-01,  1.800484826694164e-01,  4.874813568568370e-01
sample_32   ,  1.039551054941583e+00,  1.322638849547947e-01,  3.581045346508335e-01
sample_33   ,  1.490972365377638e+00,  2.170499629991733e-01,  5.876628833514523e-01
sample_34   , -2.430433638459000e-01,  7.132678744270567e-01,  1.931173126665594e+00
sample_35   ,  2.563459757522217e-01,  3.372097897853720e-01,  9.129956744584351e-01
sample_36   , -1.485375848956369e-01,  2.766347724499615e-01,  7.489887847335701e-01
