# c0 + a0 * (lattice_param_c + site_bond_length_sum) + a1 * (surf_bond_length_sum - site_bond_length_min)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.758041862097771; Max AE: 2.12533233150504
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.692379215495396e-01,  3.347922261567435e-01, -7.700004438300368e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         38|2|add; (lattice_param_c + site_bond_length_sum); $\left(lattice_{param, c} + site_{bond, length, sum}\right)$; (lattice_param_c + site_bond_length_sum); lattice_param_c,site_bond_length_sum
# 1;  1; Unitless;                                         3|0|sub; (surf_bond_length_sum - site_bond_length_min); $\left(surf_{bond, length, sum} - site_{bond, length, min}\right)$; (surf_bond_length_sum - site_bond_length_min); surf_bond_length_sum,site_bond_length_min
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  9.192736085095378e-01,  8.083479320688389e-01,  2.782800210627340e+00,  1.007767152205878e+00
sample_1    ,  1.708216960322488e+00,  4.306609173566700e-01,  1.197342025870416e+00,  6.810947916326151e-01
sample_2    , -9.349418857745148e-01, -1.144270263190119e+00, -8.267785822445229e-01, -2.999914262881251e+00
sample_3    , -3.869542469361090e-01,  2.196467047922556e-01,  6.643487379252233e-02,  6.224857943255626e-01
sample_4    ,  1.606210188190853e+00,  4.242800382846995e-01,  1.182651762581511e+00,  6.694615183913262e-01
sample_5    ,  7.761604091037473e-01,  1.023453447264863e-01, -1.184320452802624e+00,  9.043736770209775e-01
sample_6    , -1.450618880560494e+00, -1.225009155846514e+00, -7.198289045002315e-01, -3.295138662094026e+00
sample_7    , -2.637851329777143e-01, -5.054399279964763e-03, -1.242225448769371e+00,  6.128495160148918e-01
sample_8    ,  6.969541735933062e-01,  1.987034032502727e-01,  9.431854793739959e-01,  1.167310649173063e-01
sample_9    ,  1.036677297615589e+00,  3.007504425003278e-01,  1.057782994289331e+00,  3.636089418616321e-01
sample_10   , -1.573677966059544e+00,  7.585520970060074e-02, -1.093593032748893e+00,  7.793867395891023e-01
sample_11   ,  1.823593927001561e+00,  6.145132778895589e-02, -7.595461453025701e-01,  5.675022413811243e-01
sample_12   , -9.912945487112125e-01,  2.053606413667908e-02, -1.119189009127377e+00,  6.270912806804341e-01
sample_13   ,  3.565618826838723e-02,  6.543122086849767e-02, -1.095052456577464e+00,  7.489887847335701e-01
sample_14   ,  5.036372198737018e-01,  2.475639062925200e-01, -1.049286107594342e+00,  1.269870902120498e+00
sample_15   , -1.512652823608613e+00,  2.180071603627024e-01, -1.004768201396470e+00,  1.159083192763359e+00
sample_16   , -2.925359350272910e-01,  2.330725135665122e-01, -2.170628928238680e+00,  1.793426474472032e+00
sample_17   ,  7.189093062585388e-01,  8.093097516951819e-01,  2.801608539096913e+00,  1.001132401999257e+00
sample_18   , -4.901877019996744e-01,  2.543246899114915e-01, -1.257157743927497e+00,  1.395144262803194e+00
sample_19   , -1.023352728343078e+00, -2.006246629407792e-02, -1.082898166605297e+00,  4.874813568568370e-01
sample_20   ,  1.449021867354678e-01,  1.590456152179256e-01,  2.243457389628726e+00, -6.590130631781719e-01
sample_21   ,  7.421323787523932e-01, -6.565495037564698e-02, -1.115273703909675e+00,  3.676658046870377e-01
sample_22   , -1.618353900201253e+00, -1.112335432187662e+00, -8.107970024903697e-01, -2.912605958272944e+00
sample_23   ,  1.999136078741948e-01,  1.273502208304240e-01, -1.053626940465562e+00,  9.129956744584351e-01
sample_24   , -2.059195258647188e-01,  4.452381941582273e-01,  4.040518162571566e-01,  1.125645326065943e+00
sample_25   , -1.415017737938304e-01,  1.303707889871085e-01, -1.129712102612201e+00,  9.604790435964587e-01
sample_26   , -3.191246461193190e-01, -2.012198225192401e-01, -1.224235073420460e+00,  1.782352255602748e-02
sample_27   , -1.512745364701731e+00,  6.125869668033105e-01,  1.326741207534118e+00,  1.159083192763359e+00
sample_28   , -1.210548801550011e+00, -1.051860883705586e+00, -8.772509059354650e-01, -2.698380347949485e+00
sample_29   ,  1.084136682992131e+00,  2.248340817581734e-01,  1.044172030387684e+00,  1.437326611421101e-01
sample_30   , -1.506194548663657e+00, -1.271239788682065e+00, -9.997193738689069e-01, -3.291741186367107e+00
sample_31   , -1.596005040790334e-01, -4.505174169238220e-02, -1.230555826126892e+00,  4.874813568568370e-01
sample_32   ,  1.039551054941583e+00,  5.198343190583024e-01,  2.363203831882642e+00,  3.581045346508335e-01
sample_33   ,  1.490972365377638e+00,  4.053357007831493e-01,  1.232529529589902e+00,  5.876628833514523e-01
sample_34   , -2.430433638459000e-01,  2.791825232797470e-01, -2.170667327553838e+00,  1.931173126665594e+00
sample_35   ,  2.563459757522217e-01,  9.751194367126406e-02, -1.229936581271601e+00,  9.129956744584351e-01
sample_36   , -1.485375848956369e-01,  4.410434217791126e-01,  1.124380383719296e+00,  7.489887847335701e-01
sample_37   ,  2.574926215050540e-01,  2.731677534587929e-01,  4.336353494772628e-01,  5.967289339308616e-01
sample_38   , -1.130861497330735e+00, -1.225012175905601e+00, -1.735754527642666e+00, -2.781595911044707e+00
sample_39   ,  1.992421413025131e-01,  3.462688743509633e-01,  2.399286144368113e-01,  9.129956744584359e-01
sample_40   ,  2.524653507971055e-01,  6.871105799684765e-01,  2.606721874008411e+00,  7.346478464479692e-01
sample_41   , -8.373504473094027e-01,  2.663144046291221e-02, -1.083155652282854e+00,  6.270828154522553e-01
sample_42   ,  6.465518666880544e-01,  9.007326232968942e-02, -1.233128826891886e+00,  8.923905594385531e-01
sample_43   , -1.529988391903044e+00, -1.210273740985442e+00, -7.590606411747837e-01, -3.231293355170306e+00
sample_44   ,  1.240207236151936e+00,  1.964682680184069e-02, -1.208261620057816e+00,  6.694615183913262e-01
sample_45   ,  1.811606265615140e-01,  2.492687923436777e-01,  9.726567980454849e-01,  2.528684086642886e-01
sample_46   , -3.877361648061027e-01, -1.019003672389820e-02, -1.291633929060716e+00,  6.224857943255618e-01
sample_47   , -1.523627701901755e+00, -1.276672365208167e+00, -1.713881580720195e+00, -2.946957938751912e+00
sample_48   , -1.260432860209104e+00, -1.413198323094763e+00, -1.722988172198164e+00, -3.350147638889294e+00
sample_49   , -1.048476215532083e+00,  4.657015968977881e-02, -1.266633742199166e+00,  7.793867395891023e-01
sample_50   , -1.506401286191515e+00, -1.112114682128015e+00, -5.947439155578008e-02, -3.291741186367127e+00
sample_51   , -1.099843408301257e+00,  4.105207500394086e-01,  1.348837738747673e+00,  5.443562914177343e-01
sample_52   , -1.352664194139185e+00, -1.199890390356072e+00, -6.518657578738405e-01, -3.254466200938820e+00
sample_53   , -1.468342493225296e+00, -1.368129916233717e+00, -1.694819968551524e+00, -3.229770654379395e+00
sample_54   ,  2.391787573482771e-01,  4.686165046010999e-01,  2.568785881465776e-01,  1.269870902120498e+00
sample_55   ,  1.091026343198529e+00,  3.139524202629369e-02, -1.088315566081533e+00,  6.439202872022882e-01
sample_56   , -1.072025930295884e+00, -1.295897128382042e+00, -1.722717647222574e+00, -2.999914262881251e+00
sample_57   ,  8.625193703904900e-01,  7.669549456554813e-01,  3.669032798210831e+00,  4.361375485487767e-01
sample_58   ,  6.200729726312473e-01,  2.233929363351930e-01, -1.052633066729086e+00,  1.199365867338715e+00
sample_59   , -1.541165080393498e-01,  3.891868159426813e-01,  1.211693217269026e+00,  5.499601242538852e-01
sample_60   , -1.217008767844800e+00, -6.468198489684962e-03, -1.103372142502178e+00,  5.384360672659421e-01
sample_61   , -1.350612278378179e-01,  2.711367368324825e-01,  1.204287670191659e-01,  7.489887847335701e-01
sample_62   ,  9.926444092912915e-01,  1.556647448272617e+00,  1.044214605237733e+00,  4.121740682785314e+00
sample_63   ,  1.677076157702330e+00,  1.166481754897641e-02, -1.254129549185928e+00,  6.688061379962676e-01
sample_64   , -1.934006248062551e-01,  3.180739236352501e-01,  1.158092856465867e+00,  3.646461479916271e-01
sample_65   , -1.408290387082203e-01,  4.844045185787675e-01,  9.622169777625295e-01,  9.604790435964584e-01
sample_66   , -4.981695784190584e-02,  6.722333745523131e-01,  2.589630345918970e+00,  6.988505077111080e-01
sample_67   ,  1.145272065322623e+00,  2.929076865434166e-01,  9.997455479137415e-01,  3.695212082916469e-01
sample_68   , -9.695962296564096e-01, -1.261657686916108e+00, -8.275586207645875e-01, -3.350147638889294e+00
sample_69   ,  3.889841818633458e-01,  2.430147009593769e-01,  1.152511072882645e+00,  1.432713147868376e-01
sample_70   ,  4.965317958327643e-02,  4.105028511678540e-01,  1.179211572849316e+00,  6.300490842726942e-01
sample_71   ,  9.121681197682677e-01,  1.564455847147820e+00,  2.423763639784626e-01,  4.550394113279458e+00
sample_72   , -1.542521186206165e+00, -1.112335432187662e+00, -8.107970024903700e-01, -2.912605958272944e+00
sample_73   , -2.997712652054562e-01,  1.752892694712883e-01, -1.191033506318842e+00,  1.125645326065943e+00
sample_74   ,  1.225424944262859e+00,  3.398053811869498e-02, -1.033366044140980e+00,  6.238653209683493e-01
sample_75   ,  1.250282436219812e+00,  9.813222372800916e-02, -1.092374922214939e+00,  8.453108017627901e-01
sample_76   ,  1.528913246972172e+00,  3.983885896372996e-01,  3.561844806305596e-01,  1.009905971618606e+00
sample_77   ,  1.996293097967979e-01,  5.054647623268720e-01,  1.180591832930126e+00,  9.129956744584351e-01
sample_78   ,  9.900464630812625e-01,  7.399141193018718e-01,  3.652731412354079e+00,  3.636089418616328e-01
sample_79   , -2.116953706554832e-01,  6.388951731433455e-01,  2.542480279704876e+00,  6.231061498056806e-01
sample_80   , -1.381000977487137e+00, -1.399934147825331e+00, -1.721453986203749e+00, -3.311304046343097e+00
sample_81   , -1.210073108920125e+00, -1.197794637856111e+00, -1.739550281952128e+00, -2.698380347949485e+00
sample_82   ,  3.647596782349763e-01,  4.708721094415587e-01,  1.123906573392917e+00,  8.383244144183778e-01
sample_83   ,  7.033488718426595e-01,  2.207054292666875e-01,  1.073885505891502e+00,  1.163804748835260e-01
sample_84   ,  6.540311441285748e-01,  2.141419408505201e-01,  1.084041816373880e+00,  9.164178429953614e-02
sample_85   , -1.353194614071452e+00, -1.371581514952379e+00, -1.664374939332304e+00, -3.255470331710642e+00
sample_86   ,  7.035821575457409e-01,  4.962770597594219e-01,  1.167064898666413e+00,  8.923905594385531e-01
sample_87   , -8.114682940509230e-02, -3.080503475061580e-01, -1.242717950699440e+00, -2.919283568183059e-01
sample_88   ,  1.248203040276514e+00,  4.652827023569246e-01,  1.077058945013468e+00,  8.453108017627901e-01
sample_89   ,  1.211168723120132e+00,  1.133460499856026e+00, -2.170614360114706e+00,  4.482812459166157e+00
sample_90   ,  5.011175590767921e-01,  2.178552852129626e-01, -1.224829631218042e+00,  1.269870902120498e+00
sample_91   ,  4.260448961913256e-01,  3.195387708608493e-01,  1.095898399331916e+00,  4.004609218903418e-01
sample_92   ,  1.590751808713674e+00,  4.188011945100356e-01,  1.240716718821919e+00,  6.237446973666658e-01
sample_93   , -1.523730542115254e+00, -1.120493585857958e+00, -8.008503895147117e-01, -2.942001795475409e+00
sample_94   , -7.208956064388181e-01,  2.804362175145852e-01,  1.022071002644962e+00,  3.209842910169199e-01
sample_95   , -7.982208475880012e-01,  3.036340144326863e-01,  1.159143100350384e+00,  3.209842910169199e-01
sample_96   , -1.174929420787248e+00, -1.225009155846514e+00, -7.198289045002315e-01, -3.295138662094026e+00
sample_97   , -1.450446664724996e+00, -1.388727174308261e+00, -1.687010232219740e+00, -3.295240996599717e+00
sample_98   ,  7.037787167623344e-01,  1.196949389352204e-01, -1.058099044356652e+00,  8.923905594385531e-01
sample_99   ,  1.646062478269988e+00,  4.053915921942763e-01,  1.072339430345044e+00,  6.688061379962676e-01
sample_100  ,  1.646476708392671e+00,  3.949974721120269e-02, -1.089657370566797e+00,  6.688061379962676e-01
sample_101  ,  8.785149050003161e-01,  3.256609351736272e-01,  1.061496576769599e+00,  4.361375485487767e-01
sample_102  , -1.408594260805324e+00, -1.120493585857958e+00, -8.008503895147117e-01, -2.942001795475409e+00
sample_103  , -3.882691217676917e-01,  3.684091214462187e-01,  9.454483672926608e-01,  6.224857943255626e-01
sample_104  ,  2.484893456968904e-01,  2.953123328231941e-01,  1.088040755905733e+00,  3.320703649805445e-01
sample_105  , -1.469906328966349e+00, -1.112114682128015e+00, -5.947439155578008e-02, -3.291741186367127e+00
