# c0 + a0 * (lattice_param_gamma / surf_bond_length_min) + a1 * (surf_bond_length_avg / surf_bond_length_min) + a2 * (surf_bond_length_std / surf_bond_length_sum) + a3 * (surf_bond_length_sum - site_bond_length_min)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.664083771129089; Max AE: 2.05514976241725
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.592456009210789e-01, -1.810398968060105e-01, -6.310070392639443e-02,  3.368190251502445e-01,  5.042991775300344e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         44|15|div; (lattice_param_gamma / surf_bond_length_min); $\left(\frac{ lattice_{param, gamma} }{ surf_{bond, length, min} } \right)$; (lattice_param_gamma ./ surf_bond_length_min); lattice_param_gamma,surf_bond_length_min
# 1;  1; Unitless;                                         28|15|div; (surf_bond_length_avg / surf_bond_length_min); $\left(\frac{ surf_{bond, length, avg} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_avg ./ surf_bond_length_min); surf_bond_length_avg,surf_bond_length_min
# 2;  1; Unitless;                                         32|3|div; (surf_bond_length_std / surf_bond_length_sum); $\left(\frac{ surf_{bond, length, std} }{ surf_{bond, length, sum} } \right)$; (surf_bond_length_std ./ surf_bond_length_sum); surf_bond_length_std,surf_bond_length_sum
# 3;  1; Unitless;                                         3|0|sub; (surf_bond_length_sum - site_bond_length_min); $\left(surf_{bond, length, sum} - site_{bond, length, min}\right)$; (surf_bond_length_sum - site_bond_length_min); surf_bond_length_sum,site_bond_length_min
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  9.192736085095378e-01,  2.400919861356373e-01,  6.159056430333127e-02,  9.365236748929628e-01, -4.688235255708087e-01,  1.007767152205878e+00
sample_1    ,  1.708216960322488e+00,  3.452511531867050e-01,  7.963663822105350e-01, -1.133660231410069e+00,  2.060886127858216e-01,  6.810947916326151e-01
sample_2    , -9.349418857745148e-01, -1.197841714024375e+00,  2.904366027422792e-01,  9.682333735262845e-01,  2.583776700480911e-01, -2.999914262881251e+00
sample_3    , -3.869542469361090e-01, -5.643383816588221e-02, -1.240329848593466e-01,  1.103456986078054e+00,  2.163379711441152e+00,  6.224857943255626e-01
sample_4    ,  1.606210188190853e+00,  4.730344506766152e-01,  1.130625286332984e+00, -2.158404678237641e+00,  2.154191523362909e-01,  6.694615183913262e-01
sample_5    ,  7.761604091037473e-01,  1.871750917360329e-02,  2.889064004943678e-01,  1.319655443784474e+00,  8.146550977657621e-01,  9.043736770209775e-01
sample_6    , -1.450618880560494e+00, -1.309809665102109e+00,  1.878728679642182e-01,  1.141070556731597e+00,  2.199177900632578e-01, -3.295138662094026e+00
sample_7    , -2.637851329777143e-01, -8.181988370053075e-02, -3.007156230553899e-01,  1.735977026736617e+00,  1.145402694835028e+00,  6.128495160148918e-01
sample_8    ,  6.969541735933062e-01,  2.396537728659449e-01, -4.679819085532132e-01,  4.794009906135813e+00, -1.494895542162478e+01,  1.167310649173063e-01
sample_9    ,  1.036677297615589e+00,  1.806197834563483e-01,  1.548101228423265e-01,  4.732100412069746e-01, -1.870695207705806e+00,  3.636089418616321e-01
sample_10   , -1.573677966059544e+00,  9.341510291469401e-02, -1.868357224763643e-01,  7.337252427435916e-01,  1.845404474196962e+00,  7.793867395891023e-01
sample_11   ,  1.823593927001561e+00,  7.672497598594332e-01,  9.261639903184165e-01, -3.566420442148734e+00, -4.357707768554108e-01,  5.675022413811243e-01
sample_12   , -9.912945487112125e-01, -7.702298640946360e-02, -3.007156230553899e-01,  1.735977026736617e+00,  1.145402694835028e+00,  6.270912806804341e-01
sample_13   ,  3.565618826838723e-02,  8.683870559952289e-02, -5.251476898801961e-01,  1.162398712972611e+00,  1.411264777379858e+00,  7.489887847335701e-01
sample_14   ,  5.036372198737018e-01,  4.512689172248527e-01, -3.562786445559872e-01, -4.326101720708497e-01,  2.566265945187120e+00,  1.269870902120498e+00
sample_15   , -1.512652823608613e+00, -5.991964439737555e-01,  5.428084310690682e-01,  4.675993518716127e+00,  1.696437396667559e+00,  1.159083192763359e+00
sample_16   , -2.925359350272910e-01,  4.331240834006208e-01,  4.650919820883435e-01,  6.967108904618137e-01,  3.354902554387038e-01,  1.793426474472032e+00
sample_17   ,  7.189093062585388e-01,  2.173344595341508e-01,  1.299996402082662e-01,  1.209017080324035e+00, -1.098027376323927e+00,  1.001132401999257e+00
sample_18   , -4.901877019996744e-01,  2.709003156754741e-01, -2.047644347731539e-01,  1.394610926735121e+00,  4.685898568644100e-01,  1.395144262803194e+00
sample_19   , -1.023352728343078e+00, -4.003606030719985e-01, -6.453674775725864e-01,  4.642116294017177e+00, -1.943762893232277e+00,  4.874813568568370e-01
sample_20   ,  1.449021867354678e-01, -1.874465440933521e-01, -1.192470539069134e-01,  2.245338309337296e-01, -9.115094002006539e-02, -6.590130631781719e-01
sample_21   ,  7.421323787523932e-01,  1.760850819572182e+00, -1.936739375165827e-01,  2.339929139849522e+00, -3.136831680453911e+01,  3.676658046870377e-01
sample_22   , -1.618353900201253e+00, -1.174109658108454e+00,  1.532988114086698e-01,  1.183534126156170e+00,  7.669358088066365e-02, -2.912605958272944e+00
sample_23   ,  1.999136078741948e-01,  5.581150460016489e-01, -7.144649231785395e-01, -1.008003890573502e+00,  1.522859416259578e+00,  9.129956744584351e-01
sample_24   , -2.059195258647188e-01, -2.686362913839508e-01,  3.530125322345363e-01,  3.025621391713802e+00,  1.493344563620837e+00,  1.125645326065943e+00
sample_25   , -1.415017737938304e-01,  2.484610068230851e-02, -1.982705866919887e-01,  4.466719470923950e-01,  4.751130955318608e+00,  9.604790435964587e-01
sample_26   , -3.191246461193190e-01, -4.139894925104594e-02, -3.057248121911978e-01,  6.321968237877716e-01,  5.081504673507634e-01,  1.782352255602748e-02
sample_27   , -1.512745364701731e+00, -5.991964439737555e-01,  5.428084310690682e-01,  4.675993518716127e+00,  1.696437396667559e+00,  1.159083192763359e+00
sample_28   , -1.210548801550011e+00, -1.077281770442114e+00,  1.620734747353592e-01,  1.126449108703555e+00, -1.726742759166139e-01, -2.698380347949485e+00
sample_29   ,  1.084136682992131e+00,  5.136368158968587e-01,  6.769444388531591e-01, -1.597862517959651e+00, -3.697558781620359e+00,  1.437326611421101e-01
sample_30   , -1.506194548663657e+00, -1.282210432599649e+00,  4.279659237570462e-01,  7.469427325520904e-01,  3.255299182378323e-01, -3.291741186367107e+00
sample_31   , -1.596005040790334e-01, -4.003606030719985e-01, -6.453674775725864e-01,  4.642116294017177e+00, -1.943762893232277e+00,  4.874813568568370e-01
sample_32   ,  1.039551054941583e+00,  3.209529496387236e-01, -4.679819085532132e-01,  4.794009906135813e+00, -1.494895542162478e+01,  3.581045346508335e-01
sample_33   ,  1.490972365377638e+00,  4.179076080037784e-01,  4.193383557773896e-01, -1.049031800467201e+00, -7.353773797786295e-01,  5.876628833514523e-01
sample_34   , -2.430433638459000e-01,  4.706420728824223e-01,  1.952957044074528e-01,  1.105061758154644e+00, -1.452525279097853e-02,  1.931173126665594e+00
sample_35   ,  2.563459757522217e-01,  5.581150460016489e-01, -7.144649231785395e-01, -1.008003890573502e+00,  1.522859416259578e+00,  9.129956744584351e-01
sample_36   , -1.485375848956369e-01,  8.683870559952289e-02, -5.251476898801961e-01,  1.162398712972611e+00,  1.411264777379858e+00,  7.489887847335701e-01
sample_37   ,  2.574926215050540e-01,  4.111833727343256e-01,  2.990556910866475e-01, -4.415243189210675e-01, -2.019844080116826e+00,  5.967289339308616e-01
sample_38   , -1.130861497330735e+00, -1.116708200157417e+00,  1.952957044074528e-01,  1.105061758154644e+00, -1.452525279097853e-02, -2.781595911044707e+00
sample_39   ,  1.992421413025131e-01,  5.581150460016491e-01, -7.144649231785395e-01, -1.008003890573502e+00,  1.522859416259578e+00,  9.129956744584359e-01
sample_40   ,  2.524653507971055e-01,  2.261377628502595e-01,  9.041596540994751e-02,  5.626523055153466e-01, -7.056234071903734e-01,  7.346478464479692e-01
sample_41   , -8.373504473094027e-01, -1.540275421694761e-01, -6.864067707629725e-01,  2.849002448716304e+00,  1.457199573095202e-01,  6.270828154522553e-01
sample_42   ,  6.465518666880544e-01,  4.296117075246609e-01, -5.788661362701577e-01, -4.531986642618151e-01,  1.515375387207132e+00,  8.923905594385531e-01
sample_43   , -1.529988391903044e+00, -1.283734037687916e+00,  5.236210719995433e-01,  7.850582307697517e-01,  3.215758773609293e-01, -3.231293355170306e+00
sample_44   ,  1.240207236151936e+00,  4.730344506766152e-01,  1.130625286332984e+00, -2.158404678237641e+00,  2.154191523362909e-01,  6.694615183913262e-01
sample_45   ,  1.811606265615140e-01, -9.796232156264372e-01, -1.792071589486720e-01,  2.628299792588013e+00,  1.058522030985453e+01,  2.528684086642886e-01
sample_46   , -3.877361648061027e-01, -5.643383816588247e-02, -1.240329848593466e-01,  1.103456986078054e+00,  2.163379711441152e+00,  6.224857943255618e-01
sample_47   , -1.523627701901755e+00, -1.191391281088431e+00,  1.540557488959467e-01,  1.204439767306698e+00,  1.053133617883533e-01, -2.946957938751912e+00
sample_48   , -1.260432860209104e+00, -1.404917594680937e+00, -2.526268526633945e-01,  1.863913952123271e+00,  4.713255820735412e-01, -3.350147638889294e+00
sample_49   , -1.048476215532083e+00,  9.341510291469401e-02, -1.868357224763643e-01,  7.337252427435916e-01,  1.845404474196962e+00,  7.793867395891023e-01
sample_50   , -1.506401286191515e+00, -1.282210432599656e+00,  4.279659237570462e-01,  7.469427325520904e-01,  3.255299182378323e-01, -3.291741186367127e+00
sample_51   , -1.099843408301257e+00, -2.076220174425012e-01, -4.924238472380723e-01,  3.127987948655385e+00, -7.364861321151042e-01,  5.443562914177343e-01
