# FEAT_ID     Feature Postfix Expression (RPN)
0             49|15|add
1             177|132|add
2             177|49|add
3             54|49|add
4             132|83|add
5             181|54|add
6             181|56|add
7             181|177|add
8             132|15|add
9             56|49|add
10            132|99|add
11            175|132|add
12            181|15|add
13            132|101|add
14            101|49|add
15            87|49|add
16            132|103|add
17            181|87|add
18            181|101|add
19            132|78|add
#-----------------------------------------------------------------------
20            166|146|sub
21            166|65|sub
22            148|41|sub
23            114|117|div
24            93|76|div
25            166|56|sub
26            48|76|div
27            166|78|sub
28            166|11|sub
29            44|76|div
30            102|49|div
31            119|49|div
32            166|101|sub
33            166|87|sub
34            186|123|sub
35            123|103|sub
36            123|78|sub
37            123|96|add
38            123|83|sub
39            123|18|add
#-----------------------------------------------------------------------
40            8|123|div
41            173|123|div
42            71|123|div
43            25|123|div
44            126|123|div
45            149|123|div
46            34|123|div
47            25|52|div
48            10|123|div
49            37|123|div
50            30|117|div
51            22|123|div
52            29|123|div
53            7|123|div
54            161|123|div
55            114|123|div
56            65|123|div
57            11|123|div
58            44|182|div
59            71|52|div
#-----------------------------------------------------------------------
60            117|123|div
61            163|51|div
62            99|123|div
63            183|52|div
64            48|52|div
65            93|52|div
66            98|123|div
67            177|123|div
68            157|123|div
69            56|123|div
70            166|123|div
71            89|123|div
72            84|123|div
73            153|123|div
74            30|123|div
75            146|123|div
76            54|123|div
77            94|123|div
78            104|123|div
79            70|123|div
#-----------------------------------------------------------------------
80            17|175|div
81            71|52|mult
82            52|26|div
83            110|52|mult
84            104|175|div
85            41|108|div
86            167|26|div
87            32|164|div
88            152|26|div
89            9|26|div
90            126|26|div
91            63|13|mult
92            113|63|mult
93            41|21|div
94            22|175|div
95            56|186|div
96            10|175|div
97            161|175|div
98            166|26|div
99            110|14|mult
#-----------------------------------------------------------------------
