# c0 + a0 * (lattice_constant_sum + en_allred_rochow_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.512063435520082; Max AE: 1.51441069736311
# Coefficients
# Task   a0                      c0
# all ,  6.519066053759534e-01,  1.791999867452358e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         132|78|add; (lattice_constant_sum + en_allred_rochow_std); $\left(lattice_{constant, sum} + en_{allred, rochow, std}\right)$; (lattice_constant_sum + en_allred_rochow_std); lattice_constant_sum,en_allred_rochow_std
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  9.192736085095378e-01,  8.881519274042440e-01,  1.362391361093892e+00
sample_1    ,  1.708216960322488e+00,  1.492291029962234e+00,  2.289117824019642e+00
sample_2    , -9.349418857745148e-01, -1.675400177155633e+00, -2.570000308847052e+00
sample_3    , -3.869542469361090e-01, -3.776100440268695e-01, -5.792394814117625e-01
sample_4    ,  1.606210188190853e+00,  1.416257668634213e+00,  2.172485532367723e+00
sample_5    ,  7.761604091037473e-01,  1.463790438155136e+00,  2.245398997469845e+00
sample_6    , -1.450618880560494e+00, -1.484287374215989e+00, -2.276840519755132e+00
sample_7    , -2.637851329777143e-01, -1.763779360889421e-01, -2.705570623681983e-01
sample_8    ,  6.969541735933062e-01,  2.728699170159926e-01,  4.185721003066518e-01
sample_9    ,  1.036677297615589e+00,  7.311163404813131e-01,  1.121504728518097e+00
sample_10   , -1.573677966059544e+00, -1.630588626668118e-01, -2.501261090502008e-01
sample_11   ,  1.823593927001561e+00,  1.257732291882528e+00,  1.929313618715669e+00
sample_12   , -9.912945487112125e-01, -1.763779360889421e-01, -2.705570623681983e-01
sample_13   ,  3.565618826838723e-02, -1.666251696226927e-01, -2.555966886186103e-01
sample_14   ,  5.036372198737018e-01,  3.089667514210529e-02,  4.739432748083149e-02
sample_15   , -1.512652823608613e+00,  1.665332661374938e-03,  2.554557121590084e-03
sample_16   , -2.925359350272910e-01, -1.587033637232466e+00, -2.434449389137922e+00
sample_17   ,  7.189093062585388e-01, -3.228394042776659e-02, -4.952233979765963e-02
sample_18   , -4.901877019996744e-01, -3.508538418259352e-01, -5.381964823375254e-01
sample_19   , -1.023352728343078e+00, -3.781851415125909e-01, -5.801216591362691e-01
sample_20   ,  1.449021867354678e-01,  2.981805738661615e-01,  4.573976876552757e-01
sample_21   ,  7.421323787523932e-01,  1.278273665738564e+00,  1.960823306892842e+00
sample_22   , -1.618353900201253e+00, -9.195668584397055e-01, -1.410580673453053e+00
sample_23   ,  1.999136078741948e-01, -1.614038196050736e-01, -2.475873357840767e-01
sample_24   , -2.059195258647188e-01, -1.901132872604320e-01, -2.916265699605762e-01
sample_25   , -1.415017737938304e-01, -1.914989141238950e-01, -2.937520689999116e-01
sample_26   , -3.191246461193190e-01, -2.643470230806343e-01, -4.054983043593892e-01
sample_27   , -1.512745364701731e+00,  1.665332661374938e-03,  2.554557121590084e-03
sample_28   , -1.210548801550011e+00, -1.033748647732091e+00, -1.585731206291322e+00
sample_29   ,  1.084136682992131e+00,  3.451708483454751e-01,  5.294789859452576e-01
