# c0 + a0 * (atomic_volume_sum - group_id_sum) + a1 * (lattice_constant_sum + en_allred_rochow_av)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.430253192588153; Max AE: 1.37096619680941
# Coefficients
# Task   a0                      a1                      c0
# all , -4.526949684310211e-01,  5.461573189088526e-01,  1.029635345985511e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         166|11|sub; (atomic_volume_sum - group_id_sum); $\left(atomic_{volume, sum} - group_{id, sum}\right)$; (atomic_volume_sum - group_id_sum); atomic_volume_sum,group_id_sum
# 1;  1; Unitless;                                         132|101|add; (lattice_constant_sum + en_allred_rochow_av); $\left(lattice_{constant, sum} + en_{allred, rochow, av}\right)$; (lattice_constant_sum + en_allred_rochow_av); lattice_constant_sum,en_allred_rochow_av
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  9.192736085095378e-01,  4.075880654274952e-01,  7.974848461018887e-01,  1.407296791688841e+00
sample_1    ,  1.708216960322488e+00,  1.210699648710852e+00, -1.619288651883966e-02,  2.203338065419622e+00
sample_2    , -9.349418857745148e-01, -1.106136626919880e+00, -7.849636075299420e-01, -2.675942721723469e+00
sample_3    , -3.869542469361090e-01,  1.784819238053116e-01, -5.229949702616274e-01, -1.067005160038590e-01
sample_4    ,  1.606210188190853e+00,  1.250900076577506e+00, -2.206500424315139e-03,  2.288536950186274e+00
sample_5    ,  7.761604091037473e-01,  9.341076780916514e-01,  5.876890546840078e-01,  2.197446623157634e+00
sample_6    , -1.450618880560494e+00, -1.382562849083353e+00, -4.650053040459585e-01, -2.916867274984849e+00
sample_7    , -2.637851329777143e-01, -7.757516759364391e-01,  1.794620895421499e+00,  6.713115872052648e-02
sample_8    ,  6.969541735933062e-01,  5.102018042323867e-01, -8.356301426177019e-01,  2.415352475063539e-01
sample_9    ,  1.036677297615589e+00,  6.424758724572739e-01,  3.079613327935012e-01,  1.431617578331293e+00
sample_10   , -1.573677966059544e+00, -2.027117692501335e-01,  7.020474825784708e-01,  2.107480568836142e-01
sample_11   ,  1.823593927001561e+00,  1.564723134831058e+00, -1.104168755632587e+00,  1.949752311266123e+00
sample_12   , -9.912945487112125e-01, -7.757516759364391e-01,  1.794620895421499e+00,  6.713115872052648e-02
sample_13   ,  3.565618826838723e-02,  5.348817350116375e-02,  2.677307512000237e-01,  3.198502179054850e-01
sample_14   ,  5.036372198737018e-01, -1.610076056598138e-01,  5.876890546840098e-01,  1.923187125047937e-01
sample_15   , -1.512652823608613e+00, -4.375995762794646e-01,  1.191570995886858e+00,  1.864272702419822e-01
