# c0 + a0 * (melting_point_sum / ground_state_magmom_sum) + a1 * (group_id_sum / atomic_volume_av) + a2 * (atomic_volume_sum - en_allred_rochow_std) + a3 * (en_gordy_sum + lattice_constant_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.312652152506421; Max AE: 0.872735723484109
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.146543436695299e-02,  1.113471963652836e-02, -3.321881071835923e-01,  5.658620008942277e-01,  6.514348463536901e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         71|52|div; (melting_point_sum / ground_state_magmom_sum); $\left(\frac{ melting_{point, sum} }{ ground_{state, magmom, sum} } \right)$; (melting_point_sum ./ ground_state_magmom_sum); melting_point_sum,ground_state_magmom_sum
# 1;  1; Unitless;                                         11|123|div; (group_id_sum / atomic_volume_av); $\left(\frac{ group_{id, sum} }{ atomic_{volume, av} } \right)$; (group_id_sum ./ atomic_volume_av); group_id_sum,atomic_volume_av
# 2;  1; Unitless;                                         166|78|sub; (atomic_volume_sum - en_allred_rochow_std); $\left(atomic_{volume, sum} - en_{allred, rochow, std}\right)$; (atomic_volume_sum - en_allred_rochow_std); atomic_volume_sum,en_allred_rochow_std
# 3;  1; Unitless;                                         177|132|add; (en_gordy_sum + lattice_constant_sum); $\left(en_{gordy, sum} + lattice_{constant, sum}\right)$; (en_gordy_sum + lattice_constant_sum); en_gordy_sum,lattice_constant_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 148                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  9.192736085095378e-01,  8.089277705359569e-01,  2.299325728402064e+00,  3.409478258683182e-01,  2.116870069255885e+00,  2.381931366126867e+00
sample_1    ,  1.708216960322488e+00,  1.305936105486065e+00, -7.539611683768959e-01,  1.160757247135589e+00, -5.664336191398162e-01,  1.892632352412221e+00
sample_2    , -9.349418857745148e-01, -1.320783052716854e+00, -2.004117295644276e+00,  6.335887027412620e-01, -8.722883036021525e-01, -2.826914642969463e+00
sample_3    , -3.869542469361090e-01,  3.132144753630438e-02,  7.783152829207122e-01, -9.499650280220999e-01,  5.767984563481423e-01,  2.404967343581500e-01
sample_4    ,  1.606210188190853e+00,  1.089259544686275e+00, -6.779739698952894e+00,  1.120266351507915e+00, -4.327750795084067e-01,  2.030538052575886e+00
sample_5    ,  7.761604091037473e-01,  1.308686691179048e+00,  2.889616364134448e+00,  4.252474865585050e-01, -8.244308466544203e-02,  1.929096464052331e+00
sample_6    , -1.450618880560494e+00, -1.453547920732369e+00, -3.335183126703495e+00,  8.722258317630033e-01, -9.452629229040825e-01, -3.011535810638287e+00
sample_7    , -2.637851329777143e-01, -6.847702166220684e-01, -6.728055308447500e-01, -3.839400726989066e+00,  8.295428591752949e-01, -7.134258956319620e-01
sample_8    ,  6.969541735933062e-01,  5.904991190575186e-01, -3.316305868599605e-01, -1.365427957695502e+00, -1.676786112896943e+00, -4.767782148692001e-03
sample_9    ,  1.036677297615589e+00,  9.409842900780560e-01,  2.641523198391852e+00,  6.343832781779775e-01,  1.783117055744253e+00,  2.388524933967912e+00
sample_10   , -1.573677966059544e+00, -1.220539024751533e+00, -2.563598309708344e+01,  3.320816225156198e-01,  1.451567664792608e+00,  4.520899866159342e-01
sample_11   ,  1.823593927001561e+00,  1.708134569189945e+00,  4.692702314985087e+00, -7.832707625646882e-01, -1.337282510499799e+00,  1.790009397196198e+00
sample_12   , -9.912945487112125e-01, -6.847702166220684e-01, -6.728055308447500e-01, -3.839400726989066e+00,  8.295428591752949e-01, -7.134258956319620e-01
sample_13   ,  3.565618826838723e-02, -4.877693971124723e-02, -4.335997620119596e-02,  6.695171323853160e-01,  1.371221012733872e+00,  5.936534748036025e-01
sample_14   ,  5.036372198737018e-01, -1.476983023750453e-01, -5.073247926869087e-01,  4.252474865585038e-01,  1.288415166424423e+00,  4.090323071347777e-01
sample_15   , -1.512652823608613e+00, -1.219517737522227e+00, -2.290877295746787e+01,  2.079947802408224e-01,  1.773526644708242e+00,  4.454964187748878e-01
sample_16   , -2.925359350272910e-01, -1.165271658511400e+00,  2.504907219558668e+00,  6.206379352291386e-01, -1.029061387119132e+00, -2.974284878932309e+00
sample_17   ,  7.189093062585388e-01,  3.750151847634524e-01,  2.564988713656555e+00,  2.404899356465679e+00,  1.339746913033240e+00,  1.098825224250157e+00
sample_18   , -4.901877019996744e-01, -2.658158143572225e-01, -2.997500704800867e-01, -1.224724080043567e+01,  8.291701112059660e-01,  1.648458637310886e-01
sample_19   , -1.023352728343078e+00, -5.224578868209006e-01,  9.642667579266179e-01,  1.311874960413523e+00,  2.286395290694012e-01, -1.000670018516807e+00
sample_20   ,  1.449021867354678e-01,  2.616423721471705e-01, -7.380728871078386e+00, -2.963696661156506e+00, -1.508014277940649e+00,  6.114483541191462e-02
sample_21   ,  7.421323787523932e-01,  6.030947849599329e-01, -2.253221909912824e+01,  1.014007550509414e+01, -6.659216941079262e-01,  2.011340902520436e+00
sample_22   , -1.618353900201253e+00, -1.126632659964994e+00,  4.461866199784447e-01, -3.628623203569130e+00, -8.840285943527055e-01, -2.586385987589779e+00
sample_23   ,  1.999136078741948e-01,  3.105719689853760e-01,  5.345570067843768e-01,  3.393767702067088e+01,  6.729289028153665e-01,  1.217881842499319e-01
sample_24   , -2.059195258647188e-01, -2.692097207444442e-01, -1.082340806195862e+00,  4.848688876050949e-01,  1.157239844916441e+00,  1.582522958900421e-01
sample_25   , -1.415017737938304e-01, -1.207153815094648e-01, -2.247974571733486e+00,  7.133147767145238e-01,  1.201778970810258e+00,  5.277408572429957e-01
sample_26   , -3.191246461193190e-01, -4.611024529566710e-02,  4.518753165701974e-01, -2.171823838871286e+00,  5.894325377928404e-01,  1.590391159559124e-01
sample_27   , -1.512745364701731e+00, -1.219517737522227e+00, -2.290877295746787e+01,  2.079947802408224e-01,  1.773526644708242e+00,  4.454964187748878e-01
sample_28   , -1.210548801550011e+00, -8.667888620595358e-01,  2.158421741413266e-01,  1.633997428729819e+01, -9.460894792839187e-01, -2.539670520084618e+00
sample_29   ,  1.084136682992131e+00,  7.948629334573487e-01, -2.540364410742161e+00, -6.921988371442618e-01,  1.171260217511066e+00,  2.176931681710126e+00
sample_30   , -1.506194548663657e+00, -1.342446294355312e+00, -4.790380290915385e-03,  9.118638090417596e-01, -7.893253177510866e-01, -2.968478131157134e+00
sample_31   , -1.596005040790334e-01, -5.224578868209006e-01,  9.642667579266179e-01,  1.311874960413523e+00,  2.286395290694012e-01, -1.000670018516807e+00
sample_32   ,  1.039551054941583e+00,  5.904991190575186e-01, -3.316305868599605e-01, -1.365427957695502e+00, -1.676786112896943e+00, -4.767782148692001e-03
sample_33   ,  1.490972365377638e+00,  1.224162114211480e+00, -5.710672089074089e+00, -9.241624204883697e-01, -1.263262041750031e+00,  1.743293929691041e+00
sample_34   , -2.430433638459000e-01, -1.026583500572860e+00, -1.298086606592238e+00,  1.043898499967114e+01, -1.102862562799872e+00, -2.687040756047464e+00
sample_35   ,  2.563459757522217e-01,  3.105719689853760e-01,  5.345570067843768e-01,  3.393767702067088e+01,  6.729289028153665e-01,  1.217881842499319e-01
sample_36   , -1.485375848956369e-01, -4.877693971124723e-02, -4.335997620119596e-02,  6.695171323853160e-01,  1.371221012733872e+00,  5.936534748036025e-01
sample_37   ,  2.574926215050540e-01,  5.754832284118299e-01,  1.003102344663178e+00, -2.712419345016266e+00, -1.648883160241732e+00, -8.622540055093042e-02
sample_38   , -1.130861497330735e+00, -1.026583500572860e+00, -1.298086606592238e+00,  1.043898499967114e+01, -1.102862562799872e+00, -2.687040756047464e+00
sample_39   ,  1.992421413025131e-01,  3.105719689853760e-01,  5.345570067843768e-01,  3.393767702067088e+01,  6.729289028153665e-01,  1.217881842499319e-01
sample_40   ,  2.524653507971055e-01,  3.749039998500437e-01, -1.695817506411864e-01,  9.144082417995585e-01, -1.071222955684427e+00, -8.701222061679981e-02
sample_41   , -8.373504473094027e-01, -7.477183823226311e-01, -1.490412170052239e+00, -2.184705476196487e+00,  9.089901110333671e-01, -7.506768273379399e-01
sample_42   ,  6.465518666880544e-01,  2.461726664480992e-01,  3.650314289582524e+00,  1.358057272834917e+01,  8.082753441869486e-01,  2.596938844135989e-01
sample_43   , -1.529988391903044e+00, -1.182734030864032e+00,  1.024156665353424e+00, -5.375665824422642e+00, -8.631264934318275e-01, -2.681234008272289e+00
sample_44   ,  1.240207236151936e+00,  1.089259544686275e+00, -6.779739698952894e+00,  1.120266351507915e+00, -4.327750795084067e-01,  2.030538052575886e+00
sample_45   ,  1.811606265615140e-01, -5.257943752662968e-01, -2.865586285306685e-01,  1.178290250669108e+00,  2.168293926136098e-01, -9.192124001145692e-01
sample_46   , -3.877361648061027e-01,  3.132144753630438e-02,  7.783152829207122e-01, -9.499650280220999e-01,  5.767984563481423e-01,  2.404967343581500e-01
sample_47   , -1.523627701901755e+00, -1.806582061985142e+00, -1.505795881024432e+01, -3.977520213865278e+00, -1.019064098584822e+00, -2.724291687753441e+00
sample_48   , -1.260432860209104e+00, -9.490163406202518e-01,  1.376118319809909e+00,  2.933906253709092e+00, -1.115365321786329e+00, -2.605583137645225e+00
sample_49   , -1.048476215532083e+00, -1.220539024751533e+00, -2.563598309708344e+01,  3.320816225156198e-01,  1.451567664792608e+00,  4.520899866159342e-01
sample_50   , -1.506401286191515e+00, -1.342446294355312e+00, -4.790380290915385e-03,  9.118638090417596e-01, -7.893253177510866e-01, -2.968478131157134e+00
sample_51   , -1.099843408301257e+00, -8.302975626384338e-01, -7.219645611310221e+00,  1.350605957270432e+00,  3.861185864474875e-01, -8.532997825539628e-01
sample_52   , -1.352664194139185e+00, -1.437542171006982e+00, -9.451912865314280e-02,  2.834499528784959e+00, -4.610408518767393e-01, -2.975071698998180e+00
sample_53   , -1.468342493225296e+00, -1.318885275578557e+00, -8.925606502701774e-01,  8.901729651444777e-01, -8.102274186709393e-01, -2.873630110474624e+00
sample_54   ,  2.391787573482771e-01, -1.476983023750453e-01, -5.073247926869087e-01,  4.252474865585038e-01,  1.288415166424423e+00,  4.090323071347777e-01
sample_55   ,  1.091026343198529e+00,  1.430258412590055e+00, -9.446681245186790e-02,  2.567700515106515e+00, -4.967142808973399e-01,  2.077253520081044e+00
sample_56   , -1.072025930295884e+00, -1.320783052716854e+00, -2.004117295644276e+00,  6.335887027412620e-01, -8.722883036021525e-01, -2.826914642969463e+00
sample_57   ,  8.625193703904900e-01,  7.502795933143098e-01, -4.519175161360321e-01, -1.171082729504910e+00,  1.421243600666915e+00,  2.101280811083066e+00
